HTTP/1.1 200 OK
Date: Sat, 28 Nov 2020 07:29:17 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 27 Nov 2020 22:24:18 GMT
ETag: "466adc-3ee6a-5b51e1f1232f0"
Accept-Ranges: bytes
Content-Length: 257642
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201127|A|120401|83|236764|Q
20201127|AA|194618|12671|661474|Q
20201127|AAAU|59224|0|193301|Q
20201127|AACG|84|0|6739|Q
20201127|AACQ|7227|0|11366|Q
20201127|AACQU|1065|0|4844|Q
20201127|AACQW|19725|0|29514|Q
20201127|AADR|973|0|1257|Q
20201127|AAIC|15203|400|37466|Q
20201127|AAICpB|25|0|234|Q
20201127|AAL|8127563|104676|24962173|Q
20201127|AAMC|215|0|215|Q
20201127|AAME|1|0|1177|Q
20201127|AAN|29401|100|51311|Q
20201127|AANw|167|0|300|Q
20201127|AAOI|79981|981|122115|Q
20201127|AAON|6827|0|11008|Q
20201127|AAP|79482|0|116744|Q
20201127|AAPL|4725047|58240|14567236|Q
20201127|AAT|4276|0|8175|Q
20201127|AAU|15013|0|114318|Q
20201127|AAWW|27919|0|44120|Q
20201127|AAXJ|97340|0|131746|Q
20201127|AAXN|35948|0|111286|Q
20201127|AB|26989|0|37109|Q
20201127|ABB|66118|0|194111|Q
20201127|ABBV|326730|1753|881671|Q
20201127|ABC|34123|1|81240|Q
20201127|ABCB|25954|0|78735|Q
20201127|ABCM|6852|0|8418|Q
20201127|ABEO|1422845|96451|2247662|Q
20201127|ABEV|1495939|615|2312657|Q
20201127|ABG|7196|0|9865|Q
20201127|ABIO|96408|699|262163|Q
20201127|ABM|8550|0|13900|Q
20201127|ABMD|22329|0|31475|Q
20201127|ABR|43677|102|107426|Q
20201127|ABRpA|4|0|804|Q
20201127|ABST|2431|0|9101|Q
20201127|ABT|181728|4715|681292|Q
20201127|ABTX|2741|0|3063|Q
20201127|ABUS|645152|12073|1997042|Q
20201127|AC|196|0|357|Q
20201127|ACA|9248|0|19884|Q
20201127|ACACU|100|0|5115|Q
20201127|ACAD|26283|0|130934|Q
20201127|ACAM|287583|0|288427|Q
20201127|ACAMW|12439|0|93185|Q
20201127|ACB|6967385|285225|17315050|Q
20201127|ACBI|15290|0|21223|Q
20201127|ACC|43186|0|57496|Q
20201127|ACCD|25471|0|57723|Q
20201127|ACCO|15398|0|34331|Q
20201127|ACEL|32174|227|44277|Q
20201127|ACER|5107|200|10888|Q
20201127|ACES|14982|0|33128|Q
20201127|ACET|1177|0|2312|Q
20201127|ACEV|157|0|883|Q
20201127|ACEVW|650|0|316200|Q
20201127|ACGL|223076|12000|487024|Q
20201127|ACGLO|1369|0|4191|Q
20201127|ACGLP|1573|0|5839|Q
20201127|ACH|5018|0|13723|Q
20201127|ACHC|9947|2|78440|Q
20201127|ACHV|8955|0|22394|Q
20201127|ACI|100436|1211|345372|Q
20201127|ACIA|53429|0|166638|Q
20201127|ACIC/U|50|0|2843|Q
20201127|ACIU|13828|0|29008|Q
20201127|ACIW|20502|0|49705|Q
20201127|ACLS|42838|500|62842|Q
20201127|ACM|30395|1|81355|Q
20201127|ACMR|36135|0|50448|Q
20201127|ACN|103278|0|255931|Q
20201127|ACNB|10297|0|11023|Q
20201127|ACND|1161|0|13385|Q
20201127|ACOR|543728|3600|699775|Q
20201127|ACP|6211|0|14663|Q
20201127|ACRE|4660|0|17927|Q
20201127|ACRS|19010|0|58588|Q
20201127|ACRX|105749|1800|296875|Q
20201127|ACSG|41|0|1331|Q
20201127|ACST|954662|18497|1898070|Q
20201127|ACTC|195|0|195|Q
20201127|ACTCU|1120|0|2074|Q
20201127|ACTG|11541|0|22955|Q
20201127|ACTV|2195|0|2344|Q
20201127|ACU|1304|0|3581|Q
20201127|ACV|1893|121|4608|Q
20201127|ACVF|1604|0|1605|Q
20201127|ACWF|852|0|900|Q
20201127|ACWI|186407|0|351802|Q
20201127|ACWV|21161|0|36889|Q
