HTTP/1.1 200 OK
Date: Tue, 01 Dec 2020 16:07:52 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 30 Nov 2020 22:20:42 GMT
ETag: "467172-438b3-5b55a6bbfcba8"
Accept-Ranges: bytes
Content-Length: 276659
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201130|A|286884|540|493037|Q
20201130|AA|361696|6570|869792|Q
20201130|AAA|619|0|1977|Q
20201130|AAAU|34466|0|100040|Q
20201130|AACG|2094|0|11216|Q
20201130|AACQ|10973|0|207040|Q
20201130|AACQU|13567|0|21090|Q
20201130|AACQW|26265|0|45847|Q
20201130|AADR|1641|0|2161|Q
20201130|AAIC|99862|1899|211933|Q
20201130|AAICpB|120|0|430|Q
20201130|AAICpC|628|0|944|Q
20201130|AAL|12326526|132514|34887532|Q
20201130|AAMC|647|0|702|Q
20201130|AAME|119|0|787|Q
20201130|AAN|131058|200|228776|Q
20201130|AANw|1116|0|1436|Q
20201130|AAOI|73165|1597|123511|Q
20201130|AAON|17874|0|48324|Q
20201130|AAP|188544|100|259837|Q
20201130|AAPL|14614835|130282|44174461|Q
20201130|AAT|15838|0|46639|Q
20201130|AAU|132342|0|177652|Q
20201130|AAWW|48042|700|81341|Q
20201130|AAXJ|319450|300|407521|Q
20201130|AAXN|26059|0|91475|Q
20201130|AB|45363|1652|95647|Q
20201130|ABB|159572|0|246965|Q
20201130|ABBV|673233|3138|1407779|Q
20201130|ABC|52621|300|179543|Q
20201130|ABCB|79224|0|269818|Q
20201130|ABCM|149606|0|153495|Q
20201130|ABEO|708144|3802|1330244|Q
20201130|ABEQ|593|0|753|Q
20201130|ABEV|1844831|1200|3869789|Q
20201130|ABG|14279|0|29264|Q
20201130|ABIO|45594|4600|136795|Q
20201130|ABM|21714|0|33574|Q
20201130|ABMD|28299|2456|43078|Q
20201130|ABR|265985|4921|473597|Q
20201130|ABRpA|290|0|1102|Q
20201130|ABRpB|693|0|700|Q
