HTTP/1.1 200 OK
Date: Thu, 03 Dec 2020 08:02:16 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 02 Dec 2020 22:23:41 GMT
ETag: "467c4a-430b7-5b582b20ccea8"
Accept-Ranges: bytes
Content-Length: 274615
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201202|A|120257|302|380095|Q
20201202|AA|429256|19478|1324255|Q
20201202|AAA|60|0|985|Q
20201202|AAAU|39751|0|85381|Q
20201202|AACG|786|0|1966|Q
20201202|AACQ|7663|0|23956|Q
20201202|AACQU|3300|0|4267|Q
20201202|AACQW|5286|0|5381|Q
20201202|AADR|2625|0|6927|Q
20201202|AAIC|81456|133|139437|Q
20201202|AAICpB|600|0|900|Q
20201202|AAICpC|197|0|456|Q
20201202|AAL|9335305|104130|25352708|Q
20201202|AAME|4068|0|9943|Q
20201202|AAN|282059|12263|958687|Q
20201202|AAOI|67274|300|143600|Q
20201202|AAON|22815|700|31903|Q
20201202|AAP|107693|346|220308|Q
20201202|AAPL|9123412|222005|26566950|Q
20201202|AAT|10715|742|21603|Q
20201202|AAU|1146237|134821|2101822|Q
20201202|AAWW|27372|300|68697|Q
20201202|AAXJ|86578|0|129660|Q
20201202|AAXN|15992|211|73857|Q
20201202|AB|68572|0|100067|Q
20201202|ABB|119918|106|410545|Q
20201202|ABBV|436460|9277|1241286|Q
20201202|ABC|59255|3041|166250|Q
20201202|ABCB|25260|1100|40081|Q
20201202|ABCM|10117|0|33234|Q
20201202|ABEO|280519|2766|591686|Q
20201202|ABEV|8874236|30708|11516204|Q
20201202|ABG|29940|100|102649|Q
20201202|ABIO|57883|1000|108348|Q
20201202|ABM|19732|2300|41432|Q
20201202|ABMD|22290|25|48600|Q
20201202|ABR|91986|100|190044|Q
20201202|ABRpA|1416|0|2310|Q
20201202|ABRpB|500|0|500|Q
20201202|ABRpC|189|0|2081|Q
20201202|ABST|3488|0|23212|Q
20201202|ABT|176799|1049|835688|Q
20201202|ABTX|2990|200|3187|Q
20201202|ABUS|248966|10477|1021476|Q
20201202|AC|820|0|2305|Q
20201202|ACA|17563|200|29413|Q
20201202|ACACU|600|600|14407|Q
20201202|ACAD|49630|0|274907|Q
20201202|ACAM|9584|0|197563|Q
20201202|ACAMW|6056|0|6463|Q
20201202|ACB|14035496|493967|27598617|Q
20201202|ACBI|18143|0|45777|Q
20201202|ACC|76981|200|317830|Q
20201202|ACCD|105911|2|238157|Q
20201202|ACCO|58917|1267|122452|Q
20201202|ACEL|64130|16409|163163|Q
20201202|ACER|18128|1347|63613|Q
20201202|ACES|38549|0|60095|Q
20201202|ACET|1047|0|7682|Q
20201202|ACEV|1|0|51|Q
20201202|ACEVU|360|0|460|Q
20201202|ACEVW|1549|0|1549|Q
20201202|ACGL|63071|0|344022|Q
20201202|ACGLO|3061|0|19604|Q
20201202|ACGLP|6788|0|14967|Q
20201202|ACH|5450|900|30342|Q
20201202|ACHC|80143|2355|317108|Q
20201202|ACHV|105177|1094|151239|Q
20201202|ACI|344269|1847|609954|Q
20201202|ACIA|80378|3699|167668|Q
20201202|ACIO|44877|0|46035|Q
20201202|ACIU|9328|0|16542|Q
20201202|ACIW|533797|3200|1537183|Q
20201202|ACLS|25482|527|52696|Q
20201202|ACM|97392|0|180446|Q
20201202|ACMR|17223|0|27371|Q
20201202|ACN|155959|735|356974|Q
20201202|ACNB|1150|0|2222|Q
20201202|ACND|1221|0|5275|Q
20201202|ACND/WS|3041|0|5039|Q
20201202|ACOR|5370366|95031|9304633|Q
20201202|ACP|58809|0|100616|Q
20201202|ACRE|73663|1000|109363|Q
20201202|ACRS|24207|0|104610|Q
20201202|ACRX|125239|7778|214640|Q
