HTTP/1.1 200 OK
Date: Sat, 05 Dec 2020 00:15:55 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 04 Dec 2020 22:27:30 GMT
ETag: "4686f3-432bf-5b5aafb6e2628"
Accept-Ranges: bytes
Content-Length: 275135
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201204|A|63920|359|268670|Q
20201204|AA|754263|9180|1972311|Q
20201204|AAA|400|0|604|Q
20201204|AAAU|66288|0|78342|Q
20201204|AACG|2500|0|22787|Q
20201204|AACQ|35124|0|51490|Q
20201204|AACQU|458|0|766|Q
20201204|AACQW|15417|0|30096|Q
20201204|AADR|1999|0|6241|Q
20201204|AAIC|74150|700|152016|Q
20201204|AAICpB|300|0|575|Q
20201204|AAICpC|15|0|615|Q
20201204|AAL|16726834|124298|40727820|Q
20201204|AAMC|1|0|672|Q
20201204|AAME|253|0|648|Q
20201204|AAN|179761|5300|573267|Q
20201204|AAOI|45816|611|104426|Q
20201204|AAON|17815|0|38735|Q
20201204|AAP|58381|672|142775|Q
20201204|AAPL|7056625|70527|22790690|Q
20201204|AAT|6967|0|27039|Q
20201204|AAU|301314|1400|515106|Q
20201204|AAWW|49837|0|131795|Q
20201204|AAXJ|64323|0|133954|Q
20201204|AAXN|19940|4570|45250|Q
20201204|AB|67814|3040|108926|Q
20201204|ABB|165279|7|309516|Q
20201204|ABBV|986814|6513|1795371|Q
20201204|ABC|111659|400|258797|Q
20201204|ABCB|25556|0|155607|Q
20201204|ABCM|9526|0|14572|Q
20201204|ABEO|221930|0|386616|Q
20201204|ABEQ|2|0|2|Q
20201204|ABEV|5218245|7993|6711192|Q
20201204|ABG|40714|0|56143|Q
20201204|ABIO|28765|2520|64522|Q
20201204|ABM|11288|300|65608|Q
20201204|ABMD|37088|0|53363|Q
20201204|ABR|178687|127|345642|Q
20201204|ABRpA|233|0|834|Q
20201204|ABRpC|200|0|1801|Q
20201204|ABST|34933|0|38717|Q
20201204|ABT|199813|356|1145489|Q
20201204|ABTX|2476|0|6748|Q
20201204|ABUS|170808|7047|763414|Q
20201204|AC|3385|108|3948|Q
20201204|ACA|12175|0|47904|Q
20201204|ACACU|2155|0|5530|Q
20201204|ACAD|29675|1|169322|Q
20201204|ACAM|84667|41|666483|Q
20201204|ACAMU|100|0|283|Q
20201204|ACAMW|45863|1000|167865|Q
20201204|ACB|17102393|296801|38807367|Q
20201204|ACBI|3759|0|10255|Q
20201204|ACC|102021|604|537600|Q
20201204|ACCD|30237|0|89610|Q
20201204|ACCO|41241|800|97485|Q
20201204|ACEL|41546|7800|54808|Q
20201204|ACER|3079|85|17372|Q
20201204|ACES|46558|0|56111|Q
20201204|ACET|15530|0|40442|Q
20201204|ACEV|12103|0|13547|Q
20201204|ACEVW|99|0|63609|Q
20201204|ACGL|101366|121|442519|Q
20201204|ACGLO|550|0|4182|Q
20201204|ACGLP|5836|0|10662|Q
20201204|ACH|4407|1700|18077|Q
20201204|ACHC|35139|0|160641|Q
20201204|ACHV|54056|28|100294|Q
20201204|ACI|455967|1352|1268231|Q
20201204|ACIA|60518|0|390897|Q
20201204|ACIC/U|5799|0|471999|Q
20201204|ACIO|5453|0|8240|Q
20201204|ACIU|24941|277|649469|Q
20201204|ACIW|92385|100|266773|Q
20201204|ACLS|21981|0|60697|Q
20201204|ACM|46306|329|226292|Q
20201204|ACMR|21697|0|91097|Q
20201204|ACN|131957|705|406549|Q
20201204|ACNB|4522|0|6618|Q
20201204|ACND/WS|484|0|36284|Q
20201204|ACOR|432127|10790|772630|Q
20201204|ACP|16660|0|48469|Q
20201204|ACRE|13902|0|50762|Q
20201204|ACRS|56064|0|398368|Q
20201204|ACRX|143675|2463|438658|Q
20201204|ACST|2318492|35576|5308104|Q
20201204|ACTC|59364|0|205052|Q
20201204|ACTCU|97083|0|146339|Q
20201204|ACTCW|40598|22171|57858|Q
20201204|ACTG|14539|0|46160|Q
20201204|ACTV|525|0|2083|Q
20201204|ACU|3891|0|11791|Q
20201204|ACV|5398|0|11375|Q
20201204|ACVF|1132|0|1137|Q
20201204|ACWF|3235|0|6189|Q
20201204|ACWI|149174|0|447917|Q
20201204|ACWV|41101|0|106048|Q
20201204|ACWX|128059|0|441095|Q
20201204|ACY|1888|0|2170|Q
20201204|ADAP|116309|4189|305641|Q
20201204|ADBE|260913|1171|745358|Q
20201204|ADC|99510|0|262874|Q
20201204|ADCT|23882|0|29744|Q
20201204|ADES|13042|197|33542|Q
20201204|ADI|474662|35|1066909|Q
20201204|ADIL|102908|1600|228475|Q
20201204|ADM|95129|269|216026|Q
20201204|ADMA|210135|0|733495|Q
20201204|ADME|1371|0|8583|Q
20201204|ADMP|392805|3534|817672|Q
20201204|ADMS|16816|0|46477|Q
20201204|ADNT|44560|0|344794|Q
20201204|ADOCU|1101|0|15572|Q
20201204|ADP|89823|717|207972|Q
20201204|ADPT|56919|0|105155|Q
20201204|ADRE|1975|0|7945|Q
20201204|ADS|258497|140|377775|Q
20201204|ADSK|180197|907|473266|Q
20201204|ADT|993362|0|2414546|Q
20201204|ADTN|126521|4390|176930|Q
20201204|ADTX|21025|0|84828|Q
20201204|ADUS|11390|0|19900|Q
20201204|ADV|89949|0|258006|Q
20201204|ADVM|89161|0|189122|Q
20201204|ADVWW|250|0|254|Q
20201204|ADX|26755|800|45963|Q
20201204|ADXS|2624323|78768|4715646|Q
20201204|AE|1347|0|1713|Q
20201204|AEB|4426|0|8553|Q
20201204|AEE|231944|0|379562|Q
20201204|AEF|6928|0|45232|Q
20201204|AEFC|10368|2882|22883|Q
20201204|AEG|112794|5800|330200|Q
20201204|AEGN|7795|79|11171|Q
20201204|AEHL|89542|0|155762|Q
20201204|AEHR|156360|2300|541960|Q
20201204|AEIS|37856|0|139383|Q
20201204|AEL|39254|1060|122894|Q
20201204|AELpA|5492|0|15155|Q
20201204|AELpB|3201|0|5004|Q
20201204|AEM|115732|0|220638|Q
20201204|AEMD|26318|0|82163|Q
20201204|AENZ|12726|0|15809|Q
20201204|AEO|618838|52|987250|Q
20201204|AEP|345443|2487|987872|Q
20201204|AEPPL|1972|0|54123|Q
20201204|AEPPZ|13133|0|89280|Q
20201204|AER|324318|0|1041361|Q
20201204|AERI|58122|0|125012|Q
20201204|AES|351183|0|978947|Q
20201204|AESE|164196|1252|309791|Q
20201204|AEY|74216|1342|170855|Q
20201204|AEYE|12646|0|16649|Q
20201204|AEZS|760867|32024|1274078|Q
20201204|AFB|1505|0|12793|Q
20201204|AFC|250|0|1571|Q
20201204|AFG|37967|0|82645|Q
20201204|AFGB|2918|0|14095|Q
20201204|AFGC|6464|1500|13493|Q
20201204|AFGD|2754|0|8568|Q
20201204|AFGE|3702|0|3906|Q
20201204|AFI|25781|0|56924|Q
20201204|AFIB|8130|0|28951|Q
20201204|AFIF|3702|0|4602|Q
20201204|AFIN|33553|528|81031|Q
20201204|AFINP|3644|0|8459|Q
20201204|AFK|14848|0|24309|Q
20201204|AFL|247346|200|923343|Q
20201204|AFLG|100|0|100|Q
20201204|AFMD|103576|700|539961|Q
20201204|AFSM|16|0|16|Q
20201204|AFT|5274|800|15901|Q
20201204|AFTY|13|0|7763|Q
20201204|AFYA|38852|0|76989|Q
20201204|AG|722797|15724|1332403|Q
20201204|AGBAR|1521|0|1821|Q
20201204|AGBAW|13672|0|67422|Q
20201204|AGC|1037|0|7457|Q
20201204|AGCO|101335|0|371768|Q
20201204|AGCUU|21846|0|46290|Q
20201204|AGD|18754|0|28534|Q
20201204|AGE|18827|100|156378|Q
20201204|AGEN|397655|3296|895351|Q
20201204|AGFS|4786|0|8386|Q
20201204|AGG|967087|11603|2282679|Q
20201204|AGGP|2662|0|4964|Q
20201204|AGGY|34252|0|73019|Q
20201204|AGI|152859|601|549518|Q
20201204|AGIO|140783|366|167276|Q
20201204|AGLE|8199|1200|53525|Q
20201204|AGM|2564|0|14923|Q
20201204|AGM/A|100|0|149|Q
20201204|AGMH|600|0|703|Q
20201204|AGMpC|3|0|3|Q
20201204|AGMpD|20|0|520|Q
20201204|AGMpE|70|0|690|Q
20201204|AGMpF|5700|100|9698|Q
20201204|AGNC|748612|2029|1568483|Q
20201204|AGNCM|1862|0|9166|Q
20201204|AGNCN|12066|100|18500|Q
20201204|AGNCO|5713|0|12141|Q
20201204|AGNCP|25395|0|47856|Q
20201204|AGO|44763|0|179843|Q
20201204|AGOpB|349|0|1595|Q
20201204|AGOpE|712|0|3189|Q
20201204|AGOpF|600|0|1535|Q
20201204|AGQ|93726|11559|260793|Q
20201204|AGR|57001|0|140184|Q
20201204|AGRO|10248|55|104372|Q
20201204|AGRX|331702|5384|605961|Q
20201204|AGS|29682|0|60487|Q
20201204|AGT|14|13|29|Q
20201204|AGTC|96453|1014|130122|Q
20201204|AGX|3677|0|12346|Q
20201204|AGYS|4246|0|9545|Q
20201204|AGZ|39877|0|61733|Q
20201204|AGZD|1893|0|6914|Q
20201204|AHACU|100|0|127254|Q
20201204|AHACW|139|0|50345|Q
20201204|AHC|2855|0|8779|Q
20201204|AHCO|54663|1263|134393|Q
20201204|AHH|17403|100|88019|Q
20201204|AHHpA|2331|0|2421|Q
20201204|AHLpC|1296|0|6855|Q
20201204|AHLpD|1233|0|2661|Q
20201204|AHLpE|296|0|943|Q
20201204|AHPI|201578|7585|358453|Q
20201204|AHT|1865345|27380|3339693|Q
20201204|AHTpD|1220|0|1899|Q
20201204|AHTpF|1489|0|6268|Q
20201204|AHTpG|1400|0|2750|Q
20201204|AHTpH|4331|0|13069|Q
20201204|AHTpI|2758|0|3657|Q
20201204|AIA|32527|0|320858|Q
20201204|AIC|350|0|552|Q
20201204|AIEQ|2414|0|7863|Q
20201204|AIF|3381|0|14548|Q
20201204|AIG|268186|710|789746|Q
20201204|AIG/WS|29217|0|137229|Q
20201204|AIGpA|4686|0|19985|Q
20201204|AIH|2005|0|5373|Q
20201204|AIHS|263815|488|508098|Q
20201204|AIIQ|138|0|166|Q
20201204|AIKI|1111348|43691|2036355|Q
20201204|AIM|335172|2455|629988|Q
20201204|AIMC|26590|112|112852|Q
20201204|AIN|5124|0|25725|Q
20201204|AINC|3255|0|4870|Q
20201204|AINV|49714|0|194377|Q
20201204|AIO|27771|300|46162|Q
20201204|AIQ|33337|0|35124|Q
20201204|AIR|28193|0|62967|Q
20201204|AIRG|8729|0|45474|Q
20201204|AIRI|72141|500|174031|Q
20201204|AIRR|1310|0|2057|Q
20201204|AIRT|64|0|169|Q
20201204|AIRTP|100|0|100|Q
20201204|AIRTW|4400|0|15460|Q
20201204|AIT|7156|0|33701|Q
20201204|AIV|136952|0|358949|Q
20201204|AIZ|18417|163|63619|Q
20201204|AIZN|4434|0|13282|Q
20201204|AIZP|114|0|123|Q
20201204|AJAX/U|10602|0|19755|Q
20201204|AJG|35924|100|106342|Q
20201204|AJRD|76951|700|128711|Q
20201204|AJX|8780|0|11798|Q
20201204|AJXA|574|0|574|Q
20201204|AKAM|418742|385|588282|Q
20201204|AKBA|280687|984|1061521|Q
20201204|AKER|63507|1101|127637|Q
20201204|AKO/A|4|0|40|Q
20201204|AKO/B|1134|0|1646|Q
20201204|AKR|121375|0|142379|Q
20201204|AKRO|5572|0|24030|Q
20201204|AKTS|136104|2741|251573|Q
20201204|AKTX|46426|6000|67163|Q
20201204|AKU|1120|0|4064|Q
20201204|AKUS|3529|0|10758|Q
20201204|AL|282671|0|418529|Q
20201204|ALAC|610|0|13297|Q
20201204|ALACR|34329|356|39865|Q
20201204|ALACW|101149|8000|237691|Q
20201204|ALB|170824|500|396311|Q
20201204|ALBO|13695|0|22762|Q
20201204|ALC|164462|447|205847|Q
20201204|ALCO|3135|0|5752|Q
20201204|ALDX|33072|0|72146|Q
20201204|ALE|24497|0|40904|Q
20201204|ALEC|80644|0|132498|Q
20201204|ALEX|19414|381|69009|Q
20201204|ALFA|87|0|100|Q
20201204|ALG|2563|0|4708|Q
20201204|ALGM|97411|0|343233|Q
20201204|ALGN|57833|0|134996|Q
20201204|ALGS|11945|0|64855|Q
20201204|ALGT|12958|0|31110|Q
20201204|ALIM|9448|0|13059|Q
20201204|ALINpA|7261|0|7781|Q
20201204|ALINpB|3901|548|6085|Q
20201204|ALINpE|5384|0|9941|Q
20201204|ALJJ|30311|350|73509|Q
20201204|ALK|270927|1437|565139|Q
20201204|ALKS|21349|0|64420|Q
20201204|ALL|143674|102|237055|Q
20201204|ALLE|163097|0|326246|Q
20201204|ALLK|20783|0|59129|Q
20201204|ALLO|65658|300|127691|Q
20201204|ALLT|12730|0|40374|Q
20201204|ALLY|363457|193|624027|Q
20201204|ALLYpA|22849|102|56875|Q
20201204|ALLpB|7431|0|10759|Q
20201204|ALLpG|1694|0|12909|Q
20201204|ALLpH|11232|0|57386|Q
20201204|ALLpI|1021|0|2300|Q
20201204|ALNA|178989|662|374298|Q
20201204|ALNY|19664|0|78850|Q
20201204|ALOT|7921|0|8832|Q
20201204|ALPN|2758|0|16742|Q
20201204|ALPpQ|2598|0|7203|Q
20201204|ALRM|70574|400|105065|Q
20201204|ALRN|52479|0|189568|Q
20201204|ALRS|768|0|1594|Q
20201204|ALSK|906965|4000|2750291|Q
20201204|ALSN|27617|0|203834|Q
20201204|ALT|228290|4890|453264|Q
20201204|ALTA|2047|0|5900|Q
20201204|ALTG|1892|0|2385|Q
20201204|ALTL|368|0|2207|Q
20201204|ALTM|51829|0|111845|Q
20201204|ALTR|49301|0|67137|Q
20201204|ALTY|144|0|6830|Q
20201204|ALUS|3310|0|814939|Q
20201204|ALUS/WS|3702|0|8196|Q
20201204|ALV|40817|0|119895|Q
20201204|ALVR|123444|0|152086|Q
20201204|ALX|1695|0|2560|Q
20201204|ALXN|72516|0|182964|Q
20201204|ALXO|6393|0|38406|Q
20201204|ALYA|82|0|2642|Q
20201204|ALpA|481|0|3846|Q
20201204|AM|451162|4516|1155605|Q
20201204|AMAL|1257|0|20770|Q
20201204|AMAT|567322|3569|1846384|Q
20201204|AMBA|152389|0|423879|Q
20201204|AMBC|42622|0|63294|Q
20201204|AMBC/WS|150|0|175|Q
20201204|AMBO|50574|10|108103|Q
20201204|AMC|7685099|850626|12813194|Q
20201204|AMCI|602510|1570|1138300|Q
20201204|AMCIW|608401|6200|1175794|Q
20201204|AMCR|749424|0|882653|Q
20201204|AMCX|79401|100|129084|Q
20201204|AMD|7192991|48915|16641018|Q
20201204|AME|39134|600|279456|Q
20201204|AMED|13276|0|29123|Q
20201204|AMEH|11693|0|20502|Q
20201204|AMG|47784|0|67861|Q
20201204|AMGN|158684|345|437811|Q
20201204|AMH|150325|133|313623|Q
20201204|AMHCW|111|0|111|Q
20201204|AMHpD|1877|0|3426|Q
20201204|AMHpE|1404|0|4049|Q
20201204|AMHpG|600|0|747|Q
20201204|AMHpH|1013|0|1076|Q
20201204|AMJ|128170|0|380066|Q
20201204|AMK|3393|0|13354|Q
20201204|AMKR|51587|1355|335830|Q
20201204|AMLP|1100383|56000|1647594|Q
20201204|AMN|23342|0|38772|Q
20201204|AMNB|94|0|717|Q
20201204|AMOM|277|0|578|Q
20201204|AMOT|10190|0|21360|Q
20201204|AMP|57286|478|103896|Q
20201204|AMPE|808065|34262|1471222|Q
20201204|AMPH|28150|6|39692|Q
20201204|AMPY|405484|708|748179|Q
20201204|AMRB|47|0|15732|Q
20201204|AMRC|17938|4|44607|Q
