HTTP/1.1 200 OK
Date: Tue, 08 Dec 2020 10:51:45 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 07 Dec 2020 22:23:55 GMT
ETag: "46aac1-43d5c-5b5e7481e33c8"
Accept-Ranges: bytes
Content-Length: 277852
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201207|A|121548|672|573215|Q
20201207|AA|490244|9855|1370886|Q
20201207|AAA|200|0|401|Q
20201207|AAAU|66603|0|99883|Q
20201207|AACG|7611|0|11418|Q
20201207|AACQ|213066|0|1273243|Q
20201207|AACQU|1853|0|2862|Q
20201207|AACQW|38512|0|74870|Q
20201207|AADR|468|0|4559|Q
20201207|AAIC|61166|802|119199|Q
20201207|AAICpB|356|0|367|Q
20201207|AAICpC|492|0|792|Q
20201207|AAL|22184883|76353|59490341|Q
20201207|AAMC|20|0|356|Q
20201207|AAME|242|0|253|Q
20201207|AAN|146302|0|709111|Q
20201207|AAOI|66024|0|148924|Q
20201207|AAON|16421|0|28483|Q
20201207|AAP|112689|61|203841|Q
20201207|AAPL|10770711|37749|25336564|Q
20201207|AAT|12830|189|26520|Q
20201207|AAU|303863|0|476992|Q
20201207|AAWW|103577|0|159026|Q
20201207|AAXJ|89125|0|509859|Q
20201207|AAXN|28238|0|103829|Q
20201207|AB|69786|0|114864|Q
20201207|ABB|94016|0|177551|Q
20201207|ABBV|641757|17474|1579058|Q
20201207|ABC|143063|598|337615|Q
20201207|ABCB|22532|400|64090|Q
20201207|ABCM|4535|0|9927|Q
20201207|ABEO|345617|3144|748923|Q
20201207|ABEQ|1144|0|1195|Q
20201207|ABEV|3627811|4936|6825852|Q
20201207|ABG|49796|0|83556|Q
20201207|ABIO|31837|308|61574|Q
20201207|ABM|19367|52|58628|Q
20201207|ABMD|19301|0|52084|Q
20201207|ABR|157340|2356|388591|Q
20201207|ABRpA|616|0|1284|Q
20201207|ABRpC|2501|0|5104|Q
20201207|ABST|9669|0|26983|Q
20201207|ABT|309831|1506|1380834|Q
20201207|ABTX|1075|0|4579|Q
20201207|ABUS|175110|839|474615|Q
20201207|AC|490|0|1141|Q
20201207|ACA|19626|200|72521|Q
20201207|ACACU|147|0|6327|Q
20201207|ACAD|58480|395|242958|Q
20201207|ACAM|134955|100|505344|Q
20201207|ACAMW|21648|0|34448|Q
20201207|ACB|7418070|193345|14440250|Q
20201207|ACBI|3519|0|7608|Q
