HTTP/1.1 200 OK
Date: Wed, 09 Dec 2020 21:37:39 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 08 Dec 2020 22:23:56 GMT
ETag: "46b042-43acb-5b5fb660464c0"
Accept-Ranges: bytes
Content-Length: 277195
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201208|A|96272|6433|232808|Q
20201208|AA|301906|4059|1006818|Q
20201208|AAA|160|0|1190|Q
20201208|AAAU|15143|0|70194|Q
20201208|AACG|1455|0|5622|Q
20201208|AACQ|155309|0|1534783|Q
20201208|AACQU|6421|0|48032|Q
20201208|AACQW|51116|1|198555|Q
20201208|AADR|1095|0|2177|Q
20201208|AAIC|133080|0|178995|Q
20201208|AAICpB|203|0|203|Q
20201208|AAICpC|184|0|784|Q
20201208|AAL|13992721|201954|36770011|Q
20201208|AAMC|10|0|135|Q
20201208|AAME|2|0|702|Q
20201208|AAN|247308|1688|1608877|Q
20201208|AAOI|94229|764|175699|Q
20201208|AAON|11846|0|43326|Q
20201208|AAP|163678|523|258428|Q
20201208|AAPL|11985159|88457|23738074|Q
20201208|AAT|19342|0|33837|Q
20201208|AAU|329219|500|599313|Q
20201208|AAWW|59477|100|105433|Q
20201208|AAXJ|112098|3600|175216|Q
20201208|AAXN|24814|0|149493|Q
20201208|AB|80045|6900|151527|Q
20201208|ABB|93823|0|180950|Q
20201208|ABBV|959084|5890|2015553|Q
20201208|ABC|95854|3|183195|Q
20201208|ABCB|85809|400|193564|Q
20201208|ABCM|6847|0|9877|Q
20201208|ABEO|235038|0|1047326|Q
20201208|ABEQ|2171|0|2189|Q
20201208|ABEV|2516414|400|5038835|Q
20201208|ABG|14665|8|33526|Q
20201208|ABIO|38357|1087|70409|Q
20201208|ABM|50786|700|95228|Q
20201208|ABMD|21456|159|36451|Q
20201208|ABR|269268|500|693665|Q
20201208|ABRpA|500|0|700|Q
20201208|ABRpB|100|0|100|Q
20201208|ABRpC|450|0|550|Q
20201208|ABST|13889|0|174071|Q
20201208|ABT|170821|918|1151062|Q
20201208|ABTX|6300|0|9425|Q
20201208|ABUS|160372|1685|636324|Q
20201208|AC|274|0|1746|Q
20201208|ACA|8418|0|43591|Q
20201208|ACACU|700|0|52838|Q
20201208|ACAD|73045|1500|302289|Q
20201208|ACAM|287853|0|859147|Q
20201208|ACAMU|1000|0|1050|Q
20201208|ACAMW|24776|0|26889|Q
20201208|ACB|1842678|18123|7910521|Q
20201208|ACBI|2395|0|6926|Q
20201208|ACC|148037|29|336873|Q
20201208|ACCD|79392|200|141802|Q
20201208|ACCO|26490|1200|121176|Q
20201208|ACEL|57832|2300|85534|Q
20201208|ACER|12115|0|37842|Q
20201208|ACES|16988|0|34894|Q
20201208|ACET|6515|140|18677|Q
20201208|ACEV|1925|0|7565|Q
20201208|ACEVW|2038|0|6521|Q
20201208|ACGL|120057|0|354690|Q
20201208|ACGLO|928|0|2359|Q
20201208|ACGLP|2372|29|6239|Q
20201208|ACH|4807|600|16668|Q
20201208|ACHC|38685|0|416455|Q
20201208|ACHV|75762|100|115184|Q
20201208|ACI|377996|1100|965878|Q
20201208|ACIA|30122|0|130224|Q
20201208|ACIC/U|1000|0|20822|Q
20201208|ACIO|2736|0|9224|Q
20201208|ACIU|29863|0|124051|Q
20201208|ACIW|60584|44|264772|Q
20201208|ACLS|7811|0|30625|Q
20201208|ACM|37451|0|639440|Q
20201208|ACMR|16947|0|40466|Q
20201208|ACN|130170|0|360591|Q
20201208|ACNB|883|0|2055|Q
20201208|ACND|2620|0|12496|Q
20201208|ACND/WS|25442|85|28742|Q
20201208|ACOR|392280|7794|697595|Q
20201208|ACP|4102|300|22559|Q
20201208|ACRE|48043|0|111934|Q
20201208|ACRS|48766|200|131723|Q
20201208|ACRX|340624|0|546140|Q
20201208|ACSG|85|0|171|Q
20201208|ACSI|5|0|5|Q
20201208|ACST|744798|12500|1558925|Q
20201208|ACTC|34977|0|217029|Q
20201208|ACTCU|60|0|32420|Q
20201208|ACTCW|14115|0|18813|Q
20201208|ACTG|34924|0|111525|Q
20201208|ACTV|58|0|886|Q
20201208|ACU|1363|0|5915|Q
20201208|ACV|8602|0|19155|Q
20201208|ACVF|107|0|361|Q
20201208|ACWF|594|0|1004|Q
20201208|ACWI|99135|100|185427|Q
20201208|ACWV|8374|0|90730|Q
20201208|ACWX|84818|0|206671|Q
20201208|ACY|676|0|1415|Q
20201208|ADAP|221234|8896|721259|Q
20201208|ADBE|228591|680|557373|Q
20201208|ADC|51696|0|435201|Q
20201208|ADCT|14487|0|42090|Q
20201208|ADES|2443|0|14358|Q
20201208|ADI|351507|500|812474|Q
20201208|ADIL|25504|270|111128|Q
20201208|ADILW|500|0|3660|Q
20201208|ADM|105416|418|307550|Q
20201208|ADMA|1423579|3662|5046298|Q
20201208|ADME|2749|0|4419|Q
20201208|ADMP|1266182|20281|2260524|Q
20201208|ADMS|37210|0|88046|Q
20201208|ADNT|52924|800|200248|Q
20201208|ADOCU|3385|0|3541|Q
20201208|ADP|109270|0|211201|Q
20201208|ADPT|98660|1709|173564|Q
20201208|ADRE|5390|0|17801|Q
20201208|ADS|221895|661|483051|Q
20201208|ADSK|93834|1204|192718|Q
20201208|ADT|435019|1045|1870895|Q
20201208|ADTN|61716|0|165488|Q
20201208|ADTX|55401|0|164232|Q
20201208|ADUS|15369|0|65072|Q
20201208|ADV|212844|0|471571|Q
20201208|ADVM|53633|0|108486|Q
20201208|ADVWW|349|0|1461|Q
20201208|ADX|25552|718|85408|Q
20201208|ADXS|905153|49404|1903048|Q
20201208|AE|469|0|1105|Q
20201208|AEB|2079|0|14903|Q
20201208|AEE|226049|300|400315|Q
20201208|AEF|8378|0|24713|Q
20201208|AEFC|10926|200|21469|Q
20201208|AEG|94655|3600|204783|Q
20201208|AEGN|7529|0|16010|Q
20201208|AEHL|109571|300|258306|Q
20201208|AEHR|56387|0|107526|Q
20201208|AEIS|28745|0|76005|Q
20201208|AEL|41791|0|100546|Q
20201208|AELpA|403|0|4327|Q
20201208|AELpB|1281|0|3244|Q
20201208|AEM|150624|0|286193|Q
20201208|AEMD|3768|0|28158|Q
20201208|AENZ|6|0|10008|Q
20201208|AEO|2853737|1746|4723429|Q
20201208|AEP|109554|843|457844|Q
20201208|AEPPL|3206|0|5021|Q
20201208|AEPPZ|2519|0|4339|Q
20201208|AER|43554|0|358166|Q
20201208|AERI|49461|0|159264|Q
20201208|AES|663093|500|1099687|Q
