HTTP/1.1 200 OK
Date: Tue, 15 Dec 2020 12:44:16 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 14 Dec 2020 22:23:51 GMT
ETag: "46c708-44739-5b67418c1cd28"
Accept-Ranges: bytes
Content-Length: 280377
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201214|A|101070|105|221571|Q
20201214|AA|482249|46168|1516622|Q
20201214|AAA|2|0|5|Q
20201214|AAAU|19385|0|139961|Q
20201214|AACG|7261|0|10341|Q
20201214|AACQ|89360|1200|459113|Q
20201214|AACQU|8363|0|14416|Q
20201214|AACQW|118216|0|241011|Q
20201214|AADR|520|0|2104|Q
20201214|AAIC|18742|836|34581|Q
20201214|AAICpB|100|0|1100|Q
20201214|AAICpC|1100|0|1927|Q
20201214|AAL|10669094|60031|32294352|Q
20201214|AAMC|11|0|313|Q
20201214|AAME|1016|0|1655|Q
20201214|AAN|87774|0|377644|Q
20201214|AAOI|65181|0|129684|Q
20201214|AAON|8082|0|18837|Q
20201214|AAP|118488|20|184013|Q
20201214|AAPL|10796632|56731|21335801|Q
20201214|AAT|18559|0|59683|Q
20201214|AAU|174670|300|335254|Q
20201214|AAWW|53198|0|99314|Q
20201214|AAXJ|535304|0|661542|Q
20201214|AAXN|103505|0|337555|Q
20201214|AB|93738|634|140470|Q
20201214|ABB|221187|0|320726|Q
20201214|ABBV|766121|1692|1827919|Q
20201214|ABC|78428|40|206139|Q
20201214|ABCB|42897|0|114995|Q
20201214|ABCL|219730|5535|447807|Q
20201214|ABCM|8857|0|9480|Q
20201214|ABEO|281721|0|623173|Q
20201214|ABEQ|348|0|1929|Q
20201214|ABEV|4369402|0|6249440|Q
20201214|ABG|16181|0|25030|Q
20201214|ABIO|15080|0|80671|Q
20201214|ABM|25485|0|70487|Q
20201214|ABMD|45063|0|67903|Q
20201214|ABNB|3238188|146907|6481002|Q
20201214|ABR|192403|613|674275|Q
20201214|ABRpA|675|0|1401|Q
20201214|ABRpB|200|0|200|Q
20201214|ABRpC|601|0|1215|Q
20201214|ABST|13016|0|15211|Q
20201214|ABT|316660|3435|1409914|Q
20201214|ABTX|3944|0|12075|Q
20201214|ABUS|4500612|44547|8673217|Q
20201214|AC|517|0|1050|Q
20201214|ACA|24554|0|41400|Q
20201214|ACACU|3185|100|15795|Q
20201214|ACAD|68870|0|256966|Q
20201214|ACAM|137920|0|327886|Q
20201214|ACAMW|4775|0|39471|Q
20201214|ACB|2250440|25178|4176509|Q
20201214|ACBI|2498|0|6697|Q
20201214|ACC|119383|0|285035|Q
20201214|ACCD|69555|0|95414|Q
20201214|ACCO|45318|0|145543|Q
20201214|ACEL|69530|21700|111836|Q
