HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:26 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 22 Dec 2020 22:24:00 GMT
ETag: "46e7e4-44dc5-5b7150808a5f0"
Accept-Ranges: bytes
Content-Length: 282053
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201222|A|127634|1500|314556|Q
20201222|AA|170226|2051|843472|Q
20201222|AAA|26|0|1031|Q
20201222|AAAU|32568|0|87392|Q
20201222|AACG|3520|0|5456|Q
20201222|AACQ|175723|1710|503323|Q
20201222|AACQU|3471|0|146832|Q
20201222|AACQW|89712|0|156875|Q
20201222|AADR|581|0|2308|Q
20201222|AAIC|40357|0|71036|Q
20201222|AAICpB|290|0|1292|Q
20201222|AAICpC|27|0|27|Q
20201222|AAL|7785421|93594|25711387|Q
20201222|AAMC|2|0|206|Q
20201222|AAME|703|0|1337|Q
20201222|AAN|60061|83|313731|Q
20201222|AAOI|169485|500|322756|Q
20201222|AAON|15302|400|22968|Q
20201222|AAP|39135|0|132289|Q
20201222|AAPL|35453031|339311|61661855|Q
20201222|AAT|12904|0|34013|Q
20201222|AAU|900415|124783|2074471|Q
20201222|AAWW|31448|0|75687|Q
20201222|AAXJ|279467|0|381100|Q
20201222|AAXN|49950|3|208611|Q
20201222|AB|57842|2626|111188|Q
20201222|ABB|204466|14300|507195|Q
20201222|ABBV|535054|1167|1149911|Q
20201222|ABC|96798|0|155323|Q
20201222|ABCB|21156|0|34090|Q
20201222|ABCL|196322|9182|336337|Q
20201222|ABCM|805720|0|813320|Q
20201222|ABEO|544131|9490|976132|Q
20201222|ABEQ|1253|0|2458|Q
20201222|ABEV|1698205|3633|3017463|Q
20201222|ABG|14252|0|37188|Q
20201222|ABIO|838492|8745|1569476|Q
20201222|ABM|46487|89|101430|Q
20201222|ABMD|29141|0|47758|Q
20201222|ABNB|1493394|16864|3797226|Q
20201222|ABR|115593|1296|188825|Q
20201222|ABRpB|450|0|1200|Q
20201222|ABRpC|247|0|1445|Q
20201222|ABST|8997|0|13346|Q
20201222|ABT|338573|2157|887484|Q
20201222|ABTX|3904|1100|11598|Q
20201222|ABUS|919519|62063|2530385|Q
20201222|AC|1902|0|2652|Q
20201222|ACA|13736|0|29559|Q
20201222|ACAC|1549|0|1601|Q
20201222|ACACU|11798|0|14927|Q
20201222|ACAD|42132|21|182958|Q
20201222|ACAM|81174|0|501022|Q
20201222|ACAMU|500|0|500|Q
20201222|ACAMW|20295|0|119839|Q
20201222|ACB|1668081|23565|3676236|Q
20201222|ACBI|4801|0|10306|Q
20201222|ACC|150110|1200|186520|Q
20201222|ACCD|47321|0|78918|Q
20201222|ACCO|94171|0|277832|Q
20201222|ACEL|25737|100|101691|Q
20201222|ACER|51953|100|99303|Q
20201222|ACES|123629|0|146218|Q
20201222|ACET|10252|0|17079|Q
20201222|ACEV|21736|0|74178|Q
20201222|ACEVW|24097|2700|27497|Q
20201222|ACGL|117001|0|297407|Q
20201222|ACGLO|4169|0|6713|Q
20201222|ACGLP|8571|0|15970|Q
20201222|ACH|4459|0|19328|Q
20201222|ACHC|91871|0|206370|Q
20201222|ACHV|37698|0|59800|Q
20201222|ACI|243454|2050|476371|Q
20201222|ACIA|40107|0|243320|Q
20201222|ACIC|22453|0|23546|Q
20201222|ACIC/U|24800|0|47328|Q
20201222|ACIC/WS|859|0|1859|Q
20201222|ACIO|2433|0|4285|Q
20201222|ACIU|25642|204|72332|Q
20201222|ACIW|37735|3|81994|Q
20201222|ACKIU|19562|0|59423|Q
20201222|ACLS|27137|141|46380|Q
20201222|ACM|40954|0|115373|Q
20201222|ACMR|16764|0|26097|Q
20201222|ACN|167256|3662|336831|Q
20201222|ACNB|2823|0|5379|Q
20201222|ACND|12635|0|240168|Q
20201222|ACND/U|10|0|101010|Q
20201222|ACND/WS|5141|0|327511|Q
20201222|ACOR|372768|3200|961967|Q
20201222|ACP|22985|3100|59665|Q
20201222|ACRE|62572|0|96330|Q
20201222|ACRS|297135|3042|707241|Q
20201222|ACRX|335663|0|678838|Q
20201222|ACSG|326|0|656|Q
20201222|ACSI|117|0|222|Q
20201222|ACST|2010862|49700|4612003|Q
20201222|ACTC|20092|0|115294|Q
20201222|ACTCU|8200|0|27776|Q
20201222|ACTCW|8660|0|41253|Q
