HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:17 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 24 Dec 2020 22:23:35 GMT
ETag: "46f287-40dd2-5b73d42328ef8"
Accept-Ranges: bytes
Content-Length: 265682
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201224|A|34249|0|331005|Q
20201224|AA|67210|2000|277924|Q
20201224|AAAU|13746|0|22962|Q
20201224|AACG|5925|0|33434|Q
20201224|AACQ|65430|0|319355|Q
20201224|AACQU|3350|0|9950|Q
20201224|AACQW|60259|0|142320|Q
20201224|AADR|356|0|524|Q
20201224|AAIC|11824|0|23203|Q
20201224|AAL|3569733|13016|11114595|Q
20201224|AAN|31334|0|222030|Q
20201224|AAOI|124804|2807|176033|Q
20201224|AAON|5822|0|8218|Q
20201224|AAP|27332|0|58635|Q
20201224|AAPL|12612864|69357|22143904|Q
20201224|AAT|47709|0|53219|Q
20201224|AAU|280718|29920|665452|Q
20201224|AAWW|14948|5|27984|Q
20201224|AAXJ|113994|0|157796|Q
20201224|AAXN|28170|0|50335|Q
20201224|AB|13324|0|24835|Q
20201224|ABB|80279|0|138172|Q
20201224|ABBV|236126|1097|411752|Q
20201224|ABC|31015|1526|57574|Q
20201224|ABCB|9465|200|14494|Q
20201224|ABCL|134581|600|236100|Q
20201224|ABCM|3402|0|5174|Q
20201224|ABEO|535662|2002|804147|Q
20201224|ABEQ|100|0|200|Q
20201224|ABEV|525572|0|878730|Q
20201224|ABG|1230|0|13474|Q
20201224|ABIO|69377|0|134719|Q
20201224|ABM|9857|0|33118|Q
20201224|ABMD|11648|700|21028|Q
20201224|ABNB|499993|2637|1261365|Q
20201224|ABR|53776|0|117346|Q
20201224|ABRpA|200|0|1000|Q
20201224|ABRpB|100|0|100|Q
20201224|ABRpC|1200|0|2890|Q
20201224|ABST|1215|0|4117|Q
20201224|ABT|124640|584|447220|Q
20201224|ABTX|1537|0|2530|Q
20201224|ABUS|345095|7062|936129|Q
20201224|AC|41|0|420|Q
20201224|ACA|1690|0|10031|Q
20201224|ACAC|234|0|381|Q
20201224|ACACU|118|0|6543|Q
20201224|ACACW|1650|0|1853|Q
20201224|ACAD|19610|0|66297|Q
20201224|ACAM|21257|0|235654|Q
20201224|ACAMW|1531|0|6745|Q
20201224|ACB|1705786|27366|3096781|Q
20201224|ACBI|683|0|2688|Q
20201224|ACC|63917|0|84183|Q
20201224|ACCD|25531|0|34112|Q
20201224|ACCO|20370|411|62367|Q
20201224|ACEL|11231|0|46215|Q
20201224|ACER|19573|0|46435|Q
20201224|ACES|8979|0|41938|Q
20201224|ACET|1517|0|2893|Q
20201224|ACEV|53766|100|189594|Q
20201224|ACEVW|27136|0|31429|Q
20201224|ACGL|48734|0|124672|Q
20201224|ACGLO|1445|0|3108|Q
20201224|ACGLP|6050|0|8530|Q
20201224|ACH|6492|0|10767|Q
20201224|ACHC|23614|0|32541|Q
