HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:08 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 29 Dec 2020 22:21:32 GMT
ETag: "46fee0-44cad-5b7a1d01c0c30"
Accept-Ranges: bytes
Content-Length: 281773
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201229|A|88951|300|243899|Q
20201229|AA|299970|0|1172979|Q
20201229|AAA|801|0|802|Q
20201229|AAAU|32766|0|55531|Q
20201229|AACG|33618|0|72548|Q
20201229|AACQ|207661|3700|869582|Q
20201229|AACQU|3457|0|26891|Q
20201229|AACQW|60197|0|159640|Q
20201229|AADR|3252|0|9152|Q
20201229|AAIC|35151|21|65567|Q
20201229|AAICpC|301|0|445|Q
20201229|AAL|5118238|43413|16589771|Q
20201229|AAMC|1989|0|4502|Q
20201229|AAME|217|0|654|Q
20201229|AAN|59449|0|249509|Q
20201229|AAOI|186936|2103|335272|Q
20201229|AAON|29146|0|48646|Q
20201229|AAP|43347|2|145822|Q
20201229|AAPL|14357353|124566|43992571|Q
20201229|AAT|10215|0|15571|Q
20201229|AAU|313270|19567|591206|Q
20201229|AAWW|77859|56|123351|Q
20201229|AAXJ|152071|0|256744|Q
20201229|AAXN|47261|740|190245|Q
20201229|AB|39796|200|90251|Q
20201229|ABB|164413|379|237406|Q
20201229|ABBV|511973|7606|1069885|Q
20201229|ABC|110276|218|193802|Q
20201229|ABCB|20627|0|58296|Q
20201229|ABCL|390874|0|704710|Q
20201229|ABCM|211704|0|248598|Q
20201229|ABEO|632813|2500|978060|Q
20201229|ABEQ|5714|0|5814|Q
20201229|ABEV|1810186|300|4024636|Q
20201229|ABG|5598|0|16138|Q
20201229|ABIO|88013|410|204432|Q
20201229|ABM|9585|3|38288|Q
20201229|ABMD|79832|0|115351|Q
20201229|ABNB|1188223|8163|1939278|Q
20201229|ABR|128720|2811|244338|Q
20201229|ABRpA|1016|0|1966|Q
20201229|ABRpC|415|0|665|Q
20201229|ABST|20780|2100|30734|Q
20201229|ABT|180533|692|674643|Q
20201229|ABTX|2205|0|5797|Q
20201229|ABUS|479379|9979|1122545|Q
20201229|AC|111|0|370|Q
20201229|ACA|17521|0|29661|Q
20201229|ACAC|18090|0|28830|Q
20201229|ACACU|1880|0|48054|Q
20201229|ACACW|5494|0|25497|Q
20201229|ACAD|67022|611|135442|Q
20201229|ACAM|753492|1813|2652163|Q
20201229|ACAMU|2|0|482|Q
20201229|ACAMW|79163|2285|131909|Q
20201229|ACB|1814628|51250|3661448|Q
20201229|ACBI|2577|0|9179|Q
20201229|ACC|61039|300|160761|Q
