HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:02 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 31 Dec 2020 22:23:12 GMT
ETag: "4709a7-44791-5b7ca11be76c8"
Accept-Ranges: bytes
Content-Length: 280465
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201231|A|59580|3527|229657|Q
20201231|AA|342163|500|1027399|Q
20201231|AAAU|18463|0|43307|Q
20201231|AACG|12387|14|16769|Q
20201231|AACQ|184592|24|557221|Q
20201231|AACQU|1891|0|11006|Q
20201231|AACQW|36114|1428|95072|Q
20201231|AADR|734|0|4827|Q
20201231|AAIC|27643|820|64647|Q
20201231|AAICpB|1|0|157|Q
20201231|AAICpC|1105|0|1374|Q
20201231|AAL|6215962|50852|18437966|Q
20201231|AAMC|214|0|350|Q
20201231|AAME|926|0|2519|Q
20201231|AAN|75459|0|140772|Q
20201231|AAOI|126227|1122|259042|Q
20201231|AAON|34797|0|52022|Q
20201231|AAP|65342|250|112436|Q
20201231|AAPL|11167472|220863|33961570|Q
20201231|AAT|6022|0|8135|Q
20201231|AAU|318680|2200|551757|Q
20201231|AAWW|37848|0|76694|Q
20201231|AAXJ|118770|0|239206|Q
20201231|AAXN|22455|300|50729|Q
20201231|AB|58190|3274|81945|Q
20201231|ABB|68310|3474|138271|Q
20201231|ABBV|722099|9964|1272962|Q
20201231|ABC|50090|72|95601|Q
20201231|ABCB|15120|500|47741|Q
20201231|ABCL|532534|0|673304|Q
20201231|ABCM|46473|0|96770|Q
20201231|ABEO|267437|70|415822|Q
20201231|ABEQ|1|0|40|Q
20201231|ABEV|625991|25|975692|Q
20201231|ABG|9293|0|15667|Q
20201231|ABIO|70586|0|215817|Q
20201231|ABM|33921|0|58314|Q
20201231|ABMD|42370|100|50845|Q
20201231|ABNB|605109|4010|997871|Q
20201231|ABR|103171|5383|237954|Q
20201231|ABRpA|200|0|1235|Q
20201231|ABRpB|82|0|117|Q
20201231|ABRpC|404|0|1139|Q
20201231|ABST|22658|0|22908|Q
20201231|ABT|196444|4201|574889|Q
20201231|ABTX|2090|0|7549|Q
20201231|ABUS|298311|5649|897421|Q
20201231|AC|137|0|634|Q
20201231|ACA|12009|0|18469|Q
20201231|ACAC|1209|0|3014|Q
20201231|ACACU|2300|0|50212|Q
20201231|ACACW|100|0|500|Q
20201231|ACAD|43255|0|137138|Q
20201231|ACAM|220492|4311|428780|Q
20201231|ACAMU|820|0|1168|Q
20201231|ACAMW|81091|0|104480|Q
20201231|ACB|1499365|5647|2729790|Q
20201231|ACBI|1399|0|3556|Q
20201231|ACC|52451|4|123732|Q
20201231|ACCD|213040|24908|277731|Q
20201231|ACCO|18925|0|58093|Q
20201231|ACEL|32585|0|57539|Q
20201231|ACER|6251|24|51664|Q
20201231|ACES|49867|0|64589|Q
20201231|ACET|11962|0|16924|Q
20201231|ACEV|2381|0|5781|Q
20201231|ACEVW|900|0|7610|Q
20201231|ACGL|113369|0|399833|Q
20201231|ACGLO|2944|0|7245|Q
20201231|ACGLP|2895|113|14386|Q
20201231|ACH|4020|0|14535|Q
20201231|ACHC|54371|0|141791|Q
20201231|ACHV|6322|300|29008|Q
20201231|ACI|572457|1800|973734|Q
20201231|ACIA|35202|0|141072|Q
20201231|ACIC|2316|0|17252|Q
20201231|ACIC/WS|7942|0|43770|Q
20201231|ACIO|14062|0|16118|Q
20201231|ACIU|30634|700|88436|Q
20201231|ACIW|29775|0|107914|Q
20201231|ACKIU|8100|0|18215|Q
20201231|ACLS|15760|0|36174|Q
20201231|ACM|52607|200|200748|Q
20201231|ACMR|40413|45|63991|Q
20201231|ACN|123717|7607|253577|Q
20201231|ACNB|1331|0|3228|Q
20201231|ACND|3032|0|34551|Q
20201231|ACND/WS|2722|0|20532|Q
20201231|ACOR|3007682|114527|5442734|Q
20201231|ACP|37196|32|85674|Q
20201231|ACRE|23287|0|54739|Q
20201231|ACRS|59714|0|118858|Q
20201231|ACRX|262196|16550|554062|Q
20201231|ACSG|20|0|20|Q
20201231|ACSI|193|0|317|Q
20201231|ACST|4265271|232871|8789365|Q
20201231|ACTC|6116|75|68760|Q
20201231|ACTCU|18204|0|67087|Q
20201231|ACTCW|5779|0|9505|Q
20201231|ACTG|25842|4300|102911|Q
20201231|ACTV|580|0|4403|Q
20201231|ACU|1611|0|5900|Q
20201231|ACV|8073|0|21957|Q
20201231|ACVF|693|0|694|Q
20201231|ACWF|1988|0|2358|Q
20201231|ACWI|418894|1000|1465331|Q
20201231|ACWV|42637|0|91565|Q
20201231|ACWX|126185|2400|231407|Q
20201231|ACY|6518551|276920|11930822|Q
20201231|ADAP|155492|0|326034|Q
20201231|ADBE|84934|65|266319|Q
20201231|ADC|36620|0|45535|Q
20201231|ADCT|82661|0|107724|Q
20201231|ADES|9060|0|16135|Q
20201231|ADI|258922|8293|395589|Q
20201231|ADIL|14031|0|109601|Q
20201231|ADM|201770|429|327299|Q
20201231|ADMA|548500|1100|1161775|Q
20201231|ADME|12879|0|13138|Q
20201231|ADMP|445816|3505|789813|Q
20201231|ADMS|23323|0|38735|Q
20201231|ADNT|62182|0|112734|Q
20201231|ADOC|589|0|986|Q
20201231|ADOCR|33864|0|57298|Q
20201231|ADOCW|15451|0|36537|Q
20201231|ADP|124607|545|222632|Q
20201231|ADPT|56939|0|78805|Q
20201231|ADRE|5881|0|6696|Q
20201231|ADS|109131|1705|169817|Q
20201231|ADSK|73033|0|134624|Q
20201231|ADT|197239|863|743137|Q
20201231|ADTN|14966|0|28850|Q
20201231|ADTX|48811|0|152610|Q
20201231|ADUS|7994|1|12081|Q
20201231|ADV|61838|0|158252|Q
20201231|ADVM|101216|0|204717|Q
20201231|ADVWW|100|0|10895|Q
20201231|ADX|24646|0|54959|Q
20201231|ADXN|1367|0|7302|Q
20201231|ADXS|2206349|29681|3685785|Q
20201231|AE|1354|1|3863|Q
20201231|AEB|1470|35|1737|Q
20201231|AEE|66418|3451|120120|Q
20201231|AEF|13563|0|18973|Q
20201231|AEFC|11997|820|29024|Q
20201231|AEG|84950|0|231510|Q
20201231|AEGN|4887|0|6495|Q
20201231|AEHL|45444|0|125386|Q
20201231|AEHR|94023|0|156360|Q
20201231|AEIS|16049|0|28522|Q
20201231|AEL|46050|0|130638|Q
20201231|AELpA|3520|500|7337|Q
20201231|AELpB|1645|0|5305|Q
20201231|AEM|92133|106|143394|Q
20201231|AEMD|1041436|29346|1701166|Q
20201231|AENZ|5500|0|13737|Q
20201231|AEO|180946|80|399379|Q
20201231|AEP|177705|109|290985|Q
20201231|AEPPL|5216|0|23574|Q
20201231|AEPPZ|10599|0|15511|Q
20201231|AER|63498|0|144431|Q
20201231|AERI|32140|8|60115|Q
20201231|AES|295691|2328|727907|Q
20201231|AESE|80096|775|308746|Q
20201231|AESR|122|0|528|Q
20201231|AEY|14317|300|50457|Q
20201231|AEYE|7307|0|12457|Q
20201231|AEZS|666201|592|930312|Q
20201231|AFB|5278|0|11481|Q
20201231|AFC|4368|2828|6564|Q
20201231|AFG|23953|0|57678|Q
20201231|AFGB|3187|0|6410|Q
20201231|AFGC|423|100|971|Q
20201231|AFGD|780|598|1955|Q
20201231|AFGE|900|0|2054|Q
20201231|AFI|9719|0|31960|Q
20201231|AFIB|18078|0|33164|Q
20201231|AFIF|8239|0|14154|Q
20201231|AFIN|34668|3100|107623|Q
20201231|AFINO|1774|0|5900|Q
20201231|AFINP|3097|0|7367|Q
20201231|AFK|729|0|2942|Q
20201231|AFL|117118|103|330267|Q
20201231|AFLG|3|0|3|Q
20201231|AFMD|112926|2970|195031|Q
20201231|AFT|10091|0|17970|Q
20201231|AFTY|3396|0|4666|Q
20201231|AFYA|40996|0|47745|Q
20201231|AG|493056|15890|1367314|Q
20201231|AGBA|1678|0|5879|Q
20201231|AGBAR|1300|0|3300|Q
20201231|AGBAW|4971|1200|25046|Q
20201231|AGC|8908|0|12638|Q
20201231|AGCO|29676|0|111617|Q
20201231|AGCUU|2546|0|15347|Q
20201231|AGCWW|104|0|164|Q
20201231|AGD|8209|10|12803|Q
20201231|AGE|23727|400|71757|Q
20201231|AGEN|252132|2004|426453|Q
20201231|AGFS|6205|300|13397|Q
20201231|AGG|1406859|0|2419671|Q
20201231|AGGP|200|0|8119|Q
20201231|AGGY|9327|0|51028|Q
20201231|AGI|149341|0|418263|Q
20201231|AGIO|76940|1128|105195|Q
20201231|AGLE|19078|0|25503|Q
20201231|AGM|3932|0|5380|Q
20201231|AGM/A|4|0|16|Q
20201231|AGMH|1216|0|1216|Q
20201231|AGMpD|224|0|502|Q
20201231|AGMpE|998|0|4012|Q
20201231|AGMpF|169|0|172|Q
20201231|AGNC|694110|3529|1399691|Q
20201231|AGNCM|5202|0|15803|Q
20201231|AGNCN|8709|0|19204|Q
20201231|AGNCO|11465|0|25395|Q
20201231|AGNCP|13120|0|57840|Q
20201231|AGO|90682|0|134515|Q
20201231|AGOpB|345|0|1123|Q
20201231|AGOpE|913|0|2388|Q
20201231|AGOpF|60|0|60|Q
20201231|AGQ|64243|0|303495|Q
20201231|AGR|44627|0|87528|Q
20201231|AGRO|26348|0|45073|Q
20201231|AGRX|128303|9991|235867|Q
20201231|AGS|51217|0|75505|Q
20201231|AGT|6|0|1011|Q
20201231|AGTC|36827|200|76095|Q
20201231|AGX|4209|0|9035|Q
20201231|AGYS|2649|0|13998|Q
