HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:48:19 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 13 Oct 2020 21:22:23 GMT
ETag: "45489a-33b09-5b19402cc64b8"
Accept-Ranges: bytes
Content-Length: 211721
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201013|A|4377|0|9483|N
20201013|AA|193957|0|450284|N
20201013|AAA|250|0|250|N
20201013|AAAU|5924|0|16560|N
20201013|AACG|3010|50|31471|N
20201013|AACQ|56|0|5640|N
20201013|AACQW|2790|0|5003|N
20201013|AAL|4670157|0|8749222|N
20201013|AAMC|75|0|395|N
20201013|AAME|13577|0|14267|N
20201013|AAN|1226|0|7352|N
20201013|AAOI|8670|0|22101|N
20201013|AAON|571|0|2345|N
20201013|AAP|6089|0|10236|N
20201013|AAPL|23180733|200|44818064|N
20201013|AAT|299|0|991|N
20201013|AAU|9725|0|51970|N
20201013|AAWW|8521|0|13300|N
20201013|AAXJ|20002|0|31237|N
20201013|AAXN|4684|0|14463|N
20201013|AB|30645|0|66309|N
20201013|ABB|8445|0|14443|N
20201013|ABBV|382694|39|514978|N
20201013|ABC|5911|0|13499|N
20201013|ABCB|582|7|2399|N
20201013|ABEO|83265|0|236420|N
20201013|ABEV|354413|0|957774|N
20201013|ABG|145|0|354|N
20201013|ABIO|31643|0|66321|N
20201013|ABM|194|0|1656|N
20201013|ABMD|1304|0|2692|N
20201013|ABR|24915|0|54459|N
20201013|ABT|130844|0|232788|N
20201013|ABTX|24|0|24|N
20201013|ABUS|36373|0|115985|N
20201013|ACA|2191|0|3872|N
20201013|ACAD|5741|0|20823|N
20201013|ACAMW|300|0|1001|N
20201013|ACB|721485|5|1604050|N
20201013|ACC|11445|0|17184|N
20201013|ACCD|4916|0|20264|N
20201013|ACCO|4045|400|7421|N
20201013|ACEL|1103|0|2709|N
20201013|ACER|1131|0|7894|N
20201013|ACES|4844|0|8916|N
20201013|ACET|278|0|3357|N
20201013|ACEV|10|0|215|N
20201013|ACGL|7398|25|30467|N
20201013|ACGLP|198|0|313|N
20201013|ACH|2298|0|4620|N
20201013|ACHC|2098|0|8485|N
20201013|ACHV|2986|0|5824|N
20201013|ACI|66695|0|168507|N
20201013|ACIA|1299|0|3562|N
20201013|ACIO|846|0|904|N
20201013|ACIU|6130|0|17658|N
20201013|ACIW|11685|0|25275|N
20201013|ACLS|2560|0|11367|N
20201013|ACM|8419|0|23118|N
20201013|ACMR|3521|0|14492|N
20201013|ACN|8272|0|15901|N
20201013|ACND|15|0|15|N
20201013|ACND/WS|5|0|5|N
20201013|ACOR|94788|115|237842|N
20201013|ACP|5323|0|6906|N
20201013|ACRE|8110|0|8634|N
20201013|ACRS|18670|0|97147|N
20201013|ACRX|165456|1845|429881|N
20201013|ACST|224139|0|517090|N
20201013|ACT|212|0|539|N
20201013|ACTCU|125|0|335|N
20201013|ACTG|1109|0|1909|N
20201013|ACU|50|0|143|N
20201013|ACV|1632|0|3301|N
20201013|ACWI|13861|0|28340|N
20201013|ACWV|2670|0|7078|N
20201013|ACWX|2674|0|5736|N
20201013|ACY|30|0|1240|N
20201013|ADAP|65711|0|193747|N
20201013|ADBE|27956|0|77564|N
20201013|ADC|1916|0|2948|N
20201013|ADCT|810|0|4366|N
20201013|ADES|15112|0|48840|N
20201013|ADI|6152|0|13502|N
20201013|ADIL|19338|0|97390|N
20201013|ADM|22956|0|80042|N
20201013|ADMA|315684|160|632446|N
20201013|ADME|3920|0|4123|N
20201013|ADMP|449980|500|969250|N
20201013|ADMS|2042|0|6416|N
20201013|ADNT|6220|0|14003|N
20201013|ADP|5393|0|14691|N
20201013|ADPT|2954|0|12315|N
20201013|ADRE|108|0|648|N
20201013|ADS|39641|0|66685|N
20201013|ADSK|7925|0|22490|N
20201013|ADSW|932|0|1113|N
20201013|ADT|58047|0|202029|N
20201013|ADTN|635|0|7188|N
20201013|ADTX|121226|0|209336|N
20201013|ADUS|1684|0|2041|N
20201013|ADVM|8615|0|20091|N
20201013|ADX|5751|0|9911|N
20201013|ADXS|67430|0|155724|N
20201013|AEE|2930|800|18706|N
20201013|AEFC|200|0|200|N
20201013|AEG|237349|0|300104|N
20201013|AEGN|462|0|3353|N
20201013|AEHR|39930|0|63957|N
20201013|AEIS|2496|0|6270|N
20201013|AEL|5058|0|6316|N
20201013|AELpA|100|0|164|N
20201013|AELpB|765|0|833|N
20201013|AEM|24257|0|37762|N
20201013|AEMD|1369454|0|2472151|N
20201013|AEO|47182|0|140871|N
20201013|AEP|17490|0|62201|N
20201013|AER|17165|0|39929|N
20201013|AERI|5107|0|17566|N
20201013|AES|118079|0|152163|N
20201013|AESE|125008|0|246423|N
20201013|AEY|340242|371|679147|N
20201013|AEYE|954|0|4373|N
20201013|AEZS|51051|0|145178|N
20201013|AFB|272|0|1472|N
20201013|AFC|50|0|200|N
20201013|AFG|5117|0|10910|N
20201013|AFGC|1|0|35|N
20201013|AFGD|100|0|300|N
20201013|AFGE|200|0|200|N
20201013|AFGH|1300|0|2400|N
20201013|AFI|159065|0|382337|N
20201013|AFIB|833|0|1645|N
20201013|AFIN|22861|0|32140|N
20201013|AFINP|200|0|1133|N
20201013|AFK|22|0|235|N
20201013|AFL|13534|2|44889|N
20201013|AFMD|3935|0|40920|N
20201013|AFT|800|0|920|N
20201013|AFYA|12845|0|15787|N
20201013|AG|193335|0|427980|N
20201013|AGCO|4210|0|7395|N
20201013|AGCUU|1715|0|1999|N
20201013|AGD|84|0|315|N
20201013|AGE|95175|1736|328071|N
20201013|AGEN|80899|0|196236|N
20201013|AGFS|235|0|347|N
20201013|AGG|84184|0|147693|N
20201013|AGGY|7558|0|14239|N
20201013|AGI|45151|0|140400|N
20201013|AGIO|6523|0|14553|N
20201013|AGLE|274|0|2198|N
20201013|AGM|259|0|654|N
20201013|AGMH|16|0|16|N
20201013|AGNC|247772|82|352684|N
20201013|AGNCM|3269|0|4139|N
20201013|AGNCN|76|0|98|N
20201013|AGNCO|1211|0|1342|N
20201013|AGNCP|239|0|264|N
20201013|AGO|5986|0|15637|N
20201013|AGQ|120290|0|290960|N
20201013|AGR|3213|0|5297|N
20201013|AGRO|804|0|2026|N
20201013|AGRX|19109|0|66058|N
20201013|AGS|6710|0|23405|N
20201013|AGTC|702|0|3666|N
20201013|AGX|434|0|1629|N
20201013|AGYS|1230|0|4182|N
20201013|AGZ|873|0|2743|N
20201013|AHC|18|0|109|N
20201013|AHCO|4376|0|7691|N
20201013|AHH|2553|0|19648|N
20201013|AHHpA|5|0|5|N
20201013|AHLpC|990|0|1005|N
20201013|AHLpE|78|0|178|N
20201013|AHPI|16183|0|34121|N
20201013|AHT|60699|0|89616|N
20201013|AHTpD|1|0|2|N
20201013|AHTpF|47|0|141|N
20201013|AHTpH|4|0|5|N
20201013|AI|2111|0|14969|N
20201013|AIA|448|0|655|N
20201013|AIEQ|966|0|2340|N
20201013|AIF|21|0|21|N
20201013|AIG|177445|2|236425|N
20201013|AIG/WS|7995|0|17203|N
20201013|AIGpA|1672|0|3782|N
20201013|AIH|16238|0|32938|N
20201013|AIHS|54826|0|133833|N
20201013|AIIQ|10|0|11|N
20201013|AIKI|36587|0|108010|N
20201013|AIM|492696|114|860915|N
20201013|AIMC|2626|0|8004|N
20201013|AIN|2547|0|5591|N
20201013|AINC|435|0|996|N
20201013|AINV|13973|3|27230|N
20201013|AIO|2090|0|5363|N
20201013|AIQ|574|0|2151|N
20201013|AIR|4359|0|8993|N
20201013|AIRG|11942|0|19545|N
20201013|AIRI|12179|0|23626|N
20201013|AIRT|100|0|100|N
20201013|AIT|6625|0|7092|N
20201013|AIV|14032|3|23213|N
20201013|AIZ|339|0|1558|N
20201013|AJG|21061|0|25827|N
20201013|AJRD|15893|0|22687|N
20201013|AJX|386|0|2701|N
20201013|AKAM|6012|0|21711|N
20201013|AKBA|472490|0|1354720|N
20201013|AKER|84918|0|139141|N
20201013|AKR|4633|0|10968|N
20201013|AKRO|18626|0|27452|N
20201013|AKTS|14999|0|27519|N
20201013|AKTX|11525|0|27990|N
20201013|AKU|626|0|726|N
20201013|AKUS|1051|0|5008|N
20201013|AL|8308|0|21864|N
20201013|ALB|6556|0|19626|N
20201013|ALBO|1085|0|3799|N
20201013|ALC|9316|0|23438|N
20201013|ALDX|2490|0|16125|N
20201013|ALE|2118|0|6310|N
20201013|ALEC|21250|0|73399|N
20201013|ALEX|851|0|1355|N
20201013|ALFA|33|0|54|N
20201013|ALG|86|0|162|N
20201013|ALGN|2751|0|7049|N
20201013|ALGT|2376|0|4575|N
20201013|ALIM|2226|0|3978|N
20201013|ALINpB|1800|0|1800|N
20201013|ALINpE|2300|0|3311|N
20201013|ALJJ|13477|0|19823|N
20201013|ALK|45118|0|115804|N
20201013|ALKS|20323|0|32644|N
20201013|ALL|16036|0|50754|N
20201013|ALLE|9008|0|12913|N
20201013|ALLK|945|0|2548|N
20201013|ALLO|8266|0|18732|N
20201013|ALLT|5771|0|8423|N
20201013|ALLY|55546|0|152980|N
20201013|ALLpG|100|0|293|N
20201013|ALLpH|400|0|3953|N
20201013|ALLpI|2|0|53|N
20201013|ALNA|18529|0|68024|N
20201013|ALNY|404|0|3717|N
20201013|ALOT|50|0|658|N
20201013|ALPN|1292|0|1579|N
20201013|ALPpQ|160|0|1617|N
20201013|ALRM|1037|0|3123|N
20201013|ALRN|332030|0|679972|N
20201013|ALSK|1207|0|2380|N
20201013|ALSN|12478|0|45723|N
