HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:48:10 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 14 Oct 2020 21:22:30 GMT
ETag: "4552c6-33a43-5b1a82107d9d0"
Accept-Ranges: bytes
Content-Length: 211523
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201014|A|6999|0|12400|N
20201014|AA|228604|0|673246|N
20201014|AAAU|7240|0|20475|N
20201014|AACG|1514|154|29350|N
20201014|AACQ|6242|0|9479|N
20201014|AACQW|1525|0|1565|N
20201014|AAL|2948702|0|7958952|N
20201014|AAMC|1901|0|3285|N
20201014|AAME|13862|0|35047|N
20201014|AAN|3377|0|5463|N
20201014|AAOI|12199|0|19879|N
20201014|AAON|367|0|746|N
20201014|AAP|4032|0|11641|N
20201014|AAPL|13779901|9|25730749|N
20201014|AAT|216|0|2060|N
20201014|AAU|97762|0|326101|N
20201014|AAWW|4719|0|7809|N
20201014|AAXJ|11698|0|15857|N
20201014|AAXN|2768|0|10647|N
20201014|AB|30178|0|55009|N
20201014|ABB|2492|0|19267|N
20201014|ABBV|155683|100|401824|N
20201014|ABC|4689|0|8500|N
20201014|ABCB|129|0|2194|N
20201014|ABEO|117171|3052|210235|N
20201014|ABEV|843481|0|1244458|N
20201014|ABG|1168|0|2604|N
20201014|ABIO|40209|0|75547|N
20201014|ABM|428|0|2725|N
20201014|ABMD|1776|0|3215|N
20201014|ABR|18489|0|73320|N
20201014|ABRpA|100|0|1700|N
20201014|ABRpC|200|0|900|N
20201014|ABT|84373|0|159578|N
20201014|ABTX|994|0|1294|N
20201014|ABUS|83003|0|133861|N
20201014|ACA|388|0|666|N
20201014|ACAD|7905|0|18758|N
20201014|ACAM|85|0|165|N
20201014|ACAMW|1350|0|1350|N
20201014|ACB|1193238|23|2094077|N
20201014|ACC|8688|0|10823|N
20201014|ACCD|12878|0|27059|N
20201014|ACCO|420|0|5458|N
20201014|ACEL|5310|0|9904|N
20201014|ACER|5393|0|6681|N
20201014|ACES|6038|0|7207|N
20201014|ACET|451|0|2905|N
20201014|ACGL|5804|0|21233|N
20201014|ACGLO|83|0|150|N
20201014|ACGLP|92|0|172|N
20201014|ACH|1203|0|1410|N
20201014|ACHC|6408|0|12252|N
20201014|ACHV|2231|0|8403|N
20201014|ACI|120425|0|226283|N
20201014|ACIA|1362|0|3056|N
20201014|ACIO|6664|0|9575|N
20201014|ACIU|5886|0|17778|N
20201014|ACIW|39821|0|55585|N
20201014|ACLS|1707|0|5222|N
20201014|ACM|15607|0|35077|N
20201014|ACMR|5108|0|15770|N
20201014|ACN|6572|0|15561|N
20201014|ACND|460|0|460|N
20201014|ACND/U|4|0|14|N
20201014|ACOR|141450|0|313397|N
20201014|ACP|4964|0|8107|N
20201014|ACRE|4670|0|32460|N
20201014|ACRS|2809|0|44135|N
20201014|ACRX|182603|0|491296|N
20201014|ACST|529885|0|950350|N
20201014|ACTCU|250|0|503|N
20201014|ACTG|1948|0|1962|N
20201014|ACU|35|0|35|N
20201014|ACV|501|0|11889|N
20201014|ACWI|28540|0|36127|N
20201014|ACWV|1084|0|7080|N
20201014|ACWX|302|0|3740|N
20201014|ACY|251|0|442|N
20201014|ADAP|121994|1260|193719|N
20201014|ADBE|43310|0|108009|N
20201014|ADC|1001|0|3507|N
20201014|ADCT|2640|0|6775|N
20201014|ADES|4131|0|9245|N
20201014|ADI|3698|0|11483|N
20201014|ADIL|38497|0|111193|N
20201014|ADM|16143|0|53438|N
20201014|ADMA|432527|0|765566|N
20201014|ADME|200|0|262|N
20201014|ADMP|334091|910|729130|N
20201014|ADMS|3228|0|6195|N
20201014|ADNT|7754|0|14441|N
20201014|ADP|4840|0|17171|N
20201014|ADPT|723|0|5678|N
20201014|ADRE|1|0|483|N
20201014|ADS|53558|0|98185|N
20201014|ADSK|16019|11|37503|N
20201014|ADSW|887|0|1172|N
20201014|ADT|128719|0|244982|N
20201014|ADTN|7572|0|11650|N
20201014|ADTX|38606|0|77739|N
20201014|ADUS|2048|0|2720|N
20201014|ADVM|36511|0|45599|N
20201014|ADX|8158|0|16365|N
20201014|ADXS|31647|0|137274|N
20201014|AE|1|0|4|N
20201014|AEB|22|0|2387|N
20201014|AEE|7576|0|13671|N
20201014|AEFC|145|0|183|N
20201014|AEG|34977|0|81062|N
20201014|AEGN|320|0|867|N
20201014|AEHR|7151|0|11291|N
20201014|AEIS|1573|0|3653|N
20201014|AEL|3734|0|20196|N
20201014|AELpA|54|0|62|N
20201014|AELpB|400|0|419|N
20201014|AEM|27331|0|51483|N
20201014|AEMD|150458|3179|442274|N
20201014|AEO|67505|0|120617|N
20201014|AEP|42719|0|63326|N
20201014|AER|18229|0|81232|N
20201014|AERI|1814|0|10215|N
20201014|AES|38926|0|71570|N
20201014|AESE|102537|0|151192|N
20201014|AESR|100|0|100|N
20201014|AEY|27112|0|81721|N
20201014|AEYE|1410|0|1745|N
20201014|AEZS|57709|0|120449|N
20201014|AFB|300|0|1672|N
20201014|AFG|762|0|2071|N
20201014|AFGB|10|0|10|N
20201014|AFGC|19|0|47|N
20201014|AFGH|72|0|321|N
20201014|AFI|15077|0|38335|N
20201014|AFIB|962|0|2017|N
20201014|AFIN|18574|0|24187|N
20201014|AFINP|154|0|3521|N
20201014|AFK|63|0|1246|N
20201014|AFL|32556|0|50619|N
20201014|AFLG|8|0|8|N
20201014|AFMD|19909|0|42835|N
20201014|AFT|1|0|315|N
20201014|AFTY|269|0|270|N
20201014|AFYA|2879|0|5723|N
20201014|AG|175798|0|453242|N
20201014|AGBAW|200|0|200|N
20201014|AGCO|2214|0|4783|N
20201014|AGCUU|1000|0|4204|N
20201014|AGD|73|0|118|N
20201014|AGE|27527|0|126773|N
20201014|AGEN|39649|0|468733|N
20201014|AGFS|5139|0|9580|N
20201014|AGG|67610|0|121875|N
20201014|AGGY|7687|0|12999|N
20201014|AGI|41702|0|111240|N
20201014|AGIO|10737|0|45826|N
20201014|AGLE|2715|0|4530|N
20201014|AGM|67|0|375|N
20201014|AGMH|1|0|20|N
20201014|AGNC|175910|20|380447|N
20201014|AGNCM|3473|0|4822|N
20201014|AGNCN|1098|0|4241|N
20201014|AGNCO|4483|0|5153|N
20201014|AGNCP|2950|0|3778|N
20201014|AGO|5715|0|14959|N
20201014|AGOpE|302|0|302|N
20201014|AGQ|74522|0|240642|N
20201014|AGR|167|0|3181|N
20201014|AGRO|644|0|2006|N
20201014|AGRX|97560|0|160262|N
20201014|AGS|30518|0|51543|N
20201014|AGTC|1560|0|2827|N
20201014|AGX|165|0|671|N
20201014|AGYS|236|0|567|N
20201014|AGZ|2377|0|2789|N
20201014|AGZD|1092|0|1105|N
20201014|AHC|98|0|850|N
20201014|AHCO|2542|0|7505|N
20201014|AHH|2341|0|9583|N
20201014|AHHpA|50|0|50|N
20201014|AHLpC|752|0|903|N
20201014|AHPI|6129|0|11374|N
20201014|AHT|378935|5100|711296|N
20201014|AHTpD|11|0|30|N
20201014|AHTpF|25|0|184|N
20201014|AHTpH|40|0|40|N
20201014|AHTpI|25|0|475|N
20201014|AI|4554|0|6785|N
20201014|AIA|1674|0|2377|N
20201014|AIC|300|0|500|N
20201014|AIEQ|784|0|2258|N
20201014|AIF|116|0|119|N
20201014|AIG|51281|0|101580|N
20201014|AIG/WS|20261|0|33026|N
20201014|AIGpA|230|0|330|N
20201014|AIH|515|0|4686|N
20201014|AIHS|1074596|0|2082905|N
20201014|AIIQ|334|0|334|N
20201014|AIKI|64605|0|138234|N
20201014|AIM|427773|1|750062|N
20201014|AIMC|820|0|2669|N
20201014|AIN|2921|0|3512|N
20201014|AINC|61|0|80|N
20201014|AINV|6243|0|14671|N
20201014|AIO|892|0|3637|N
20201014|AIQ|2296|0|4757|N
20201014|AIR|2213|0|4544|N
20201014|AIRG|2308|0|3041|N
20201014|AIRI|1181|0|2854|N
20201014|AIRT|108|0|348|N
20201014|AIT|1106|0|1925|N
20201014|AIV|4694|0|14344|N
20201014|AIW|420|0|620|N
20201014|AIZ|531|0|2863|N
20201014|AIpB|200|0|200|N
20201014|AJG|3858|0|9758|N
20201014|AJRD|1929|0|17705|N
20201014|AJX|2865|0|3437|N
20201014|AJXA|500|0|500|N
20201014|AKAM|13329|0|29326|N
20201014|AKBA|688490|0|1325457|N
20201014|AKER|6709|0|32316|N
20201014|AKO/A|6|0|6|N
20201014|AKR|2401|0|9818|N
20201014|AKRO|34212|0|45202|N
20201014|AKTS|16985|0|29120|N
20201014|AKTX|16874|0|31796|N
20201014|AKU|54|0|54|N
20201014|AKUS|589|0|3721|N
20201014|AL|4738|0|9516|N
20201014|ALB|20801|0|33911|N
20201014|ALBO|2956|0|4680|N
20201014|ALC|5480|0|17997|N
20201014|ALCO|154|0|254|N
20201014|ALDX|6993|0|16834|N
20201014|ALE|1660|0|2826|N
20201014|ALEC|38640|0|85592|N
20201014|ALEX|553|0|3693|N
20201014|ALG|86|0|139|N
20201014|ALGN|1978|0|5668|N
20201014|ALGT|1125|0|2736|N
20201014|ALIM|268|0|272|N
20201014|ALINpB|1200|0|1915|N
20201014|ALINpE|400|0|1000|N
20201014|ALJJ|7809|0|23425|N
20201014|ALK|50140|0|121623|N
20201014|ALKS|5564|0|19855|N
20201014|ALL|20554|0|46137|N
20201014|ALLE|3755|0|7703|N
20201014|ALLK|54|0|1936|N
20201014|ALLO|10243|0|16085|N
20201014|ALLT|177|0|2312|N
20201014|ALLY|28636|0|112248|N
20201014|ALLYpA|825|0|1616|N
20201014|ALLpG|1275|0|1301|N
20201014|ALLpH|2491|0|2894|N
20201014|ALLpI|28|0|968|N
20201014|ALNA|59080|0|124779|N
20201014|ALNY|342|0|2117|N
20201014|ALOT|4|0|26|N
20201014|ALPN|6868|0|7000|N
20201014|ALRM|1813|0|4062|N
20201014|ALRN|365526|0|627951|N
20201014|ALRS|4|0|60|N
20201014|ALSK|2122|0|3852|N
20201014|ALSN|16915|0|22594|N
20201014|ALT|242168|4148|412272|N
