HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:47:38 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 16 Oct 2020 21:24:14 GMT
ETag: "457460-342d3-5b1d062e8acf8"
Accept-Ranges: bytes
Content-Length: 213715
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201016|A|5160|0|11070|N
20201016|AA|145160|929|527863|N
20201016|AAA|200|0|200|N
20201016|AAAU|15134|0|23897|N
20201016|AACG|15232|0|46917|N
20201016|AACQ|1641|0|2014|N
20201016|AACQW|2774|0|5051|N
20201016|AADR|1|0|1383|N
20201016|AAL|1689665|0|5385234|N
20201016|AAME|2320|0|2450|N
20201016|AAN|1484|0|3911|N
20201016|AAOI|8703|4|37533|N
20201016|AAON|512|0|1529|N
20201016|AAP|1262|0|7129|N
20201016|AAPL|8892536|200|18196371|N
20201016|AAT|1637|0|11394|N
20201016|AAU|31903|0|93324|N
20201016|AAWW|2945|8|15848|N
20201016|AAXJ|516|0|3379|N
20201016|AAXN|23456|0|49923|N
20201016|AB|12989|0|22786|N
20201016|ABB|9068|0|23572|N
20201016|ABBV|122340|182|284943|N
20201016|ABC|5458|0|13341|N
20201016|ABCB|4651|52|8436|N
20201016|ABEO|50666|2200|109543|N
20201016|ABEQ|535|0|535|N
20201016|ABEV|289247|0|508929|N
20201016|ABG|935|0|3174|N
20201016|ABIO|22344|0|41854|N
20201016|ABM|1403|0|3015|N
20201016|ABMD|1654|0|3372|N
20201016|ABR|56838|73|94251|N
20201016|ABRpB|68|0|68|N
20201016|ABT|84491|0|176774|N
20201016|ABTX|130|0|133|N
20201016|ABUS|30424|0|78661|N
20201016|AC|1|0|1|N
20201016|ACA|436|0|1262|N
20201016|ACAD|8743|0|36741|N
20201016|ACB|1607471|5363|2617427|N
20201016|ACC|9121|0|13012|N
20201016|ACCD|3763|6|6764|N
20201016|ACCO|2433|0|5612|N
20201016|ACEL|344|0|4799|N
20201016|ACER|6334|0|13497|N
20201016|ACES|3862|0|5280|N
20201016|ACET|1781|0|3239|N
20201016|ACGL|22166|0|48371|N
20201016|ACGLO|805|0|1830|N
20201016|ACGLP|898|0|1099|N
20201016|ACH|2336|0|4806|N
20201016|ACHC|1322|0|5259|N
20201016|ACHV|4127|0|8457|N
20201016|ACI|57848|0|205246|N
20201016|ACIA|10093|0|17257|N
20201016|ACIO|2593|0|2993|N
20201016|ACIU|4464|0|12751|N
20201016|ACIW|18913|0|126434|N
20201016|ACLS|2438|0|10207|N
20201016|ACM|7501|0|40676|N
20201016|ACMR|3539|0|5252|N
20201016|ACN|16242|33|27459|N
20201016|ACNB|2|0|6|N
20201016|ACOR|158411|0|609039|N
20201016|ACP|1614|0|5669|N
20201016|ACRE|13521|0|44907|N
20201016|ACRS|31745|0|41260|N
20201016|ACRX|232116|887|465205|N
20201016|ACST|157646|0|395705|N
20201016|ACT|15|0|136|N
20201016|ACTCU|205|0|247|N
20201016|ACTG|1329|0|5123|N
20201016|ACV|2025|0|6240|N
20201016|ACWI|6538|0|12137|N
20201016|ACWV|4146|0|9790|N
20201016|ACWX|2278|0|4414|N
20201016|ACY|6001|0|6976|N
20201016|ADAP|243861|2247|593846|N
20201016|ADBE|22335|0|73370|N
20201016|ADC|3092|0|7703|N
20201016|ADCT|5352|277|12687|N
20201016|ADES|1648|0|7347|N
20201016|ADI|12722|0|21638|N
20201016|ADIL|58429|0|140353|N
20201016|ADM|12962|0|39250|N
20201016|ADMA|195796|0|421514|N
20201016|ADME|2762|0|3080|N
20201016|ADMP|193408|0|495213|N
20201016|ADMS|1187|0|1855|N
20201016|ADNT|10433|0|13667|N
20201016|ADP|3673|0|13098|N
20201016|ADPT|335|0|2596|N
20201016|ADRE|169|0|210|N
20201016|ADS|27811|0|52114|N
20201016|ADSK|77686|0|144297|N
20201016|ADSW|1498|0|2066|N
20201016|ADT|114575|0|231822|N
20201016|ADTN|4765|0|13464|N
20201016|ADTX|455814|0|945296|N
20201016|ADUS|93|0|337|N
20201016|ADVM|15232|0|22706|N
20201016|ADX|4388|0|22177|N
20201016|ADXS|109471|0|153457|N
20201016|AE|732|0|910|N
20201016|AEB|12|0|87|N
20201016|AEE|20579|0|24594|N
20201016|AEFC|400|0|400|N
20201016|AEG|33763|0|63516|N
20201016|AEGN|919|10|2627|N
20201016|AEHL|58975|0|166647|N
20201016|AEHR|14988|0|28442|N
20201016|AEIS|20111|0|29490|N
20201016|AEL|2952|0|8232|N
20201016|AELpA|369|0|412|N
20201016|AEM|14094|0|30177|N
20201016|AEMD|124503|100|240533|N
20201016|AEO|51577|0|109043|N
20201016|AEP|25836|0|47545|N
20201016|AEPPL|4|0|14|N
20201016|AER|27771|0|62196|N
20201016|AERI|1275|0|14839|N
20201016|AES|43954|0|83154|N
20201016|AESE|36020|0|121184|N
20201016|AEY|311|0|6922|N
20201016|AEYE|2047|0|4332|N
20201016|AEZS|41950|515|199193|N
20201016|AFB|1810|0|2254|N
20201016|AFC|726|0|728|N
20201016|AFG|1374|0|2483|N
20201016|AFGB|40|0|64|N
20201016|AFGC|247|0|377|N
20201016|AFGD|167|0|180|N
20201016|AFGE|33|0|33|N
20201016|AFGH|2700|0|2906|N
20201016|AFI|17335|0|29572|N
20201016|AFIB|2227|0|9026|N
20201016|AFIN|13127|0|21362|N
20201016|AFINP|2000|0|5690|N
20201016|AFK|129|0|158|N
20201016|AFL|18404|0|49900|N
20201016|AFMD|21125|0|24936|N
20201016|AFT|200|0|688|N
20201016|AFYA|640|0|1909|N
20201016|AG|214490|0|388146|N
20201016|AGCO|3740|0|10322|N
20201016|AGCUU|1572|0|2772|N
20201016|AGE|36412|2271|164971|N
20201016|AGEN|51780|0|114710|N
20201016|AGFS|6448|0|6692|N
20201016|AGG|64714|0|111728|N
20201016|AGGP|29|0|40|N
20201016|AGGY|7482|0|14057|N
20201016|AGI|73927|0|218149|N
20201016|AGIO|10613|0|40707|N
20201016|AGLE|5891|0|8663|N
20201016|AGM|161|0|477|N
20201016|AGMpF|300|0|400|N
20201016|AGNC|205210|0|309964|N
20201016|AGNCM|26|0|1899|N
20201016|AGNCN|2275|0|4103|N
20201016|AGNCO|3927|0|6141|N
20201016|AGNCP|1102|0|1602|N
20201016|AGO|11524|0|46651|N
20201016|AGOpB|100|0|100|N
20201016|AGOpE|1100|0|1516|N
20201016|AGQ|31759|0|96044|N
20201016|AGR|3741|0|6019|N
20201016|AGRO|828|0|3385|N
20201016|AGRX|10284|0|33969|N
20201016|AGS|9768|0|27695|N
20201016|AGT|1|0|1501|N
20201016|AGTC|1753|0|4937|N
20201016|AGX|104|0|5473|N
20201016|AGYS|128|0|298|N
20201016|AGZ|1134|0|2668|N
20201016|AGZD|494|0|1253|N
20201016|AHC|2306|0|8547|N
20201016|AHCO|2860|0|5358|N
20201016|AHH|10724|0|14600|N
20201016|AHLpC|500|0|550|N
20201016|AHLpE|285|0|501|N
20201016|AHPI|4141|0|7720|N
20201016|AHT|29069|0|66599|N
20201016|AHTpD|72|0|992|N
20201016|AHTpH|45|0|147|N
20201016|AHTpI|120|0|120|N
20201016|AI|1170|0|12974|N
20201016|AIA|580|0|3160|N
20201016|AIEQ|103|0|637|N
20201016|AIF|2|0|1951|N
20201016|AIG|37998|0|134484|N
20201016|AIG/WS|1107|5|11501|N
20201016|AIGpA|561|0|793|N
20201016|AIH|9633|0|14530|N
20201016|AIHS|537994|1808|1409000|N
20201016|AIIQ|19|0|33|N
20201016|AIKI|43911|712|112614|N
20201016|AIM|58951|0|122929|N
20201016|AIMC|31883|0|69754|N
20201016|AIN|6184|0|7281|N
20201016|AINC|15|0|20|N
20201016|AINV|61682|0|82782|N
20201016|AIO|114|0|6189|N
20201016|AIQ|1122|0|1405|N
20201016|AIR|1933|0|4145|N
20201016|AIRG|297|0|1331|N
20201016|AIRI|5865|0|11369|N
20201016|AIRR|279|0|279|N
20201016|AIRT|72|0|74|N
20201016|AIRTW|30|0|531|N
20201016|AIT|935|0|1236|N
20201016|AIV|11892|0|20270|N
20201016|AIZ|301|0|2204|N
20201016|AIpC|1000|0|1027|N
20201016|AJG|1937|0|20241|N
20201016|AJRD|783|0|6523|N
20201016|AJX|61|0|1171|N
20201016|AJXA|5|0|15|N
20201016|AKAM|23726|0|54153|N
20201016|AKBA|679809|0|1282730|N
20201016|AKER|8805|0|21530|N
20201016|AKR|33168|0|52091|N
20201016|AKRO|33703|0|72635|N
20201016|AKTS|23833|0|33444|N
20201016|AKTX|1465|0|5024|N
20201016|AKU|30|0|30|N
20201016|AKUS|921|0|2349|N
20201016|AL|6756|0|10150|N
20201016|ALB|7273|0|20728|N
20201016|ALBO|2051|0|5114|N
20201016|ALC|2420|0|9353|N
20201016|ALDX|309815|0|544663|N
20201016|ALE|3094|0|5355|N
20201016|ALEC|4334|0|66040|N
20201016|ALEX|1220|0|5657|N
20201016|ALG|107|0|370|N
20201016|ALGN|9111|0|15831|N
20201016|ALGS|21956|0|74274|N
20201016|ALGT|1315|0|2913|N
20201016|ALIM|301|0|2460|N
20201016|ALINpB|1120|0|2120|N
20201016|ALINpE|100|0|870|N
20201016|ALJJ|6922|0|142896|N
20201016|ALK|83141|0|170633|N
20201016|ALKS|17471|0|24451|N
20201016|ALL|29758|0|56622|N
20201016|ALLE|1862|0|4625|N
20201016|ALLK|179|0|3033|N
20201016|ALLO|4549|372|10072|N
