HTTP/1.1 200 OK
Date: Sat, 31 Oct 2020 04:10:12 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 20 Oct 2020 21:22:54 GMT
ETag: "458620-3360b-5b220d58180c8"
Accept-Ranges: bytes
Content-Length: 210443
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201020|A|1366|0|4437|N
20201020|AA|72687|0|251999|N
20201020|AAA|200|0|215|N
20201020|AAAU|2270|0|30281|N
20201020|AACG|1753|0|14464|N
20201020|AACQ|430|0|836|N
20201020|AACQW|21350|0|21550|N
20201020|AADR|15|0|63|N
20201020|AAL|2594163|0|8286703|N
20201020|AAMC|1|0|114|N
20201020|AAME|1|0|188|N
20201020|AAN|1106|0|3386|N
20201020|AAOI|10114|0|25845|N
20201020|AAON|102|0|467|N
20201020|AAP|1464|0|11271|N
20201020|AAPL|12062704|60|22618169|N
20201020|AAT|755|0|6871|N
20201020|AAU|22246|645|60716|N
20201020|AAWW|3011|0|16568|N
20201020|AAXJ|27736|0|28722|N
20201020|AAXN|10623|0|29429|N
20201020|AB|10639|0|32786|N
20201020|ABB|14350|0|25809|N
20201020|ABBV|177166|0|398134|N
20201020|ABC|4554|0|8917|N
20201020|ABCB|666|0|2472|N
20201020|ABEO|248793|7650|322006|N
20201020|ABEV|351867|0|676916|N
20201020|ABG|2074|0|3405|N
20201020|ABIO|24032|400|64129|N
20201020|ABM|3463|0|5649|N
20201020|ABMD|1341|0|2275|N
20201020|ABR|69218|0|97829|N
20201020|ABRpA|3|0|3|N
20201020|ABRpC|300|0|936|N
20201020|ABT|124797|0|182795|N
20201020|ABUS|37063|0|107988|N
20201020|ACA|2110|0|8138|N
20201020|ACAD|8938|0|29018|N
20201020|ACAMW|6600|0|11604|N
20201020|ACB|1413524|37081|2534481|N
20201020|ACBI|1|0|397|N
20201020|ACC|6989|0|14627|N
20201020|ACCD|5026|0|11697|N
20201020|ACCO|204|0|2791|N
20201020|ACEL|26|0|1473|N
20201020|ACER|4872|0|7564|N
20201020|ACES|3352|0|4668|N
20201020|ACET|224|0|1893|N
20201020|ACGL|1959|0|25816|N
20201020|ACGLO|83|0|1820|N
20201020|ACH|1046|0|2042|N
20201020|ACHC|1841|0|11364|N
20201020|ACHV|1115|0|5221|N
20201020|ACI|890573|0|1607439|N
20201020|ACIA|3796|0|8179|N
20201020|ACIO|662|0|1222|N
20201020|ACIU|8108|0|15172|N
20201020|ACIW|11129|0|23431|N
20201020|ACLS|2138|0|10340|N
20201020|ACM|5399|0|22413|N
20201020|ACMR|1624|0|3746|N
20201020|ACN|11578|4|20927|N
20201020|ACOR|9578630|21638|18432070|N
20201020|ACP|2224|0|12534|N
20201020|ACRE|2318|0|10176|N
20201020|ACRS|42004|0|52266|N
20201020|ACRX|68495|0|186567|N
20201020|ACST|222327|1898|364524|N
20201020|ACT|1|0|392|N
20201020|ACTG|14444|0|16958|N
20201020|ACU|1251|0|2253|N
20201020|ACV|514|0|718|N
20201020|ACWI|2190|0|13318|N
20201020|ACWV|2592|0|7722|N
20201020|ACWX|7463|0|16980|N
20201020|ACY|2616|0|4861|N
20201020|ADAP|124320|1430|241972|N
20201020|ADBE|20341|0|55610|N
20201020|ADC|3505|0|9319|N
20201020|ADCT|1087|0|2592|N
20201020|ADES|352|0|8554|N
20201020|ADI|32907|0|47016|N
20201020|ADIL|3328|0|29623|N
20201020|ADM|23825|0|60784|N
20201020|ADMA|176141|0|324534|N
20201020|ADME|5968|0|6169|N
20201020|ADMP|519474|1897|1015511|N
20201020|ADMS|19342|13|22774|N
20201020|ADNT|9982|0|14230|N
20201020|ADP|4377|0|20311|N
20201020|ADPT|2911|0|6179|N
20201020|ADRE|273|0|1042|N
20201020|ADS|12687|0|26334|N
20201020|ADSK|34975|0|68565|N
20201020|ADSW|3514|0|4118|N
20201020|ADT|148516|0|284767|N
20201020|ADTN|14081|0|19566|N
20201020|ADTX|103670|5|212635|N
20201020|ADUS|68|0|257|N
20201020|ADVM|11567|0|15022|N
20201020|ADX|4929|0|14344|N
20201020|ADXS|345246|0|572167|N
20201020|AE|4|0|79|N
20201020|AEB|996|0|1523|N
20201020|AEE|62331|0|66735|N
20201020|AEFC|189|0|389|N
20201020|AEG|23082|0|70494|N
20201020|AEGN|250|0|311|N
20201020|AEHL|32601|337|77062|N
20201020|AEHR|13891|0|17268|N
20201020|AEIS|705|0|3433|N
20201020|AEL|22902|310|41635|N
20201020|AELpA|377|0|3701|N
20201020|AELpB|654|0|1755|N
20201020|AEM|12008|0|27233|N
20201020|AEMD|11302|0|118979|N
20201020|AEO|70965|0|257485|N
20201020|AEP|31569|0|94516|N
20201020|AEPPL|205|0|205|N
20201020|AER|33610|0|61823|N
20201020|AERI|45572|1501|131158|N
20201020|AES|33594|0|67515|N
20201020|AESE|38723|0|118690|N
20201020|AEY|1488|0|12946|N
20201020|AEYE|172|0|3010|N
20201020|AEZS|58896|0|135933|N
20201020|AFB|301|0|3931|N
20201020|AFC|2365|0|2665|N
20201020|AFG|915|0|1838|N
20201020|AFGB|129|0|213|N
20201020|AFGC|19|0|174|N
20201020|AFGD|726|0|927|N
