HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:45:01 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 27 Oct 2020 21:22:49 GMT
ETag: "45ef8d-32f86-5b2ada615b4c0"
Accept-Ranges: bytes
Content-Length: 208774
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201027|A|3071|0|6374|N
20201027|AA|113732|0|240926|N
20201027|AAAU|8430|0|14647|N
20201027|AACG|350|88|697|N
20201027|AACQ|3425|0|4972|N
20201027|AACQW|12|11|337|N
20201027|AAIC|5475|0|12173|N
20201027|AAL|6256292|0|11144264|N
20201027|AAN|3541|0|6717|N
20201027|AAOI|10078|0|13424|N
20201027|AAON|214|0|1672|N
20201027|AAP|2105|0|6065|N
20201027|AAPL|7338771|0|14544749|N
20201027|AAT|707|0|3241|N
20201027|AAU|9036|0|25248|N
20201027|AAWW|1956|0|8198|N
20201027|AAXJ|5136|0|5558|N
20201027|AAXN|2043|0|7183|N
20201027|AB|24420|0|47858|N
20201027|ABB|8885|0|19302|N
20201027|ABBV|123710|53|253372|N
20201027|ABC|3640|0|18207|N
20201027|ABCB|2875|0|7490|N
20201027|ABCM|1417|0|15180|N
20201027|ABEO|281810|0|316499|N
20201027|ABEQ|556|0|795|N
20201027|ABEV|400472|0|1054881|N
20201027|ABG|5299|0|9511|N
20201027|ABIO|16032|0|49025|N
20201027|ABM|755|0|2128|N
20201027|ABMD|4368|0|5288|N
20201027|ABR|32475|0|84622|N
20201027|ABRpB|200|0|200|N
20201027|ABT|58336|0|103174|N
20201027|ABTX|136|0|1036|N
20201027|ABUS|3529|0|26184|N
20201027|ACA|1300|0|2198|N
20201027|ACACU|3757|0|24110|N
20201027|ACAD|54389|0|114376|N
20201027|ACAM|323|0|7173|N
20201027|ACAMW|534|0|634|N
20201027|ACB|1418279|0|2225324|N
20201027|ACBI|275|0|960|N
20201027|ACC|28278|0|32273|N
20201027|ACCD|9460|20|14793|N
20201027|ACCO|6503|0|34201|N
20201027|ACEL|6436|0|20487|N
20201027|ACER|3910|0|6973|N
20201027|ACES|10503|0|15466|N
20201027|ACET|365|0|1201|N
20201027|ACGL|2424|0|41353|N
20201027|ACGLO|55|0|1593|N
20201027|ACGLP|388|0|396|N
20201027|ACH|304|0|575|N
20201027|ACHC|1998|0|6688|N
