HTTP/1.1 200 OK
Date: Fri, 06 Nov 2020 06:47:09 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 05 Nov 2020 22:21:43 GMT
ETag: "461640-34d90-5b363854f6b30"
Accept-Ranges: bytes
Content-Length: 216464
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201105|A|7262|0|13741|N
20201105|AA|104648|0|339393|N
20201105|AAA|3|0|13|N
20201105|AAAU|29247|0|61988|N
20201105|AACG|8005|0|17117|N
20201105|AACQU|3310|0|7361|N
20201105|AACQW|50|0|541|N
20201105|AADR|450|0|495|N
20201105|AAIC|320|0|19291|N
20201105|AAL|2775410|0|8594688|N
20201105|AAMC|10|0|11|N
20201105|AAN|4261|0|9951|N
20201105|AAOI|50277|0|79704|N
20201105|AAON|793|0|4538|N
20201105|AAP|4031|0|14582|N
20201105|AAPL|8379493|0|17682177|N
20201105|AAT|5905|0|11634|N
20201105|AAU|194468|2303|394872|N
20201105|AAWW|5104|0|23146|N
20201105|AAXJ|4282|0|12175|N
20201105|AAXN|7396|0|19819|N
20201105|AB|15638|0|42828|N
20201105|ABB|10880|0|28957|N
20201105|ABBV|193707|0|341214|N
20201105|ABC|9201|0|17269|N
20201105|ABCB|2322|0|4110|N
20201105|ABCM|1052|0|6961|N
20201105|ABEO|163863|0|233497|N
20201105|ABEQ|698|0|698|N
20201105|ABEV|474825|0|1373801|N
20201105|ABG|736|0|1666|N
20201105|ABIO|24258|0|52729|N
20201105|ABM|2217|0|4589|N
20201105|ABMD|3491|0|4741|N
20201105|ABR|45813|0|158459|N
20201105|ABRpA|745|0|745|N
20201105|ABRpC|300|0|1550|N
20201105|ABST|1090|0|1998|N
20201105|ABT|131628|0|196287|N
20201105|ABTX|47|0|631|N
20201105|ABUS|114218|0|283888|N
20201105|ACA|2352|0|5830|N
20201105|ACACU|1|0|1257|N
20201105|ACAD|14855|0|69994|N
20201105|ACAM|161|0|923|N
20201105|ACAMU|1900|0|3772|N
20201105|ACB|9162672|502302|19232234|N
20201105|ACBI|181|0|252|N
20201105|ACC|6940|0|16553|N
20201105|ACCD|1279|0|6217|N
20201105|ACCO|1156|0|4114|N
20201105|ACEL|1299|0|3704|N
20201105|ACER|819|0|5300|N
20201105|ACES|8358|0|10653|N
20201105|ACET|3122|0|4851|N
20201105|ACGL|9729|0|33117|N
20201105|ACGLP|361|0|664|N
20201105|ACH|1882|0|2529|N
20201105|ACHC|6576|0|25583|N
20201105|ACHV|5532|0|11473|N
20201105|ACI|40329|0|97076|N
20201105|ACIA|7821|10|20710|N
20201105|ACIO|300|0|300|N
20201105|ACIU|24355|105|50403|N
20201105|ACIW|11374|0|18052|N
20201105|ACLS|8493|0|23311|N
20201105|ACM|7326|0|42853|N
20201105|ACMR|7021|0|18049|N
20201105|ACN|11183|0|18878|N
20201105|ACNB|1|0|45|N
20201105|ACOR|284185|1583|689809|N
20201105|ACP|5130|0|9100|N
20201105|ACRE|3700|0|7516|N
20201105|ACRS|2991|0|14174|N
20201105|ACRX|64326|0|181580|N
20201105|ACST|111524|2798|313941|N
20201105|ACTG|31642|0|44721|N
20201105|ACTV|808|0|808|N
20201105|ACU|14|0|887|N
20201105|ACV|1469|0|3223|N
20201105|ACWI|34596|0|88053|N
20201105|ACWV|1482|0|8916|N
20201105|ACWX|2413|0|6337|N
20201105|ACY|908|0|1414|N
20201105|ADAP|37955|0|94047|N
20201105|ADBE|24632|0|71975|N
20201105|ADC|311|0|1133|N
20201105|ADCT|1490|300|6961|N
20201105|ADES|458|0|2832|N
20201105|ADI|15830|0|67614|N
20201105|ADIL|44816|0|98748|N
20201105|ADILW|417|0|5017|N
20201105|ADM|47028|0|90302|N
20201105|ADMA|127601|0|295432|N
20201105|ADME|2415|0|3019|N
20201105|ADMP|493509|1800|753720|N
20201105|ADMS|12263|0|16220|N
20201105|ADNT|5339|0|21479|N
20201105|ADP|19161|0|84760|N
20201105|ADPT|2800|41|9456|N
20201105|ADRE|331|0|578|N
20201105|ADS|14853|0|25945|N
20201105|ADSK|14783|0|31908|N
20201105|ADT|183484|0|371586|N
20201105|ADTN|50137|0|75112|N
20201105|ADTX|71005|0|139949|N
20201105|ADUS|162|0|4460|N
20201105|ADV|535|0|2899|N
20201105|ADVM|15786|64|30900|N
20201105|ADVWW|103|103|196|N
20201105|ADX|7635|0|25390|N
20201105|ADXS|50605|0|139772|N
20201105|AEE|16325|0|23637|N
20201105|AEF|2003|0|2713|N
