HTTP/1.1 200 OK
Date: Tue, 10 Nov 2020 06:54:39 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 09 Nov 2020 22:30:44 GMT
ETag: "4622a2-36a81-5b3b41cecf228"
Accept-Ranges: bytes
Content-Length: 223873
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201109|A|6641|0|23471|N
20201109|AA|99800|0|352311|N
20201109|AAA|100|0|100|N
20201109|AAAU|47647|0|101632|N
20201109|AACG|4102|0|10772|N
20201109|AACQU|4600|0|9676|N
20201109|AACQW|6316|0|14266|N
20201109|AADR|245|0|876|N
20201109|AAIC|1245|0|44332|N
20201109|AAL|11060219|0|31858887|N
20201109|AAMC|133|0|135|N
20201109|AAN|1132|0|7220|N
20201109|AAOI|28398|218|57766|N
20201109|AAON|1221|1|4569|N
20201109|AAP|13989|0|29792|N
20201109|AAPL|8116498|158|16485907|N
20201109|AAT|6091|0|14607|N
20201109|AAU|90233|0|269462|N
20201109|AAWW|28433|9602|46921|N
20201109|AAXJ|8529|0|14969|N
20201109|AAXN|7525|0|28162|N
20201109|AB|17413|0|56592|N
20201109|ABB|6608|0|28113|N
20201109|ABBV|144323|200|487648|N
20201109|ABC|3837|0|7894|N
20201109|ABCB|34568|0|47693|N
20201109|ABCM|1064|14|6403|N
20201109|ABEO|40112|0|109729|N
20201109|ABEV|514448|0|2091805|N
20201109|ABG|4107|0|7411|N
20201109|ABIO|31049|168|81692|N
20201109|ABM|1642|0|6384|N
20201109|ABMD|3513|0|4993|N
20201109|ABR|29345|0|168506|N
20201109|ABRpC|649|0|949|N
20201109|ABST|2752|0|3310|N
20201109|ABT|153584|0|344801|N
20201109|ABTX|213|0|17782|N
20201109|ABUS|200906|0|635709|N
20201109|ACA|1388|0|4530|N
20201109|ACAD|20518|0|78165|N
20201109|ACAM|147|0|1626|N
20201109|ACB|7835186|0|16196541|N
20201109|ACBI|6975|5842|7859|N
20201109|ACC|12127|0|57488|N
20201109|ACCD|1764|0|6506|N
20201109|ACCO|9999|0|36678|N
20201109|ACEL|5345|0|37978|N
20201109|ACER|5081|0|8588|N
20201109|ACES|10361|1|14811|N
20201109|ACET|151|0|1379|N
20201109|ACEV|200|0|4900|N
20201109|ACEVW|2500|0|2550|N
20201109|ACGL|11835|0|50110|N
20201109|ACGLP|59|0|756|N
20201109|ACH|2740|0|5133|N
20201109|ACHC|1115|0|11925|N
20201109|ACHV|2069|0|7946|N
20201109|ACI|741581|10268|1138469|N
20201109|ACIA|8456|0|222082|N
20201109|ACIO|1871|0|1921|N
20201109|ACIU|10192|148|14960|N
20201109|ACIW|4928|0|50892|N
20201109|ACLS|4944|0|10824|N
20201109|ACM|1317|0|30236|N
20201109|ACMR|7979|0|12712|N
20201109|ACN|10644|0|21261|N
20201109|ACNB|2483|0|3085|N
20201109|ACND|1|0|1581|N
20201109|ACOR|176668|0|658288|N
20201109|ACP|2273|0|10279|N
20201109|ACRE|3826|0|83902|N
20201109|ACRS|7304|0|34751|N
20201109|ACRX|136062|1308|387659|N
20201109|ACSG|84|0|84|N
20201109|ACST|176667|150|563124|N
20201109|ACTG|12187|0|22060|N
20201109|ACU|30|0|80|N
20201109|ACV|5300|0|10440|N
20201109|ACWF|865|0|2882|N
20201109|ACWI|17169|0|165568|N
20201109|ACWV|7141|0|14733|N
20201109|ACWX|5403|0|13933|N
20201109|ACY|2288|0|7906|N
20201109|ADAP|174784|0|302779|N
20201109|ADBE|43151|0|110306|N
20201109|ADC|1282|1|5157|N
20201109|ADCT|7801|0|12417|N
20201109|ADES|3584|0|38714|N
20201109|ADI|13195|5|49092|N
20201109|ADIL|24314|0|73329|N
20201109|ADM|17457|0|78944|N
20201109|ADMA|148270|4008|844461|N
20201109|ADME|1188|0|1488|N
20201109|ADMP|766151|1567|1308019|N
20201109|ADMS|7708|45|11521|N
20201109|ADNT|30638|0|49442|N
20201109|ADP|4277|0|18794|N
20201109|ADPT|1768|0|27243|N
20201109|ADRE|1017|0|1937|N
20201109|ADS|71125|0|133926|N
20201109|ADSK|16695|0|58661|N
20201109|ADT|79214|0|251018|N
20201109|ADTN|15917|0|29431|N
20201109|ADTX|19558|0|124504|N
20201109|ADUS|99|0|1263|N
20201109|ADV|741|0|6607|N
20201109|ADVM|8599|0|47942|N
20201109|ADX|8863|0|19097|N
20201109|ADXS|136559|0|433652|N
20201109|AE|120|0|306|N
20201109|AEB|7|0|7|N
20201109|AEE|8420|0|15513|N
20201109|AEF|4120|0|12268|N
20201109|AEFC|19|0|1719|N
20201109|AEG|86005|0|355192|N
20201109|AEGN|7493|0|16490|N
20201109|AEHL|2198|1|7062|N
20201109|AEHR|25267|0|28684|N
20201109|AEIS|3904|1|10262|N
20201109|AEL|6235|0|45581|N
20201109|AELpA|512|0|865|N
20201109|AELpB|1255|0|1370|N
20201109|AEM|59199|1347|130906|N
20201109|AEMD|16515|200|38289|N
20201109|AEO|82155|0|196056|N
20201109|AEP|24451|0|80294|N
20201109|AER|15596|0|115142|N
20201109|AERI|2165|0|69840|N
20201109|AES|52992|0|131826|N
20201109|AESE|155306|6080|251524|N
20201109|AEY|14100|0|26252|N
20201109|AEYE|4334|21|19298|N
20201109|AEZS|244549|236|367265|N
20201109|AFB|280|0|1394|N
20201109|AFC|1596|0|2546|N
20201109|AFG|1547|0|4506|N
20201109|AFGB|14|0|44|N
20201109|AFGC|6|0|103|N
20201109|AFGD|63|0|85|N
20201109|AFI|13721|900|37410|N
20201109|AFIB|6029|0|8524|N
20201109|AFIF|10|0|250|N
20201109|AFIN|20450|0|117537|N
20201109|AFINP|40|0|1580|N
20201109|AFK|489|0|830|N
20201109|AFL|60201|100|138218|N
20201109|AFMD|6326|0|71040|N
