HTTP/1.1 200 OK
Date: Wed, 11 Nov 2020 01:55:55 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 10 Nov 2020 22:25:07 GMT
ETag: "462832-358a9-5b3c826af1200"
Accept-Ranges: bytes
Content-Length: 219305
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201110|A|7790|0|47257|N
20201110|AA|41773|0|214704|N
20201110|AAAU|4882|0|16351|N
20201110|AACG|129|0|1431|N
20201110|AAIC|11911|0|38264|N
20201110|AAL|5894794|0|13610042|N
20201110|AAMC|10|0|30|N
20201110|AAME|1324|0|6269|N
20201110|AAN|2404|0|4287|N
20201110|AAOI|39305|0|73515|N
20201110|AAON|378|0|8463|N
20201110|AAP|8337|0|40920|N
20201110|AAPL|10254644|100|19109691|N
20201110|AAT|747|0|6547|N
20201110|AAU|114529|0|139633|N
20201110|AAWW|5770|0|42458|N
20201110|AAXJ|12128|800|15186|N
20201110|AAXN|8440|0|24911|N
20201110|AB|12699|0|36034|N
20201110|ABB|5863|0|25574|N
20201110|ABBV|229137|0|929227|N
20201110|ABC|21231|0|49966|N
20201110|ABCB|831|0|5039|N
20201110|ABCM|270|0|2917|N
20201110|ABEO|104789|0|243320|N
20201110|ABEQ|477|0|477|N
20201110|ABEV|551537|0|2103526|N
20201110|ABG|1033|0|2013|N
20201110|ABIO|20019|15|56332|N
20201110|ABM|5269|0|10605|N
20201110|ABMD|1595|0|4133|N
20201110|ABR|77144|0|223481|N
20201110|ABRpB|588|0|808|N
20201110|ABRpC|2850|0|3060|N
20201110|ABST|5783|0|8110|N
20201110|ABT|69609|0|144756|N
20201110|ABTX|248|0|976|N
20201110|ABUS|74153|0|178757|N
20201110|AC|9|0|382|N
20201110|ACA|3319|0|7106|N
20201110|ACAD|18575|0|42579|N
20201110|ACAM|100|0|127|N
20201110|ACB|3384143|197009|13122582|N
20201110|ACBI|849|0|1498|N
20201110|ACC|24552|0|33764|N
20201110|ACCD|1493|30|3194|N
20201110|ACCO|10070|0|29752|N
20201110|ACEL|954|0|2312|N
20201110|ACER|1205|0|1379|N
20201110|ACES|5205|0|7618|N
20201110|ACET|4410|0|6760|N
20201110|ACGL|16194|0|57180|N
20201110|ACH|3847|0|9317|N
20201110|ACHC|3222|0|18396|N
20201110|ACHV|1680|0|8028|N
20201110|ACI|141283|537|318318|N
20201110|ACIA|182461|0|189552|N
20201110|ACIU|3091|0|8812|N
20201110|ACIW|3223|0|10694|N
20201110|ACLS|2175|0|6431|N
20201110|ACM|6618|0|16847|N
20201110|ACMR|2150|0|6970|N
20201110|ACN|9446|0|17486|N
20201110|ACND|100|0|200|N
20201110|ACOR|28975|0|220096|N
20201110|ACP|6510|0|14881|N
20201110|ACRE|9313|0|19328|N
20201110|ACRS|8339|0|21246|N
20201110|ACRX|72470|0|154352|N
20201110|ACSI|40|0|40|N
20201110|ACST|1629095|100|3226967|N
20201110|ACTG|11088|0|28286|N
20201110|ACU|799|0|1273|N
20201110|ACV|1375|0|4322|N
20201110|ACVF|104|0|104|N
20201110|ACWF|79|0|206|N
20201110|ACWI|31960|0|43539|N
20201110|ACWV|1431|0|5671|N
20201110|ACWX|3015|0|6044|N
20201110|ACY|27|0|73|N
20201110|ADAP|53070|0|138924|N
20201110|ADBE|54931|0|154483|N
20201110|ADC|2899|0|12491|N
20201110|ADCT|3377|0|10350|N
20201110|ADES|2917|0|20606|N
20201110|ADI|7799|0|37051|N
20201110|ADIL|14445|0|58402|N
20201110|ADM|26244|0|60241|N
20201110|ADMA|84853|0|466221|N
20201110|ADMP|450996|1066|929835|N
20201110|ADMS|4514|0|8606|N
20201110|ADNT|6714|0|44463|N
20201110|ADOCU|7|0|1117|N
20201110|ADP|12879|0|22110|N
20201110|ADPT|7423|0|11757|N
20201110|ADRE|771|0|2058|N
20201110|ADS|8300|0|26519|N
20201110|ADSK|14859|0|30273|N
20201110|ADT|113394|0|197655|N
20201110|ADTN|14162|0|19178|N
20201110|ADTX|33733|0|87515|N
20201110|ADUS|93|0|456|N
20201110|ADV|3971|0|5371|N
20201110|ADVM|3440|0|16356|N
20201110|ADX|17077|0|24949|N
20201110|ADXS|656821|100|1294704|N
20201110|AEB|28|0|5621|N
20201110|AEE|9110|0|12972|N
20201110|AEFC|100|0|100|N
20201110|AEG|86004|0|258949|N
20201110|AEGN|7|0|2357|N
20201110|AEHL|168926|0|343517|N
20201110|AEHR|24809|0|46979|N
20201110|AEIS|1094|0|7075|N
20201110|AEL|3895|0|13892|N
20201110|AELpA|728|0|1286|N
20201110|AELpB|987|0|1365|N
20201110|AEM|30417|880|53604|N
20201110|AEMD|4289|0|21498|N
20201110|AEO|63652|0|142377|N
