HTTP/1.1 200 OK
Date: Fri, 13 Nov 2020 16:33:27 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 12 Nov 2020 22:24:34 GMT
ETag: "463182-34bfb-5b3f06063a3f8"
Accept-Ranges: bytes
Content-Length: 216059
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201112|A|8087|30|15203|N
20201112|AA|124955|0|414683|N
20201112|AAAU|29089|0|35790|N
20201112|AACG|29667|0|63069|N
20201112|AACQ|1|0|154|N
20201112|AACQW|4043|0|4143|N
20201112|AADR|41|0|399|N
20201112|AAIC|16263|0|30591|N
20201112|AAL|5695257|0|12039197|N
20201112|AAMC|120|0|140|N
20201112|AAN|342|0|1831|N
20201112|AAOI|12534|0|44797|N
20201112|AAON|262|0|1349|N
20201112|AAP|7683|0|11744|N
20201112|AAPL|8863667|2261|15105088|N
20201112|AAT|246|0|1843|N
20201112|AAU|30586|0|54868|N
20201112|AAWW|6836|200|11849|N
20201112|AAXJ|7000|0|7856|N
20201112|AAXN|6685|0|13321|N
20201112|AB|22907|0|45317|N
20201112|ABB|14698|0|22623|N
20201112|ABBV|160587|0|345286|N
20201112|ABC|4398|0|11334|N
20201112|ABCB|410|0|2689|N
20201112|ABCM|621|0|1142|N
20201112|ABEO|144313|8171|230408|N
20201112|ABEQ|500|0|500|N
20201112|ABEV|630170|0|1587353|N
20201112|ABG|312|0|1331|N
20201112|ABIO|29994|965|47240|N
20201112|ABM|527|0|2390|N
20201112|ABMD|603|0|1952|N
20201112|ABR|180910|0|370421|N
20201112|ABRpA|570|0|981|N
20201112|ABST|621|0|912|N
20201112|ABT|40133|0|87163|N
20201112|ABUS|119491|0|277093|N
20201112|ACA|592|0|2247|N
20201112|ACACU|1|0|1|N
20201112|ACAD|11659|0|40476|N
20201112|ACAM|2000|0|4487|N
20201112|ACB|6856427|219731|13060440|N
20201112|ACBI|45|0|633|N
20201112|ACC|4520|0|6713|N
20201112|ACCD|735|0|3231|N
20201112|ACCO|26558|0|42136|N
20201112|ACEL|1113|0|1553|N
20201112|ACER|250|0|11448|N
20201112|ACES|3022|0|6313|N
20201112|ACET|221|0|1620|N
20201112|ACGL|9921|0|23127|N
20201112|ACGLO|40|0|398|N
20201112|ACGLP|23|0|305|N
20201112|ACH|1864|0|4377|N
20201112|ACHC|2218|0|6088|N
20201112|ACHV|15917|0|30551|N
20201112|ACI|72606|0|177002|N
20201112|ACIA|2389|0|7132|N
20201112|ACIO|647|0|3397|N
20201112|ACIU|9758|0|14079|N
20201112|ACIW|4383|0|6691|N
20201112|ACLS|48373|0|76218|N
20201112|ACM|3542|0|36266|N
20201112|ACMR|894|0|1899|N
20201112|ACN|8961|0|17133|N
20201112|ACNB|122|0|167|N
20201112|ACND|1|0|2|N
20201112|ACOR|112157|0|169967|N
20201112|ACP|11199|0|22903|N
20201112|ACRE|4254|0|11335|N
20201112|ACRS|5681|36|15222|N
20201112|ACRX|169921|0|224366|N
20201112|ACSI|2|0|2|N
20201112|ACST|786399|1244|1898506|N
20201112|ACTCU|1451|0|4283|N
20201112|ACTG|589|0|4763|N
20201112|ACU|15|0|287|N
20201112|ACV|963|0|2691|N
20201112|ACVF|2622|0|2622|N
20201112|ACWF|1|0|129|N
20201112|ACWI|36237|0|75440|N
20201112|ACWV|1839|0|16973|N
20201112|ACWX|27567|0|32394|N
20201112|ACY|378|55|5298|N
20201112|ADAP|24615|0|59410|N
20201112|ADBE|21095|0|60229|N
20201112|ADC|1464|0|3625|N
20201112|ADCT|3218|0|10144|N
20201112|ADES|3358|0|5082|N
20201112|ADI|3885|0|10529|N
20201112|ADIL|115377|0|249836|N
20201112|ADM|26985|0|46638|N
20201112|ADMA|74069|48|579765|N
20201112|ADME|8055|0|8213|N
20201112|ADMP|718147|3100|1483355|N
20201112|ADMS|645|0|6892|N
20201112|ADNT|3545|0|6765|N
20201112|ADOCU|3306|0|4568|N
20201112|ADP|26203|0|35074|N
20201112|ADPT|13670|0|53380|N
20201112|ADRE|51|0|680|N
20201112|ADS|11560|0|33784|N
20201112|ADSK|11655|0|25106|N
20201112|ADT|36096|0|111247|N
20201112|ADTN|4735|0|11092|N
20201112|ADTX|22130|0|62874|N
20201112|ADUS|253|0|1181|N
20201112|ADV|156|0|5605|N
20201112|ADVM|44279|0|93640|N
20201112|ADX|11113|0|29907|N
20201112|ADXS|162681|26|426747|N
20201112|AE|10|0|44|N
20201112|AEE|5175|0|12841|N
20201112|AEG|47195|0|115857|N
20201112|AEGN|2|0|272|N
20201112|AEHL|32531|0|76961|N
20201112|AEHR|5180|0|43009|N
20201112|AEIS|1711|0|3498|N
20201112|AEL|1564|0|5029|N
20201112|AELpA|600|0|799|N
20201112|AELpB|54|0|309|N
20201112|AEM|14795|0|40826|N
20201112|AEMD|17281|0|32073|N
20201112|AENZ|54|0|438|N
20201112|AEO|24810|0|69113|N
20201112|AEP|5406|0|49294|N
20201112|AEPPL|152|0|622|N
20201112|AER|28911|0|51541|N
20201112|AERI|5237|0|8498|N
20201112|AES|55082|0|194321|N
20201112|AESE|210814|0|453572|N
20201112|AEY|46981|10|77727|N
20201112|AEYE|4989|0|6695|N
20201112|AEZS|252848|0|641185|N
20201112|AFB|300|0|4782|N
20201112|AFC|275|0|275|N
20201112|AFG|485|0|2818|N
20201112|AFGB|2|0|13|N
20201112|AFGC|47|0|54|N
20201112|AFGD|11|0|40|N
20201112|AFGH|197|0|197|N
20201112|AFI|5116|0|9669|N
20201112|AFIB|2809|0|3275|N
20201112|AFIN|11114|0|37870|N
20201112|AFK|56|0|103|N
20201112|AFL|13493|10|52726|N
20201112|AFMD|13062|0|80436|N
20201112|AFT|2171|0|3319|N
20201112|AFYA|724|0|3346|N
20201112|AG|327253|0|606073|N
20201112|AGCO|1213|0|2918|N
20201112|AGCUU|2310|0|4013|N
20201112|AGD|53|0|142|N
20201112|AGE|4200|0|17378|N
20201112|AGEN|254124|0|549799|N
20201112|AGFS|966|0|1733|N
20201112|AGG|54519|0|209397|N
20201112|AGGY|3096|0|345558|N
20201112|AGI|30737|0|73324|N
20201112|AGIO|9271|0|18681|N
20201112|AGLE|1311|0|7469|N
20201112|AGM|718|0|1535|N
20201112|AGMH|2|0|23|N
20201112|AGNC|164225|50|337115|N
20201112|AGNCM|3613|0|6500|N
20201112|AGNCN|1280|0|2083|N
20201112|AGNCO|5079|0|11100|N
20201112|AGNCP|500|0|3368|N
20201112|AGO|7121|0|11554|N
