HTTP/1.1 200 OK
Date: Sat, 14 Nov 2020 02:10:01 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 13 Nov 2020 22:27:39 GMT
ETag: "4636e6-34ed6-5b404894631c8"
Accept-Ranges: bytes
Content-Length: 216790
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201113|A|10614|0|33604|N
20201113|AA|173104|0|373950|N
20201113|AAAU|13831|0|24378|N
20201113|AACG|691|0|26092|N
20201113|AACQ|7273|0|14896|N
20201113|AACQU|2000|0|4500|N
20201113|AACQW|10683|0|13137|N
20201113|AAIC|6918|0|14511|N
20201113|AAICpB|900|0|900|N
20201113|AAICpC|25|0|25|N
20201113|AAL|3619570|0|10517059|N
20201113|AAMC|20|0|35|N
20201113|AAME|52|0|107|N
20201113|AAN|353|0|1807|N
20201113|AAOI|38598|0|61748|N
20201113|AAON|1703|0|2256|N
20201113|AAP|14747|0|21076|N
20201113|AAPL|6511967|52|11130695|N
20201113|AAT|2550|0|5613|N
20201113|AAU|15918|0|66148|N
20201113|AAWW|8544|0|17037|N
20201113|AAXJ|13457|0|18946|N
20201113|AAXN|5188|0|11191|N
20201113|AB|6018|0|17470|N
20201113|ABB|8811|0|31416|N
20201113|ABBV|107305|0|287903|N
20201113|ABC|4586|0|7833|N
20201113|ABCB|3198|0|5245|N
20201113|ABCM|111|0|277|N
20201113|ABEO|89200|1832|302416|N
20201113|ABEV|597474|0|1986485|N
20201113|ABG|330|0|997|N
20201113|ABIO|13123|0|37616|N
20201113|ABM|373|0|815|N
20201113|ABMD|546|0|1218|N
20201113|ABR|49149|0|145918|N
20201113|ABRpA|325|0|425|N
20201113|ABRpC|121|0|2380|N
20201113|ABST|26|0|131|N
20201113|ABT|159342|0|213374|N
20201113|ABTX|109|0|110|N
20201113|ABUS|72290|0|234623|N
20201113|AC|1|0|1|N
20201113|ACA|1129|0|2190|N
20201113|ACAD|7833|0|27758|N
20201113|ACAM|1211|0|2244|N
20201113|ACB|4395031|191334|8626104|N
20201113|ACBI|169|0|623|N
20201113|ACC|2904|0|13395|N
20201113|ACCD|1622|0|3315|N
20201113|ACCO|6229|0|21807|N
20201113|ACEL|1046|0|2425|N
20201113|ACER|8950|0|16006|N
20201113|ACES|3070|0|5919|N
20201113|ACET|3076|0|7721|N
20201113|ACEVW|800|0|800|N
20201113|ACGL|11156|0|22991|N
20201113|ACGLO|245|0|449|N
20201113|ACGLP|847|0|1039|N
20201113|ACH|6608|0|7767|N
20201113|ACHC|1713|0|5496|N
20201113|ACHV|38028|0|67172|N
20201113|ACI|71916|0|189826|N
20201113|ACIA|4708|0|13600|N
20201113|ACIO|8770|0|9527|N
20201113|ACIU|7367|0|10119|N
20201113|ACIW|2038|0|8725|N
20201113|ACLS|10169|0|32733|N
20201113|ACM|20923|0|274919|N
20201113|ACMR|18471|0|22410|N
20201113|ACN|7435|0|12240|N
20201113|ACNB|4|0|591|N
20201113|ACOR|99328|0|221499|N
20201113|ACP|10498|0|27466|N
20201113|ACRE|416|0|7060|N
20201113|ACRS|8315|131|21373|N
20201113|ACRX|40783|0|114744|N
20201113|ACSG|65|0|65|N
20201113|ACST|179942|0|572330|N
20201113|ACTG|200|0|4014|N
20201113|ACU|106|0|1350|N
20201113|ACV|674|0|1207|N
20201113|ACVF|380|0|381|N
20201113|ACWF|1|0|183|N
20201113|ACWI|5510|0|32544|N
20201113|ACWV|1484|0|14374|N
20201113|ACWX|193270|0|205635|N
20201113|ACY|1152|52|1965|N
20201113|ADAP|8701|0|34376|N
20201113|ADBE|28690|1|70722|N
20201113|ADC|796|0|1542|N
20201113|ADCT|1605|0|3033|N
20201113|ADES|67|0|4224|N
20201113|ADI|5742|38|14663|N
20201113|ADIL|11655|0|73210|N
20201113|ADM|15183|0|48310|N
20201113|ADMA|89755|0|296100|N
20201113|ADME|450|0|717|N
20201113|ADMP|1133983|40|2152187|N
20201113|ADMS|28289|0|32607|N
20201113|ADNT|2404|0|9063|N
20201113|ADOCU|2433|0|2603|N
20201113|ADP|4092|0|9382|N
20201113|ADPT|6321|0|24116|N
20201113|ADRE|441|0|644|N
20201113|ADS|10968|0|24392|N
20201113|ADSK|14210|1|38175|N
20201113|ADT|28569|0|95847|N
20201113|ADTN|13405|0|21029|N
20201113|ADTX|65211|800|133362|N
20201113|ADUS|706|0|1880|N
20201113|ADV|6117|0|9977|N
20201113|ADVM|26025|0|43970|N
20201113|ADVWW|102|0|302|N
20201113|ADX|15194|0|23786|N
20201113|ADXS|61154|526|201781|N
20201113|AEE|5216|0|16382|N
20201113|AEF|1065|0|1065|N
20201113|AEG|35422|0|95041|N
20201113|AEGN|26|0|366|N
20201113|AEHL|10332|0|27558|N
20201113|AEHR|4957|0|29805|N
20201113|AEIS|1956|0|2780|N
20201113|AEL|836|0|3488|N
20201113|AELpA|549|0|561|N
20201113|AELpB|94|0|600|N
20201113|AEM|16531|0|27326|N
20201113|AEMD|5725|0|17078|N
20201113|AENZ|100|0|115|N
20201113|AEO|46246|0|102403|N
20201113|AEP|16833|0|42524|N
20201113|AEPPL|200|0|303|N
20201113|AER|20799|0|53290|N
20201113|AERI|5678|0|12941|N
20201113|AES|16516|0|67728|N
20201113|AESE|148311|0|319863|N
20201113|AEY|3903|0|8274|N
20201113|AEYE|8290|157|24570|N
20201113|AEZS|81928|0|188866|N
20201113|AFB|180|0|496|N
20201113|AFG|265|0|5057|N
20201113|AFGB|10|0|517|N
20201113|AFGC|110|110|169|N
20201113|AFI|1743|0|8336|N
20201113|AFIB|11053|0|26344|N
20201113|AFIN|7399|0|23703|N
