HTTP/1.1 200 OK
Date: Tue, 17 Nov 2020 07:40:51 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 16 Nov 2020 22:22:57 GMT
ETag: "463db1-36afb-5b440d1f9e860"
Accept-Ranges: bytes
Content-Length: 223995
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201116|A|3391|0|12303|N
20201116|AA|124690|0|391639|N
20201116|AAAU|2714|0|23953|N
20201116|AACG|5|0|1570|N
20201116|AACQ|4401|0|5403|N
20201116|AACQU|277|0|1304|N
20201116|AACQW|640|0|2340|N
20201116|AAIC|9686|0|24841|N
20201116|AAL|5796055|0|15090613|N
20201116|AAMC|115|0|246|N
20201116|AAME|1|0|105|N
20201116|AAN|3339|0|4755|N
20201116|AAOI|31699|0|72043|N
20201116|AAON|690|0|2708|N
20201116|AAP|11965|0|26750|N
20201116|AAPL|5407633|886|11476716|N
20201116|AAT|1038|0|1805|N
20201116|AAU|14940|0|48601|N
20201116|AAWW|13005|0|29126|N
20201116|AAXJ|12968|0|14297|N
20201116|AAXN|4342|0|13760|N
20201116|AB|8359|0|28830|N
20201116|ABB|13737|0|37166|N
20201116|ABBV|167136|100|291975|N
20201116|ABC|5908|0|8660|N
20201116|ABCB|5736|0|17730|N
20201116|ABCM|497|0|753|N
20201116|ABEO|222767|0|398647|N
20201116|ABEQ|1020|0|1020|N
20201116|ABEV|488099|0|1839112|N
20201116|ABG|1667|0|4050|N
20201116|ABIO|8618|0|26136|N
20201116|ABM|240|0|11549|N
20201116|ABMD|1325|0|5193|N
20201116|ABR|64184|0|217739|N
20201116|ABRpA|2800|0|3029|N
20201116|ABST|4713|0|5873|N
20201116|ABT|42554|99|89611|N
20201116|ABTX|137|0|260|N
20201116|ABUS|323595|0|718727|N
20201116|AC|35|0|132|N
20201116|ACA|2610|0|7668|N
20201116|ACACU|10|0|1929|N
20201116|ACAD|24984|0|121746|N
20201116|ACAM|421|0|4622|N
20201116|ACAMU|1210|0|3213|N
20201116|ACB|3885892|272|7944860|N
20201116|ACBI|26|0|125|N
20201116|ACC|2841|0|8702|N
20201116|ACCD|1907|0|2475|N
20201116|ACCO|17017|0|47417|N
20201116|ACEL|1022|0|3971|N
20201116|ACER|5354|0|14615|N
20201116|ACES|3930|0|6478|N
20201116|ACET|345|0|5082|N
20201116|ACGL|5577|4|19230|N
20201116|ACGLO|127|0|1568|N
20201116|ACGLP|61|0|5140|N
20201116|ACH|961|0|3574|N
