HTTP/1.1 200 OK
Date: Wed, 18 Nov 2020 08:48:16 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 17 Nov 2020 22:23:03 GMT
ETag: "464335-35d73-5b454f0370b28"
Accept-Ranges: bytes
Content-Length: 220531
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201117|A|6500|0|25591|N
20201117|AA|124051|0|406832|N
20201117|AAAU|63430|0|74205|N
20201117|AACG|20|0|1081|N
20201117|AACQ|1102|0|1332|N
20201117|AACQW|7175|0|7175|N
20201117|AAIC|11353|0|42102|N
20201117|AAICpB|500|0|500|N
20201117|AAL|4612529|0|11167841|N
20201117|AAMC|40|0|50|N
20201117|AAN|1336|0|3509|N
20201117|AAOI|7905|0|32611|N
20201117|AAON|695|0|1145|N
20201117|AAP|6172|0|9798|N
20201117|AAPL|5090737|865|9200183|N
20201117|AAT|2885|0|10899|N
20201117|AAU|80105|40|121840|N
20201117|AAWW|23360|0|33420|N
20201117|AAXJ|32929|0|48815|N
20201117|AAXN|4096|0|16698|N
20201117|AB|9872|0|21201|N
20201117|ABB|18443|0|48823|N
20201117|ABBV|150655|0|302618|N
20201117|ABC|33014|0|48250|N
20201117|ABCB|236|0|680|N
20201117|ABCM|233|0|371|N
20201117|ABEO|107618|0|230117|N
20201117|ABEQ|9|0|9|N
20201117|ABEV|276640|0|1220261|N
20201117|ABG|1775|0|2037|N
20201117|ABIO|2829|0|17285|N
20201117|ABM|885|0|2564|N
20201117|ABMD|1020|0|1893|N
20201117|ABR|67152|0|161803|N
20201117|ABRpA|600|0|6500|N
20201117|ABRpC|120|0|120|N
20201117|ABST|500|0|800|N
20201117|ABT|36760|0|96205|N
20201117|ABTX|257|0|2505|N
20201117|ABUS|53698|0|226124|N
20201117|AC|1|0|18|N
20201117|ACA|718|0|3202|N
20201117|ACACU|500|0|670|N
20201117|ACAD|7729|0|50589|N
20201117|ACAM|924|0|1921|N
20201117|ACB|2968003|0|8664799|N
20201117|ACBI|806|0|935|N
20201117|ACC|3866|0|6327|N
20201117|ACCD|2708|0|4483|N
20201117|ACCO|9033|0|62627|N
20201117|ACEL|655|0|3835|N
20201117|ACER|2538|0|5292|N
20201117|ACES|6646|0|9689|N
20201117|ACEVW|20|0|40|N
20201117|ACGL|8658|0|27426|N
20201117|ACGLO|1055|0|1063|N
20201117|ACGLP|592|0|1104|N
20201117|ACH|430|0|10864|N
20201117|ACHC|3827|0|9547|N
20201117|ACHV|27875|1058|55061|N
20201117|ACI|85561|0|160382|N
20201117|ACIA|745|0|4705|N
20201117|ACIO|781|0|1424|N
20201117|ACIU|1577|0|4084|N
20201117|ACIW|4616|0|14378|N
20201117|ACLS|4555|0|7270|N
20201117|ACM|5484|0|16585|N
20201117|ACMR|5760|138|13544|N
20201117|ACN|12890|0|24634|N
20201117|ACNB|110|0|264|N
20201117|ACOR|126191|0|220034|N
20201117|ACP|7088|0|18092|N
20201117|ACRE|5805|0|6950|N
20201117|ACRS|3811|33|7960|N
20201117|ACRX|41841|0|96059|N
20201117|ACSG|66|0|66|N
20201117|ACSI|1|0|203|N
20201117|ACST|93284|200|384956|N
20201117|ACTCU|400|0|2700|N
20201117|ACTG|30|0|5454|N
20201117|ACU|4049|0|8648|N
20201117|ACV|263|0|1058|N
20201117|ACVF|1268|0|1268|N
20201117|ACWI|19768|0|29658|N
20201117|ACWV|678|0|10938|N
20201117|ACWX|8977|0|15427|N
20201117|ADAP|21707|0|84377|N
20201117|ADBE|27722|0|84635|N
20201117|ADC|867|0|2154|N
20201117|ADCT|672|0|6584|N
20201117|ADES|2363|0|3997|N
20201117|ADI|7103|0|17579|N
20201117|ADIL|7325|522|33787|N
20201117|ADM|40128|0|87434|N
20201117|ADMA|77486|600|200307|N
20201117|ADME|1247|0|1552|N
20201117|ADMP|606216|2051|1323699|N
20201117|ADMS|3491|0|15178|N
20201117|ADNT|3640|0|7423|N
20201117|ADP|6673|100|15898|N
20201117|ADPT|15394|0|21308|N
20201117|ADRE|294|0|787|N
20201117|ADS|9449|0|22388|N
20201117|ADSK|5821|830|16487|N
20201117|ADT|63502|0|139751|N
20201117|ADTN|1755|0|3241|N
20201117|ADTX|17820|0|70545|N
20201117|ADUS|1654|0|3397|N
20201117|ADV|1094|0|2752|N
20201117|ADVM|5717|0|15056|N
20201117|ADVWW|97|0|97|N
20201117|ADX|8168|0|57885|N
20201117|ADXS|76086|0|145621|N
20201117|AE|137|0|161|N
20201117|AEB|182|0|242|N
20201117|AEE|12684|276|24612|N
20201117|AEFC|200|0|771|N
20201117|AEG|39538|0|78093|N
20201117|AEGN|151|0|193|N
20201117|AEHL|189303|0|411648|N
20201117|AEHR|8048|0|9703|N
20201117|AEIS|880|0|2152|N
20201117|AEL|1781|0|10195|N
20201117|AELpA|978|0|1309|N
20201117|AELpB|260|0|768|N
20201117|AEM|23832|15|52974|N
20201117|AEMD|13129|0|29799|N
20201117|AENZ|4047|158|4487|N
20201117|AEO|52698|0|121519|N
20201117|AEP|31622|414|70781|N
20201117|AEPPL|500|0|500|N
20201117|AEPPZ|300|0|450|N
20201117|AER|40870|0|89186|N
20201117|AERI|6568|0|14170|N
20201117|AES|38425|1031|87334|N
20201117|AESE|32979|0|157199|N
20201117|AEY|98|0|2200|N
20201117|AEYE|2559|0|12672|N
20201117|AEZS|65594|0|258020|N
20201117|AFB|4073|0|4473|N
20201117|AFC|50|0|150|N
20201117|AFG|968|0|6877|N
20201117|AFGB|40|0|240|N
20201117|AFGC|140|0|312|N
20201117|AFGD|100|0|137|N
20201117|AFGE|150|0|150|N
20201117|AFI|580|0|5240|N
20201117|AFIB|1676|0|4436|N
20201117|AFIN|5951|0|38626|N
20201117|AFINP|100|0|1286|N
20201117|AFK|6|0|388|N
20201117|AFL|31256|0|80686|N
20201117|AFMD|32220|0|65212|N
20201117|AFT|3238|0|3533|N
20201117|AFTY|5|0|194|N
20201117|AFYA|1069|0|4711|N
20201117|AG|148220|100|275155|N
20201117|AGCO|1523|0|8053|N
20201117|AGCUU|2975|0|3176|N
20201117|AGD|481|0|3671|N
20201117|AGE|14251|0|65517|N
20201117|AGEN|17492|0|126983|N
20201117|AGFS|10588|0|10668|N
20201117|AGG|59258|0|140356|N
20201117|AGGY|2960|0|10848|N
20201117|AGI|37483|100|105743|N
20201117|AGIO|2321|0|7686|N
20201117|AGLE|2385|0|9607|N
20201117|AGM|852|0|1107|N
20201117|AGMH|213|0|216|N
20201117|AGMpE|500|0|500|N
20201117|AGNC|235597|245|381202|N
