HTTP/1.1 200 OK
Date: Sat, 21 Nov 2020 02:36:53 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 20 Nov 2020 22:25:29 GMT
ETag: "465363-35423-5b4915271bec8"
Accept-Ranges: bytes
Content-Length: 218147
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201120|A|18808|0|41061|N
20201120|AA|77762|1|224054|N
20201120|AAAU|1954|0|8037|N
20201120|AACG|1|0|15734|N
20201120|AACQ|4713|0|7590|N
20201120|AACQU|3700|0|5601|N
20201120|AACQW|2040|0|6652|N
20201120|AAIC|2554|0|12005|N
20201120|AAL|5283892|32|11447609|N
20201120|AAMC|25|0|55|N
20201120|AAME|93|0|170|N
20201120|AAN|2019|0|16759|N
20201120|AAOI|13558|0|62558|N
20201120|AAON|578|0|2595|N
20201120|AAP|354508|0|363218|N
20201120|AAPL|5039869|2515|8614258|N
20201120|AAT|1280|0|3664|N
20201120|AAU|39327|0|68149|N
20201120|AAWW|9204|0|21304|N
20201120|AAXJ|7992|0|8871|N
20201120|AAXN|9646|0|17496|N
20201120|AB|6474|0|13912|N
20201120|ABB|8795|0|20178|N
20201120|ABBV|225737|1504|365523|N
20201120|ABC|4534|22|14388|N
20201120|ABCB|738|0|1388|N
20201120|ABCM|507|0|728|N
20201120|ABEO|65790|0|168405|N
20201120|ABEV|510777|0|732274|N
20201120|ABG|3337|0|3984|N
20201120|ABIO|48725|0|93855|N
20201120|ABM|584|0|2062|N
20201120|ABMD|1055|0|1439|N
20201120|ABR|30668|0|83494|N
20201120|ABRpC|50|0|212|N
20201120|ABST|5063|0|5363|N
20201120|ABT|28099|0|70753|N
20201120|ABTX|96|0|329|N
20201120|ABUS|27752|0|115540|N
20201120|AC|1|0|6|N
20201120|ACA|411|0|3746|N
20201120|ACAD|5207|0|18013|N
20201120|ACAM|77|0|2249|N
20201120|ACB|3622163|0|7207720|N
20201120|ACBI|113|0|906|N
20201120|ACC|3602|0|11855|N
20201120|ACCD|3173|0|6980|N
20201120|ACCO|26990|0|33873|N
20201120|ACEL|397|0|1243|N
20201120|ACER|5921|0|7676|N
20201120|ACES|10105|0|13895|N
20201120|ACET|61|0|1795|N
20201120|ACEV|13|0|325|N
20201120|ACEVW|500|0|980|N
20201120|ACGL|9506|0|19862|N
20201120|ACGLO|113|0|613|N
20201120|ACGLP|184|0|233|N
20201120|ACH|342|0|5133|N
20201120|ACHC|3328|0|14010|N
20201120|ACHV|22797|0|43977|N
20201120|ACI|28028|0|67874|N
20201120|ACIA|6996|0|38232|N
20201120|ACIC/U|265|0|565|N
20201120|ACIO|2207|0|2948|N
20201120|ACIU|1802|0|4790|N
20201120|ACIW|3572|0|15591|N
20201120|ACLS|9548|0|13080|N
20201120|ACM|4726|0|19336|N
20201120|ACMR|6790|0|12440|N
20201120|ACN|25567|0|36581|N
20201120|ACNB|281|0|381|N
20201120|ACOR|375069|5000|701053|N
20201120|ACP|1196|0|6905|N
20201120|ACRE|6886|0|8778|N
20201120|ACRS|10840|0|24779|N
20201120|ACRX|57010|0|194622|N
20201120|ACST|2666795|8362|5318471|N
20201120|ACTG|30300|0|35839|N
20201120|ACU|2980|0|5878|N
20201120|ACV|1288|0|2131|N
20201120|ACVF|1006|0|1036|N
20201120|ACWI|15701|0|57617|N
20201120|ACWV|66|0|6944|N
20201120|ACWX|2540|0|10667|N
20201120|ACY|5|0|1423|N
20201120|ADAP|72232|0|162837|N
20201120|ADBE|14721|0|57267|N
20201120|ADC|1998|0|2776|N
20201120|ADCT|8392|0|34896|N
20201120|ADES|2561|0|4162|N
20201120|ADI|11948|0|25701|N
20201120|ADIL|24358|0|38491|N
20201120|ADM|37454|73|68071|N
20201120|ADMA|108431|0|397990|N
20201120|ADME|674|0|1592|N
20201120|ADMP|460372|977|878278|N
20201120|ADMS|2231|0|3915|N
20201120|ADNT|1445|0|10388|N
20201120|ADP|7368|0|22816|N
20201120|ADPT|5618|0|14141|N
20201120|ADRE|1942|0|2223|N
20201120|ADS|11811|0|21865|N
20201120|ADSK|13483|0|37013|N
20201120|ADT|148710|0|354358|N
20201120|ADTN|1730|0|4673|N
20201120|ADTX|149524|5793|319467|N
20201120|ADUS|879|0|1479|N
20201120|ADV|2726|0|2806|N
20201120|ADVM|7266|0|18269|N
20201120|ADVWW|100|0|100|N
20201120|ADX|12070|0|74895|N
20201120|ADXS|78668|100|182193|N
20201120|AE|34|0|44|N
20201120|AEB|900|0|1300|N
20201120|AEE|9557|0|17987|N
20201120|AEF|1506|0|3292|N
20201120|AEFC|400|0|2405|N
20201120|AEG|66172|0|90709|N
20201120|AEGN|700|0|894|N
20201120|AEHL|35124|37|73678|N
20201120|AEHR|2589|0|12494|N
20201120|AEIS|2943|0|6170|N
20201120|AEL|2305|0|13650|N
20201120|AELpA|512|0|604|N
20201120|AELpB|214|0|514|N
20201120|AEM|15633|0|48583|N
20201120|AEMD|12975|0|24716|N
20201120|AENZ|99|0|300|N
20201120|AEO|84559|0|163009|N
20201120|AEP|28515|0|88772|N
20201120|AEPPL|1469|0|1473|N
20201120|AEPPZ|185|0|185|N
20201120|AER|9437|0|46842|N
20201120|AERI|10929|0|19948|N
20201120|AES|65355|0|121585|N
20201120|AESE|53548|0|172244|N
20201120|AEY|2737|0|5792|N
20201120|AEYE|3973|0|10651|N
20201120|AEZS|3414841|17706|6702735|N
20201120|AFG|10616|0|14125|N
20201120|AFGB|18|0|115|N
20201120|AFGC|5|0|41|N
20201120|AFI|1580|0|14402|N
