HTTP/1.1 200 OK
Date: Wed, 25 Nov 2020 10:35:20 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 24 Nov 2020 22:26:02 GMT
ETag: "465f7d-3834c-5b4e1cbc22d58"
Accept-Ranges: bytes
Content-Length: 230220
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201124|A|72709|0|132512|N
20201124|AA|176809|1700|408795|N
20201124|AAA|400|0|400|N
20201124|AAAU|9453|0|50370|N
20201124|AACG|2|0|11427|N
20201124|AACQ|1079|0|5511|N
20201124|AACQU|350|0|962|N
20201124|AACQW|1802|0|8607|N
20201124|AAIC|38911|0|79180|N
20201124|AAICpC|600|0|600|N
20201124|AAL|11050501|0|27497485|N
20201124|AAMC|30|0|42|N
20201124|AAN|8213|0|11621|N
20201124|AAOI|23299|0|70493|N
20201124|AAON|617|0|2606|N
20201124|AAP|3473|0|37553|N
20201124|AAPL|6628539|8400|14596715|N
20201124|AAT|2057|0|13886|N
20201124|AAU|65139|0|126444|N
20201124|AAWW|12938|0|36761|N
20201124|AAXJ|19474|0|26299|N
20201124|AAXN|7896|0|15297|N
20201124|AB|22829|0|38415|N
20201124|ABB|40211|0|68745|N
20201124|ABBV|286977|0|549043|N
20201124|ABC|15611|0|30686|N
20201124|ABCB|2819|0|16223|N
20201124|ABCM|599|0|2783|N
20201124|ABEO|53202|0|166878|N
20201124|ABEQ|800|0|800|N
20201124|ABEV|437945|0|1704607|N
20201124|ABG|1298|0|3934|N
20201124|ABIO|33265|0|73736|N
20201124|ABM|23695|0|31382|N
20201124|ABMD|1922|0|3823|N
20201124|ABR|55245|0|85792|N
20201124|ABRpA|121|0|146|N
20201124|ABRpB|50|0|150|N
20201124|ABRpC|400|0|904|N
20201124|ABST|872|0|1835|N
20201124|ABT|92407|0|214830|N
20201124|ABTX|114|0|1558|N
20201124|ABUS|84996|0|212574|N
20201124|ACA|1749|0|4908|N
20201124|ACAD|13476|0|40949|N
20201124|ACAM|100|0|3475|N
20201124|ACAMW|100|0|1300|N
20201124|ACB|7322938|200|14979975|N
20201124|ACBI|208|0|394|N
20201124|ACC|2574|0|16943|N
20201124|ACCD|1276|0|5196|N
20201124|ACCO|10946|0|36977|N
20201124|ACEL|3098|0|9052|N
20201124|ACER|8485|0|18390|N
20201124|ACES|6395|0|12546|N
20201124|ACET|435|0|1499|N
20201124|ACEV|199|0|200|N
20201124|ACEVW|868|0|868|N
20201124|ACGL|27055|0|49574|N
20201124|ACGLO|149|0|323|N
20201124|ACGLP|105|0|246|N
20201124|ACH|11714|0|23302|N
20201124|ACHC|3405|0|14500|N
20201124|ACHV|2713|0|8070|N
20201124|ACI|180822|0|315922|N
20201124|ACIA|8263|0|40043|N
20201124|ACIO|7264|0|7462|N
20201124|ACIU|2474|0|5321|N
20201124|ACIW|1717|0|8672|N
20201124|ACLS|4917|0|13945|N
20201124|ACM|4551|0|22643|N
20201124|ACMR|4294|0|8077|N
20201124|ACN|14541|0|34056|N
20201124|ACNB|601|0|625|N
20201124|ACND|1544|0|2082|N
20201124|ACND/WS|80|80|80|N
20201124|ACOR|591956|11|1068892|N
20201124|ACP|2464|0|17707|N
20201124|ACRE|5479|0|43510|N
20201124|ACRS|11381|0|28927|N
20201124|ACRX|66058|0|124216|N
20201124|ACSI|1|0|1|N
20201124|ACST|536396|1092|874589|N
20201124|ACTCU|216|0|517|N
20201124|ACTCW|250|0|250|N
20201124|ACTG|11650|0|12555|N
20201124|ACTV|550|0|550|N
20201124|ACU|99|0|321|N
20201124|ACV|2148|0|5263|N
20201124|ACVF|38|0|61|N
20201124|ACWI|30163|0|36631|N
20201124|ACWV|1257|0|15185|N
20201124|ACWX|24576|0|36981|N
20201124|ACY|2414|0|2543|N
20201124|ADAP|88519|2243|157148|N
20201124|ADBE|45108|42|106607|N
20201124|ADC|2037|0|15176|N
20201124|ADCT|14110|0|21969|N
20201124|ADES|24886|0|33094|N
20201124|ADI|37320|0|74011|N
20201124|ADIL|43110|100|116801|N
20201124|ADM|33759|0|66236|N
20201124|ADMA|134872|0|394014|N
20201124|ADME|2701|0|2793|N
20201124|ADMP|289907|0|941178|N
20201124|ADMS|2891|0|13048|N
20201124|ADNT|20231|0|58212|N
20201124|ADOCU|6301|0|6308|N
20201124|ADP|14140|0|30439|N
20201124|ADPT|8991|0|12480|N
20201124|ADRE|737|0|1123|N
20201124|ADS|8475|0|35741|N
20201124|ADSK|22031|0|54405|N
20201124|ADT|52665|0|219945|N
20201124|ADTN|3768|0|18190|N
20201124|ADTX|41455|0|97978|N
20201124|ADUS|545|0|1416|N
20201124|ADV|4115|0|5699|N
20201124|ADVM|6953|0|15587|N
20201124|ADVWW|62|0|8310|N
20201124|ADX|24014|0|57023|N
20201124|ADXS|3137361|18584|4668017|N
20201124|AE|2301|0|2538|N
20201124|AEB|2509|0|2947|N
20201124|AEE|16948|0|57783|N
20201124|AEF|2841|0|3148|N
20201124|AEG|84418|0|147159|N
20201124|AEGN|737|0|2236|N
20201124|AEHL|8922|0|52755|N
20201124|AEHR|8935|0|28691|N
20201124|AEIS|4720|0|9293|N
20201124|AEL|3578|0|12771|N
20201124|AELpA|1873|0|1950|N
20201124|AELpB|9|0|809|N
20201124|AEM|39774|0|95876|N
20201124|AEMD|23583|0|62520|N
20201124|AEO|303890|0|509803|N
20201124|AEP|20657|0|47335|N
20201124|AEPPL|555|0|580|N
20201124|AEPPZ|235|0|235|N
20201124|AER|31103|0|85002|N
20201124|AERI|2294|200|9417|N
20201124|AES|127220|0|169380|N
20201124|AESE|48913|0|95698|N
20201124|AEY|59542|500|151942|N
20201124|AEYE|3275|0|7052|N
20201124|AEZS|104274|156|327093|N
20201124|AFB|1750|0|2085|N
20201124|AFC|1050|0|1325|N
20201124|AFG|2597|0|8949|N
20201124|AFGB|21|0|87|N
20201124|AFGC|33|0|196|N
20201124|AFGD|41|0|51|N
20201124|AFGE|200|0|200|N
20201124|AFI|16495|0|33056|N
20201124|AFIB|14974|0|17195|N
20201124|AFIN|5380|0|22351|N
20201124|AFINP|400|0|1113|N
20201124|AFK|107|0|197|N
20201124|AFL|65462|0|103957|N
20201124|AFLG|3|0|3|N
20201124|AFMD|29687|0|94879|N
20201124|AFT|2201|0|2928|N
20201124|AFTY|15|0|121|N
20201124|AFYA|1850|0|11333|N
20201124|AG|367059|0|654695|N
20201124|AGBA|10|0|12|N
20201124|AGBAW|100|0|100|N
20201124|AGCO|3401|0|8792|N
20201124|AGCUU|155|0|358|N
20201124|AGD|1176|0|4595|N
20201124|AGE|7257|0|56263|N
20201124|AGEN|112421|0|292651|N
20201124|AGFS|84|0|1805|N
20201124|AGG|142314|0|199229|N
20201124|AGGY|1978|0|6615|N
20201124|AGI|129007|0|368321|N
20201124|AGIO|1775|0|5913|N
20201124|AGLE|1790|0|3113|N
20201124|AGM|294|0|1884|N
20201124|AGM/A|25|0|50|N
20201124|AGMH|605|0|606|N
20201124|AGMpE|205|0|285|N
20201124|AGNC|286435|0|458223|N
20201124|AGNCM|1392|0|2051|N
20201124|AGNCN|3043|0|10519|N
20201124|AGNCO|3950|0|6161|N
20201124|AGNCP|6015|0|8791|N
20201124|AGO|6005|0|13114|N
20201124|AGOpE|113|0|278|N
20201124|AGOpF|900|0|999|N
20201124|AGQ|42852|0|157129|N
20201124|AGR|9026|0|18177|N
20201124|AGRO|1897|0|3981|N
20201124|AGRX|63204|0|145393|N
20201124|AGS|20780|0|61246|N
20201124|AGT|1|0|157|N
20201124|AGTC|18203|0|32572|N
20201124|AGX|570|0|2408|N
20201124|AGYS|2058|0|5634|N
20201124|AGZ|2649|0|3596|N
20201124|AGZD|26|0|650|N
20201124|AHACU|1500|0|3420|N
20201124|AHACW|400|0|400|N
20201124|AHC|1595|0|4442|N
20201124|AHCO|6272|0|17153|N
20201124|AHH|1515|0|22115|N
20201124|AHHpA|203|0|203|N
20201124|AHLpD|142|0|528|N
20201124|AHPI|73644|25|111291|N
20201124|AHT|665531|5555|1325816|N
20201124|AHTpD|1455|0|2220|N
20201124|AHTpF|3200|0|3787|N
20201124|AHTpG|760|0|775|N
20201124|AHTpH|1951|0|3681|N
20201124|AHTpI|1320|0|1621|N
20201124|AIA|2689|0|5862|N
20201124|AIC|746|0|769|N
20201124|AIEQ|1669|0|4024|N
20201124|AIF|258|0|883|N
20201124|AIG|30170|0|99946|N
20201124|AIG/WS|8910|0|116330|N
20201124|AIGpA|45|0|223|N
20201124|AIH|70|0|1782|N
20201124|AIHS|588197|266|1226368|N
20201124|AIIQ|5|0|9|N
20201124|AIKI|39821|0|128271|N
20201124|AIM|154499|2934|332190|N
20201124|AIMC|1365|0|8416|N
20201124|AIN|1116|200|2337|N
20201124|AINC|696|0|903|N
20201124|AINV|11930|0|48510|N
20201124|AIO|4333|0|8323|N
20201124|AIQ|762|0|2931|N
20201124|AIR|3110|0|12006|N
20201124|AIRG|283|0|1157|N
20201124|AIRI|34012|0|77397|N
20201124|AIRR|1605|0|1685|N
20201124|AIRT|522|0|522|N
