HTTP/1.1 200 OK
Date: Thu, 26 Nov 2020 08:23:54 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 25 Nov 2020 22:24:37 GMT
ETag: "4664e5-36e68-5b4f5e486d4b0"
Accept-Ranges: bytes
Content-Length: 224872
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201125|A|25406|0|40960|N
20201125|AA|224123|0|346261|N
20201125|AAAU|9713|0|22981|N
20201125|AACG|22519|0|52892|N
20201125|AACQ|2998|0|3314|N
20201125|AACQU|30|0|242|N
20201125|AACQW|520|0|4971|N
20201125|AADR|13|0|127|N
20201125|AAIC|12567|0|36549|N
20201125|AAL|8292889|0|19295166|N
20201125|AAMC|6|0|262|N
20201125|AAME|164|0|284|N
20201125|AAN|3347|0|6757|N
20201125|AAOI|38893|0|77697|N
20201125|AAON|919|0|1656|N
20201125|AAP|3933|1|9873|N
20201125|AAPL|4722514|1300|10303412|N
20201125|AAT|692|0|4185|N
20201125|AAU|14451|70|62218|N
20201125|AAWW|5392|0|6789|N
20201125|AAXJ|21781|0|25120|N
20201125|AAXN|4270|0|16452|N
20201125|AB|9845|0|40910|N
20201125|ABB|14448|0|33671|N
20201125|ABBV|151004|0|253797|N
20201125|ABC|5521|0|11376|N
20201125|ABCB|1335|0|5939|N
20201125|ABCM|177|0|509|N
20201125|ABEO|43191|0|150758|N
20201125|ABEQ|1|0|101|N
20201125|ABEV|680234|0|1839856|N
20201125|ABG|768|225|4362|N
20201125|ABIO|34533|0|60441|N
20201125|ABM|1402|0|8075|N
20201125|ABMD|1114|0|2216|N
20201125|ABR|27302|0|58168|N
20201125|ABRpA|120|0|770|N
20201125|ABST|17|0|408|N
20201125|ABT|72759|0|200859|N
20201125|ABTX|49|0|720|N
20201125|ABUS|73781|0|219374|N
20201125|AC|229|0|250|N
20201125|ACA|991|0|2238|N
20201125|ACACU|45|0|546|N
20201125|ACAD|30987|0|83475|N
20201125|ACAM|276|0|366|N
20201125|ACAMW|17730|0|17730|N
20201125|ACB|3579422|106577|6646267|N
20201125|ACBI|365|0|945|N
20201125|ACC|31853|0|36469|N
20201125|ACCD|1326|0|3836|N
20201125|ACCO|6618|0|13563|N
20201125|ACEL|3834|0|6270|N
20201125|ACER|7311|0|12697|N
20201125|ACES|3708|0|7531|N
20201125|ACET|245|0|1001|N
20201125|ACEV|641|0|646|N
20201125|ACEVW|20|0|20|N
20201125|ACGL|29888|0|45445|N
20201125|ACGLO|628|0|1760|N
20201125|ACGLP|462|0|533|N
20201125|ACH|5235|0|17821|N
20201125|ACHC|472|0|7770|N
20201125|ACHV|1685|0|3406|N
20201125|ACI|76247|0|137767|N
20201125|ACIA|4509|0|11906|N
20201125|ACIO|413|0|588|N
20201125|ACIU|2431|0|17304|N
20201125|ACIW|358|0|3960|N
20201125|ACLS|3908|0|14744|N
20201125|ACM|3808|0|8539|N
20201125|ACMR|3058|0|8142|N
20201125|ACN|6998|0|31099|N
20201125|ACNB|7|0|7|N
20201125|ACND|75|0|6175|N
20201125|ACND/WS|100|0|100|N
20201125|ACOR|436558|900|708970|N
20201125|ACP|5435|0|21099|N
20201125|ACRE|4068|0|15406|N
20201125|ACRS|6093|0|14903|N
20201125|ACRX|101190|0|234039|N
20201125|ACSG|300|0|300|N
20201125|ACST|3930662|1452|8014981|N
20201125|ACTC|213|0|213|N
20201125|ACTCU|3642|0|4042|N
20201125|ACTCW|5720|0|6120|N
20201125|ACTG|14671|0|31174|N
20201125|ACTV|45|0|291|N
20201125|ACU|110|0|338|N
20201125|ACV|266|0|622|N
20201125|ACVF|74|0|77|N
20201125|ACWF|3|0|159|N
20201125|ACWI|13626|0|17120|N
20201125|ACWV|1347|0|9985|N
20201125|ACWX|5194|0|16846|N
20201125|ACY|44|0|50|N
20201125|ADAP|38124|0|139316|N
20201125|ADBE|58941|23|121793|N
20201125|ADC|5908|7|8555|N
20201125|ADCT|397|0|1834|N
20201125|ADES|19711|0|26609|N
20201125|ADI|26717|0|59608|N
20201125|ADIL|102961|1500|200587|N
20201125|ADILW|1000|0|1000|N
20201125|ADM|25199|0|40678|N
20201125|ADMA|120211|0|284430|N
20201125|ADMP|1268211|5290|2583104|N
20201125|ADMS|779|0|5423|N
20201125|ADNT|7250|0|40257|N
20201125|ADP|5946|0|12718|N
20201125|ADPT|9003|0|12444|N
20201125|ADRE|1543|0|1858|N
20201125|ADS|12907|0|30602|N
20201125|ADSK|74158|0|216715|N
20201125|ADT|167477|0|293831|N
20201125|ADTN|2553|0|5176|N
20201125|ADTX|50866|0|115652|N
20201125|ADUS|417|0|895|N
20201125|ADV|2347|0|3550|N
20201125|ADVM|8922|0|20871|N
20201125|ADX|7902|0|20037|N
20201125|ADXS|1324868|6084|2679910|N
20201125|AE|378|0|419|N
20201125|AEB|11157|0|12776|N
20201125|AEE|8476|0|20519|N
20201125|AEF|19|0|2847|N
20201125|AEFC|20|0|55|N
20201125|AEG|29738|0|168231|N
20201125|AEGN|1258|0|1362|N
20201125|AEHL|114429|70|208686|N
20201125|AEHR|1903|0|6967|N
20201125|AEIS|2843|0|5274|N
20201125|AEL|3423|0|7901|N
20201125|AELpA|500|0|1147|N
20201125|AELpB|1793|0|1853|N
20201125|AEM|28165|0|59585|N
20201125|AEMD|146504|0|204816|N
20201125|AEO|180691|0|434593|N
20201125|AEP|16846|0|32951|N
20201125|AEPPZ|460|0|460|N
20201125|AER|23886|0|48318|N
20201125|AERI|1110|0|18666|N
20201125|AES|26512|0|65430|N
20201125|AESE|63678|0|124936|N
20201125|AEY|14280|0|35787|N
20201125|AEYE|3690|0|7287|N
20201125|AEZS|70500|0|162974|N
20201125|AFB|707|0|5638|N
20201125|AFC|1000|0|1296|N
20201125|AFG|1063|0|2404|N
20201125|AFGB|5|0|21|N
20201125|AFGC|156|0|182|N
20201125|AFGD|300|0|693|N
20201125|AFI|1745|0|10899|N
20201125|AFIB|2174|0|5108|N
20201125|AFIF|883|0|883|N
20201125|AFIN|9488|0|14265|N
20201125|AFINP|1677|0|2396|N
20201125|AFK|80|0|434|N
20201125|AFL|20037|0|59356|N
20201125|AFMD|36822|0|98814|N
20201125|AFT|6|0|28|N
20201125|AFTY|93|0|164|N
20201125|AFYA|325|0|1756|N
20201125|AG|354153|0|582232|N
20201125|AGCO|1044|0|6393|N
20201125|AGCUU|1190|0|1190|N
20201125|AGD|280|0|505|N
20201125|AGE|16884|0|45072|N
20201125|AGEN|224872|0|648209|N
20201125|AGFS|336|0|1935|N
20201125|AGG|69593|0|141458|N
20201125|AGGY|4871|0|9811|N
20201125|AGI|33123|0|148042|N
20201125|AGIO|2702|0|15589|N
20201125|AGLE|2662|0|14355|N
20201125|AGM|122|0|540|N
20201125|AGMH|800|0|802|N
20201125|AGMpE|309|0|509|N
20201125|AGMpF|425|0|425|N
20201125|AGNC|397271|47|581305|N
20201125|AGNCM|2120|0|3164|N
20201125|AGNCN|416|0|718|N
20201125|AGNCO|526|0|1758|N
20201125|AGNCP|2275|0|4053|N
20201125|AGO|1434|0|6981|N
20201125|AGOpE|300|0|598|N
20201125|AGQ|23950|0|73220|N
20201125|AGR|2525|0|6948|N
20201125|AGRO|759|0|3457|N
20201125|AGRX|30056|0|102336|N
20201125|AGS|22621|0|38412|N
20201125|AGTC|2148|0|6848|N
20201125|AGX|3109|0|3816|N
20201125|AGYS|725|0|2178|N
20201125|AGZ|1774|0|2976|N
20201125|AGZD|218|0|1970|N
20201125|AHC|10412|0|11315|N
20201125|AHCO|5418|0|10760|N
20201125|AHH|2175|0|9025|N
20201125|AHHpA|3400|0|3400|N
20201125|AHLpC|1551|0|1910|N
20201125|AHLpE|35|0|359|N
20201125|AHPI|44648|0|101654|N
20201125|AHT|949273|14829|2028361|N
20201125|AHTpD|283|0|308|N
20201125|AHTpF|210|0|265|N
20201125|AHTpG|25|0|25|N
20201125|AHTpH|722|0|1834|N
20201125|AHTpI|653|0|768|N
20201125|AIA|6385|0|7788|N
20201125|AIEQ|943|0|4018|N
20201125|AIF|95|0|1445|N
20201125|AIG|26083|0|74992|N
20201125|AIG/WS|5967|0|92874|N
20201125|AIGpA|335|0|699|N
20201125|AIH|616|0|5456|N
20201125|AIHS|1336349|19972|2460869|N
20201125|AIKI|119293|500|254854|N
20201125|AIM|136609|0|291575|N
20201125|AIMC|4031|0|6414|N
20201125|AIN|2246|400|4968|N
20201125|AINC|892|0|1518|N
20201125|AINV|18900|0|36793|N
20201125|AIO|1743|0|8679|N
20201125|AIQ|53|0|497|N
20201125|AIR|4052|0|14894|N
20201125|AIRG|2|0|15633|N
20201125|AIRI|7037|0|33092|N
20201125|AIRR|2031|0|2231|N
20201125|AIRT|222|0|788|N
20201125|AIRTW|15261|100|16681|N
20201125|AIT|882|0|2152|N
20201125|AIV|19533|0|37976|N
20201125|AIZ|195|0|12471|N
20201125|AJAX/U|2099|0|2499|N
20201125|AJG|7088|0|12085|N
20201125|AJRD|4812|0|10893|N
20201125|AJX|68|0|3060|N
20201125|AJXA|10|0|1510|N
20201125|AKAM|7976|0|19485|N
20201125|AKBA|142517|0|704628|N
20201125|AKER|14737|0|43640|N
20201125|AKO/A|275|0|278|N
20201125|AKR|4159|0|7323|N
20201125|AKRO|2068|0|3800|N
20201125|AKTS|62876|0|136843|N
20201125|AKTX|23506|0|29584|N
20201125|AKU|1|0|1|N
20201125|AKUS|33|0|1113|N
20201125|AL|10082|0|31035|N
20201125|ALAC|501|0|2054|N
20201125|ALACR|5700|0|5700|N
20201125|ALACW|19087|0|44987|N
20201125|ALB|13224|0|21780|N
20201125|ALBO|1592|0|4750|N
20201125|ALC|5299|0|11713|N
20201125|ALCO|194|0|289|N
20201125|ALDX|4572|0|11466|N
20201125|ALE|3037|0|7448|N
20201125|ALEC|5832|0|16422|N
20201125|ALEX|830|0|3018|N
20201125|ALG|456|0|776|N
20201125|ALGM|9890|0|16805|N
20201125|ALGN|2232|0|5248|N
20201125|ALGS|475|0|1943|N
20201125|ALGT|902|0|3025|N
20201125|ALIM|157|0|711|N
20201125|ALINpA|102|0|102|N
20201125|ALINpB|200|0|721|N
20201125|ALINpE|1600|0|3538|N
20201125|ALJJ|536|0|4752|N
20201125|ALK|83500|0|153858|N
20201125|ALKS|1627|0|13205|N
20201125|ALL|43128|0|56810|N
20201125|ALLE|3053|0|5227|N
20201125|ALLK|1740|0|1964|N
20201125|ALLO|4360|0|9991|N
20201125|ALLT|5788|0|15270|N
20201125|ALLY|39618|0|94708|N
20201125|ALLYpA|1060|0|2729|N
20201125|ALLpB|2479|0|5437|N
20201125|ALLpG|1418|0|2132|N
20201125|ALLpH|2121|0|2538|N
20201125|ALLpI|532|0|1622|N
20201125|ALNA|76209|0|129343|N
20201125|ALNY|3517|0|6590|N
20201125|ALOT|53|0|1117|N
20201125|ALPN|8392|0|22744|N
20201125|ALPpQ|499|0|516|N
20201125|ALRM|2590|0|9694|N
20201125|ALRN|70674|0|117141|N
20201125|ALRS|240|0|404|N
20201125|ALSK|26096|0|37022|N
20201125|ALSN|4837|0|6903|N
20201125|ALT|91989|0|235451|N
20201125|ALTA|10|0|68|N
20201125|ALTG|37|0|4736|N
20201125|ALTM|292|0|4366|N
20201125|ALTR|178|0|4773|N
20201125|ALTY|602|0|722|N
20201125|ALV|1359|0|4840|N
20201125|ALVR|4062|0|5440|N
20201125|ALX|104|0|131|N
20201125|ALXN|7081|0|18883|N
20201125|ALXO|3474|83|9857|N
20201125|ALYA|19|0|1471|N
20201125|ALpA|300|0|377|N
20201125|AM|66448|0|257592|N
20201125|AMAL|8|0|88|N
20201125|AMAT|107249|200|334634|N
20201125|AMBA|19489|0|72005|N
20201125|AMBC|5614|0|6429|N
20201125|AMBC/WS|100|0|300|N
20201125|AMBO|144570|0|297732|N
20201125|AMC|2258989|7854|5314110|N
20201125|AMCI|17796|0|20199|N
20201125|AMCIW|62840|1917|132045|N
20201125|AMCR|12064|0|49272|N
20201125|AMCX|11648|0|16405|N
20201125|AMD|3439310|0|6507248|N
20201125|AME|8931|0|15747|N
20201125|AMED|674|0|1902|N
20201125|AMEH|539|0|966|N
20201125|AMG|971|0|3886|N
20201125|AMGN|25650|0|94751|N
20201125|AMH|12232|15|23633|N
20201125|AMHpD|42|0|67|N
20201125|AMHpE|205|0|237|N
20201125|AMJ|93710|0|114436|N
20201125|AMK|106|0|124|N
20201125|AMKR|11744|0|36139|N
20201125|AMLP|42633|3000|74699|N
20201125|AMN|4111|0|7077|N
20201125|AMOT|299|0|824|N
20201125|AMP|7705|0|9332|N
20201125|AMPE|143593|0|254836|N
20201125|AMPH|3310|0|4899|N
20201125|AMPY|89481|3923|184285|N
20201125|AMRC|5550|0|21342|N
20201125|AMRH|41131|0|92419|N
20201125|AMRHW|4110|10|4610|N
20201125|AMRK|22|0|616|N
20201125|AMRN|272954|0|782196|N
20201125|AMRS|284249|0|789058|N
20201125|AMRX|132362|0|189789|N
20201125|AMS|3649|0|13575|N
20201125|AMSC|10320|0|25026|N
20201125|AMSF|137|0|222|N
20201125|AMST|4788|0|12358|N
20201125|AMSWA|80|0|7791|N
20201125|AMT|19316|1|50398|N
20201125|AMTB|100|0|200|N
20201125|AMTBB|2|0|25|N
20201125|AMTI|675|0|1321|N
20201125|AMTX|54020|0|86640|N
20201125|AMUB|2362|0|2675|N
20201125|AMWD|6663|92|10380|N
20201125|AMWL|93635|0|346042|N
20201125|AMX|14080|0|44736|N
20201125|AMZA|10394|0|16753|N
20201125|AMZN|190747|0|468335|N
20201125|AN|3182|0|8668|N
20201125|ANAB|354|0|2201|N
20201125|ANAT|393|0|972|N
20201125|ANCN|3326|0|8350|N
20201125|ANDA|107|0|173|N
20201125|ANDAW|4121|0|5246|N
20201125|ANDE|2448|0|3374|N
20201125|ANET|13506|0|19937|N
20201125|ANEW|136|0|895|N
20201125|ANF|29202|0|110372|N
20201125|ANGI|41476|0|79079|N
20201125|ANGL|13355|0|25662|N
20201125|ANGO|7715|0|31617|N
20201125|ANH|19672|0|33550|N
20201125|ANHpA|2|0|52|N
20201125|ANHpB|200|0|432|N
20201125|ANHpC|240|0|240|N
20201125|ANIK|238|0|686|N
20201125|ANIP|213|0|360|N
20201125|ANIX|20039|0|60288|N
20201125|ANNX|368|0|1181|N
20201125|ANPC|2469838|748|4719556|N
20201125|ANSS|2153|0|4656|N
20201125|ANTE|156035|0|312196|N
20201125|ANTM|10853|0|16046|N
20201125|ANVS|7263|0|19546|N
20201125|ANY|118590|0|293879|N
