HTTP/1.1 200 OK
Date: Thu, 03 Dec 2020 08:02:17 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 02 Dec 2020 22:23:59 GMT
ETag: "467c54-3779a-5b582b326f908"
Accept-Ranges: bytes
Content-Length: 227226
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201202|A|6477|0|25213|N
20201202|AA|131402|100|329954|N
20201202|AAAU|3370|0|9075|N
20201202|AACQ|1212|0|12176|N
20201202|AACQU|2047|0|2057|N
20201202|AACQW|1210|0|2515|N
20201202|AAIC|59646|0|69515|N
20201202|AAL|6002817|0|13936470|N
20201202|AAME|431|0|3505|N
20201202|AAN|8501|1014|37087|N
20201202|AAOI|11525|0|25875|N
20201202|AAON|679|0|2374|N
20201202|AAP|53574|0|193577|N
20201202|AAPL|5984456|5|11432831|N
20201202|AAT|497|0|913|N
20201202|AAU|335489|1037|830934|N
20201202|AAWW|1904|0|6706|N
20201202|AAXJ|7090|0|13319|N
20201202|AAXN|4617|0|9387|N
20201202|AB|6230|0|12564|N
20201202|ABB|17160|0|51085|N
20201202|ABBV|93848|0|180294|N
20201202|ABC|4747|460|13423|N
20201202|ABCB|770|100|1607|N
20201202|ABCM|234|0|666|N
20201202|ABEO|93706|0|243548|N
20201202|ABEQ|1289|0|1378|N
20201202|ABEV|951880|0|2318891|N
20201202|ABG|2684|0|10875|N
20201202|ABIO|20769|0|39342|N
20201202|ABM|5551|0|7836|N
20201202|ABMD|1187|0|2447|N
20201202|ABR|34030|0|73994|N
20201202|ABRpA|300|0|1679|N
20201202|ABST|103|0|834|N
20201202|ABT|18774|1|64938|N
20201202|ABTX|158|0|433|N
20201202|ABUS|160076|1340|337032|N
20201202|ACA|960|0|2130|N
20201202|ACAD|7172|0|31690|N
20201202|ACAM|2114|0|3749|N
20201202|ACAMW|150|0|150|N
20201202|ACB|7447630|203867|14723684|N
20201202|ACBI|585|0|1602|N
20201202|ACC|17604|0|23505|N
20201202|ACCD|7407|0|15935|N
20201202|ACCO|6868|0|27765|N
20201202|ACEL|4634|0|6552|N
20201202|ACER|10884|0|16272|N
20201202|ACES|4455|0|13437|N
20201202|ACET|180|0|1665|N
20201202|ACEVU|600|0|600|N
20201202|ACEVW|500|0|502|N
20201202|ACGL|21119|0|34599|N
20201202|ACGLO|110|0|540|N
20201202|ACGLP|305|0|305|N
20201202|ACH|2398|0|20155|N
20201202|ACHC|4429|100|12496|N
20201202|ACHV|32043|746|50991|N
20201202|ACI|97248|0|147208|N
20201202|ACIA|4181|0|17755|N
20201202|ACIC/U|200|0|500|N
20201202|ACIO|1173|0|1237|N
20201202|ACIU|734|0|3236|N
20201202|ACIW|51196|400|164544|N
20201202|ACLS|3469|0|9856|N
20201202|ACM|5028|0|11493|N
20201202|ACMR|2149|0|3527|N
20201202|ACN|8655|0|22281|N
20201202|ACND|400|0|400|N
20201202|ACOR|2199586|8692|4645923|N
20201202|ACP|7188|0|17452|N
