HTTP/1.1 200 OK
Date: Wed, 09 Dec 2020 21:37:40 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 08 Dec 2020 22:24:14 GMT
ETag: "46b04c-37d85-5b5fb671bdfa0"
Accept-Ranges: bytes
Content-Length: 228741
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201208|A|7671|1231|17714|N
20201208|AA|90462|0|209380|N
20201208|AAAU|16196|0|26489|N
20201208|AACG|5159|0|18798|N
20201208|AACQ|49669|4088|115159|N
20201208|AACQU|2913|0|3013|N
20201208|AACQW|13917|0|19336|N
20201208|AAIC|17161|0|40030|N
20201208|AAICpB|96|0|96|N
20201208|AAICpC|419|0|625|N
20201208|AAL|8676521|0|18307087|N
20201208|AAME|650|0|705|N
20201208|AAN|23712|0|64021|N
20201208|AAOI|15443|0|28039|N
20201208|AAON|852|0|10620|N
20201208|AAP|14313|0|25163|N
20201208|AAPL|5144989|2845|9510045|N
20201208|AAT|7112|0|10583|N
20201208|AAU|110198|0|289543|N
20201208|AAWW|8155|0|14382|N
20201208|AAXJ|7180|0|8973|N
20201208|AAXN|3428|0|9632|N
20201208|AB|6496|0|16956|N
20201208|ABB|11169|0|20847|N
20201208|ABBV|106565|0|309114|N
20201208|ABC|3878|0|8293|N
20201208|ABCB|2115|100|4146|N
20201208|ABCM|7|0|269|N
20201208|ABEO|114199|0|196040|N
20201208|ABEQ|2110|0|2506|N
20201208|ABEV|450769|0|1043906|N
20201208|ABG|903|0|3679|N
20201208|ABIO|21850|0|46721|N
20201208|ABM|1086|200|6512|N
20201208|ABMD|551|0|1135|N
20201208|ABR|61929|0|200138|N
20201208|ABRpA|1256|0|2058|N
20201208|ABRpC|700|0|812|N
20201208|ABST|6690|0|13247|N
20201208|ABT|38746|0|147046|N
20201208|ABTX|12|0|1100|N
20201208|ABUS|96797|0|193493|N
20201208|ACA|119|0|3826|N
20201208|ACACU|55|0|1760|N
20201208|ACAD|3164|0|30998|N
20201208|ACAM|5752|0|19174|N
20201208|ACAMW|200|0|200|N
20201208|ACB|1470555|0|4710405|N
20201208|ACBI|122|0|524|N
20201208|ACC|5210|0|10161|N
20201208|ACCD|7953|0|11940|N
20201208|ACCO|8210|0|12826|N
20201208|ACEL|5648|0|6320|N
20201208|ACER|4068|0|12134|N
20201208|ACES|3292|0|10887|N
20201208|ACET|2689|7|4045|N
20201208|ACEV|9061|0|11845|N
20201208|ACEVW|5929|0|6129|N
20201208|ACGL|6793|0|25630|N
20201208|ACGLO|209|0|231|N
20201208|ACGLP|50|0|529|N
20201208|ACH|266|0|3332|N
20201208|ACHC|5186|0|18234|N
20201208|ACHV|14694|100|22251|N
20201208|ACI|50851|0|134285|N
20201208|ACIA|2403|0|7416|N
20201208|ACIC/U|50|0|50|N
20201208|ACIO|1248|0|1286|N
20201208|ACIU|8144|0|12668|N
20201208|ACIW|2442|0|25645|N
20201208|ACLS|3186|0|6705|N
20201208|ACM|6184|0|23717|N
20201208|ACMR|2638|0|13619|N
20201208|ACN|5861|0|15287|N
20201208|ACNB|5|0|11|N
20201208|ACND|1|0|86|N
20201208|ACND/WS|1000|0|1000|N
20201208|ACOR|367328|0|583847|N
20201208|ACP|216|0|6062|N
20201208|ACRE|2605|0|7923|N
20201208|ACRS|8616|0|36240|N
20201208|ACRX|182221|301|235414|N
20201208|ACSI|2|0|2|N
20201208|ACST|337477|2000|848671|N
20201208|ACTC|1650|0|4008|N
20201208|ACTCU|700|0|1233|N
20201208|ACTCW|6557|0|9627|N
20201208|ACTG|1274|0|3749|N
20201208|ACTV|48|0|122|N
20201208|ACU|124|0|5352|N
20201208|ACV|490|0|793|N
20201208|ACVF|10|0|211|N
20201208|ACWF|487|0|487|N
20201208|ACWI|5384|0|8656|N
20201208|ACWV|1677|0|5065|N
20201208|ACWX|8725|0|16311|N
20201208|ACY|20|0|2020|N
20201208|ADAP|99246|0|161665|N
20201208|ADBE|43324|0|95862|N
20201208|ADC|1849|0|3534|N
20201208|ADCT|206|0|11189|N
20201208|ADES|4427|0|8099|N
20201208|ADI|18561|0|42355|N
20201208|ADIL|5367|0|51908|N
20201208|ADM|9056|0|22950|N
20201208|ADMA|831377|0|1989180|N
20201208|ADME|543|0|1020|N
20201208|ADMP|373662|200|983532|N
20201208|ADMS|21353|0|28978|N
20201208|ADNT|4096|500|17082|N
20201208|ADP|10677|0|18301|N
20201208|ADPT|5184|0|11742|N
20201208|ADRE|3010|0|3711|N
20201208|ADS|41588|0|88988|N
20201208|ADSK|10291|0|31850|N
20201208|ADT|133114|0|436850|N
20201208|ADTN|11020|0|19421|N
20201208|ADTX|39382|0|116353|N
20201208|ADUS|4114|0|6175|N
20201208|ADV|6269|0|13249|N
20201208|ADVM|3171|0|12814|N
20201208|ADVWW|217|0|1217|N
20201208|ADX|3144|0|12039|N
20201208|ADXS|490456|2513|986824|N
20201208|AE|2|0|2|N
20201208|AEE|25670|0|44294|N
20201208|AEF|40|0|94|N
20201208|AEFC|68|0|1526|N
20201208|AEG|22892|0|85451|N
20201208|AEGN|570|0|771|N
20201208|AEHL|52540|0|118761|N
20201208|AEHR|41841|0|83040|N
20201208|AEIS|1304|0|11241|N
20201208|AEL|4449|0|6227|N
20201208|AELpA|399|0|523|N
20201208|AELpB|499|0|1135|N
20201208|AEM|30260|0|40210|N
20201208|AEMD|3981|0|10792|N
20201208|AENZ|37|0|8561|N
20201208|AEO|61123|100|129569|N
20201208|AEP|10775|0|32635|N
20201208|AEPPL|122|0|282|N
20201208|AER|8298|0|32458|N
20201208|AERI|2076|0|8786|N
20201208|AES|67902|0|113546|N
20201208|AESE|288858|0|727888|N
20201208|AEY|41659|255|146845|N
20201208|AEYE|705|0|4680|N
20201208|AEZS|177270|235|300334|N
20201208|AFB|48|0|53|N
20201208|AFC|3195|0|3195|N
20201208|AFG|1156|0|2219|N
20201208|AFGB|43|0|231|N
