HTTP/1.1 200 OK
Date: Thu, 10 Dec 2020 22:52:22 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 09 Dec 2020 22:24:39 GMT
ETag: "46b5a2-38587-5b60f866e5e50"
Accept-Ranges: bytes
Content-Length: 230791
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201209|A|6768|0|16882|N
20201209|AA|107758|4|385249|N
20201209|AAAU|3741|0|22282|N
20201209|AACG|2764|0|13705|N
20201209|AACQ|29615|0|124168|N
20201209|AACQW|7693|0|35119|N
20201209|AAIC|30344|0|97333|N
20201209|AAICpB|70|0|70|N
20201209|AAICpC|200|0|200|N
20201209|AAL|13444266|0|27892566|N
20201209|AAMC|39|0|54|N
20201209|AAN|15048|0|37333|N
20201209|AAOI|34180|0|47269|N
20201209|AAON|1035|0|1729|N
20201209|AAP|22540|0|39457|N
20201209|AAPL|7740533|2094|13834334|N
20201209|AAT|485|0|17047|N
20201209|AAU|121305|0|271236|N
20201209|AAWW|6593|0|19664|N
20201209|AAXJ|4793|0|4883|N
20201209|AAXN|5884|0|18432|N
20201209|AB|27775|0|137040|N
20201209|ABB|14891|0|31969|N
20201209|ABBV|131748|28|260031|N
20201209|ABC|7086|0|12503|N
20201209|ABCB|4025|0|15254|N
20201209|ABCM|597|0|1614|N
20201209|ABEO|113301|0|245423|N
20201209|ABEV|1332004|0|2981992|N
20201209|ABG|2993|0|6643|N
20201209|ABIO|20145|0|31527|N
20201209|ABM|1839|0|6627|N
20201209|ABMD|1302|1|4381|N
20201209|ABR|93107|0|168025|N
20201209|ABST|277|0|4396|N
20201209|ABT|41982|4|118863|N
20201209|ABTX|1044|0|5167|N
20201209|ABUS|176989|0|359143|N
20201209|AC|21|0|21|N
20201209|ACA|1371|0|3882|N
20201209|ACACU|101|0|3251|N
20201209|ACAD|4686|58|31426|N
20201209|ACAM|493|0|5792|N
20201209|ACAMU|270|0|270|N
20201209|ACAMW|501|0|2704|N
20201209|ACB|2195451|0|5379484|N
20201209|ACBI|272|0|744|N
20201209|ACC|8785|0|16220|N
20201209|ACCD|2731|0|8865|N
20201209|ACCO|3042|0|11155|N
20201209|ACEL|3142|0|6076|N
20201209|ACER|1328|0|14797|N
20201209|ACES|8516|0|16709|N
20201209|ACET|715|3|3519|N
20201209|ACEV|100|0|1713|N
20201209|ACEVW|50|0|98|N
20201209|ACGL|24314|0|86290|N
20201209|ACGLO|136|0|384|N
20201209|ACGLP|344|0|1324|N
20201209|ACH|652|0|10190|N
20201209|ACHC|9995|0|30008|N
20201209|ACHV|10592|0|24366|N
20201209|ACI|168794|0|272315|N
20201209|ACIA|1146|0|5796|N
20201209|ACIO|303|0|303|N
20201209|ACIU|8878|0|11176|N
20201209|ACIW|2598|0|10623|N
20201209|ACLS|2240|0|8860|N
20201209|ACM|16114|0|35781|N
20201209|ACMR|7958|0|13521|N
20201209|ACN|6529|0|28220|N
20201209|ACNB|8|0|12|N
20201209|ACND|206|0|713|N
20201209|ACND/WS|300|0|600|N
20201209|ACOR|126349|50|554230|N
20201209|ACP|164|0|11382|N
20201209|ACRE|18850|0|22636|N
20201209|ACRS|7580|70|26607|N
20201209|ACRX|118187|0|246047|N
20201209|ACST|900251|1448|2201644|N
20201209|ACTC|3480|0|8647|N
20201209|ACTCW|3210|0|10860|N
20201209|ACTG|3551|0|4548|N
20201209|ACU|12|0|1974|N
20201209|ACV|1532|0|1683|N
20201209|ACWF|1126|0|1212|N
20201209|ACWI|6066|0|21471|N
20201209|ACWV|133|0|16788|N
20201209|ACWX|6179|0|10749|N
20201209|ADAP|122089|0|201344|N
20201209|ADBE|82378|0|168419|N
20201209|ADC|534|0|2995|N
20201209|ADCT|6471|0|15634|N
20201209|ADES|1076|0|6524|N
20201209|ADI|11293|0|38078|N
20201209|ADIL|19213|0|75643|N
20201209|ADM|12455|24|52047|N
20201209|ADMA|1132304|2471|2422723|N
20201209|ADME|2825|0|2938|N
20201209|ADMP|203996|0|467135|N
20201209|ADMS|653|0|10860|N
20201209|ADNT|5353|0|13513|N
20201209|ADOCU|400|0|461|N
20201209|ADP|9800|33|19263|N
20201209|ADPT|4446|0|11836|N
20201209|ADRE|893|0|1195|N
20201209|ADS|14805|0|56560|N
20201209|ADSK|14386|0|62966|N
20201209|ADT|204717|0|417727|N
20201209|ADTN|8819|0|20991|N
20201209|ADTX|85043|0|262440|N
