HTTP/1.1 200 OK
Date: Sat, 12 Dec 2020 01:15:42 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 11 Dec 2020 22:27:18 GMT
ETag: "46c059-3849f-5b637cb8f9b20"
Accept-Ranges: bytes
Content-Length: 230559
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201211|A|9410|0|21742|N
20201211|AA|242884|0|443409|N
20201211|AAAU|9547|0|17906|N
20201211|AACG|250|0|1107|N
20201211|AACQ|21950|2|86909|N
20201211|AACQU|4060|0|4270|N
20201211|AACQW|7346|0|21980|N
20201211|AAIC|6339|0|24405|N
20201211|AAL|9825860|0|18744899|N
20201211|AAME|21|0|21|N
20201211|AAN|7556|0|15831|N
20201211|AAOI|39693|0|63725|N
20201211|AAON|456|0|1421|N
20201211|AAP|3512|0|10523|N
20201211|AAPL|5922295|156|10112540|N
20201211|AAT|665|0|3388|N
20201211|AAU|42967|0|77681|N
20201211|AAWW|1462|0|3638|N
20201211|AAXJ|6026|0|21663|N
20201211|AAXN|8399|0|20121|N
20201211|AB|10097|50|38021|N
20201211|ABB|15063|0|29620|N
20201211|ABBV|83983|0|176942|N
20201211|ABC|5328|0|9517|N
20201211|ABCB|1268|0|1638|N
20201211|ABCL|263175|400|519843|N
20201211|ABCM|426|0|1446|N
20201211|ABEO|104364|0|194131|N
20201211|ABEV|476809|0|1979244|N
20201211|ABG|497|0|2298|N
20201211|ABIO|53039|1000|122424|N
20201211|ABM|637|0|3703|N
20201211|ABMD|2197|0|4082|N
20201211|ABNB|1483449|1397|2801162|N
20201211|ABR|30233|0|62483|N
20201211|ABRpC|1400|0|1900|N
20201211|ABST|239|0|406|N
20201211|ABT|29198|0|103912|N
20201211|ABTX|43|0|194|N
20201211|ABUS|231104|600|507795|N
20201211|AC|20|0|30|N
20201211|ACA|106|0|670|N
20201211|ACACU|2350|0|5176|N
20201211|ACAD|10732|0|31869|N
20201211|ACAM|7848|0|11347|N
20201211|ACAMW|11867|0|17050|N
20201211|ACB|696554|0|1529189|N
