HTTP/1.1 200 OK
Date: Wed, 16 Dec 2020 08:51:07 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 15 Dec 2020 22:23:23 GMT
ETag: "46cc5b-38bc2-5b68834eb7170"
Accept-Ranges: bytes
Content-Length: 232386
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201215|A|9355|0|20487|N
20201215|AA|155639|0|333795|N
20201215|AAA|100|0|280|N
20201215|AAAU|4613|0|19738|N
20201215|AACG|12|0|1980|N
20201215|AACQ|22751|0|97907|N
20201215|AACQU|30|0|130|N
20201215|AACQW|5878|71|33558|N
20201215|AAIC|7120|0|26607|N
20201215|AAICpC|125|0|125|N
20201215|AAL|8153992|0|17984489|N
20201215|AAME|7|0|7|N
20201215|AAN|11729|0|28470|N
20201215|AAOI|37246|0|94066|N
20201215|AAON|594|0|1707|N
20201215|AAP|4513|0|10057|N
20201215|AAPL|10260581|2842|20094027|N
20201215|AAT|3036|0|6776|N
20201215|AAU|51494|0|69502|N
20201215|AAWW|17953|0|39942|N
20201215|AAXJ|12680|0|14079|N
20201215|AAXN|14862|0|32754|N
20201215|AB|10619|0|45711|N
20201215|ABB|15469|0|27311|N
20201215|ABBV|292840|0|551206|N
20201215|ABC|6142|0|13262|N
20201215|ABCB|2658|0|11169|N
20201215|ABCL|56902|3498|162592|N
20201215|ABCM|50|0|600|N
20201215|ABEO|217039|9309|487944|N
20201215|ABEQ|160|0|160|N
20201215|ABEV|603076|100|1368251|N
20201215|ABG|225|0|951|N
20201215|ABIO|30706|0|75426|N
20201215|ABM|13354|0|15409|N
20201215|ABMD|1303|0|2351|N
20201215|ABNB|637044|29315|1200415|N
20201215|ABR|57213|0|128921|N
20201215|ABRpA|415|0|1567|N
20201215|ABRpC|700|0|800|N
20201215|ABST|1066|0|1977|N
20201215|ABT|56069|0|112957|N
20201215|ABTX|220|0|2507|N
20201215|ABUS|2570228|210|4903886|N
20201215|AC|3|0|172|N
20201215|ACA|680|0|6204|N
20201215|ACAD|7027|0|29104|N
20201215|ACAM|1994|0|3085|N
20201215|ACAMW|4500|0|7700|N
20201215|ACB|1261978|1|3353129|N
20201215|ACBI|334|0|354|N
20201215|ACC|3404|0|6188|N
20201215|ACCD|8149|133|31020|N
20201215|ACCO|5714|0|19717|N
20201215|ACEL|7085|0|14022|N
20201215|ACER|2667|0|14808|N
20201215|ACES|5648|0|8261|N
20201215|ACET|369|0|1206|N
20201215|ACEV|5575|0|6038|N
20201215|ACEVW|145|0|1120|N
20201215|ACGL|50559|0|75486|N
20201215|ACGLO|397|0|717|N
20201215|ACGLP|110|0|6938|N
20201215|ACH|42|0|1616|N
20201215|ACHC|1983|0|8013|N
20201215|ACHV|3791|0|7246|N
20201215|ACI|18544|0|74035|N
20201215|ACIA|7540|0|12822|N
20201215|ACIC/U|30|0|156|N
20201215|ACIO|3226|0|3465|N
20201215|ACIU|3224|0|18657|N
20201215|ACIW|1753|0|9610|N
20201215|ACLS|6553|0|9156|N
20201215|ACM|6288|0|37375|N
20201215|ACMR|1589|0|7568|N
20201215|ACN|8081|0|15295|N
20201215|ACNB|222|0|226|N
20201215|ACND|1247|0|2297|N
20201215|ACND/WS|800|0|800|N
20201215|ACOR|23198|0|119968|N
20201215|ACP|8863|0|12665|N
20201215|ACRE|12047|0|25071|N
20201215|ACRS|22610|0|78662|N
20201215|ACRX|131279|0|237444|N
20201215|ACST|373885|1340|1034714|N
20201215|ACTC|3756|0|10540|N
20201215|ACTCU|1220|0|3120|N
20201215|ACTCW|3283|0|13477|N
20201215|ACTG|12087|0|24186|N
20201215|ACU|250|0|1338|N
20201215|ACV|447|0|6790|N
20201215|ACVF|5|0|18|N
20201215|ACWI|11612|0|19863|N
20201215|ACWV|5938|0|19284|N
20201215|ACWX|6325|0|11198|N
20201215|ACY|22181|0|32701|N
20201215|ADAP|42822|0|129547|N
20201215|ADBE|20252|300|64908|N
20201215|ADC|4222|0|12312|N
20201215|ADCT|11531|0|15070|N
20201215|ADES|245|0|698|N
20201215|ADI|6894|0|21940|N
20201215|ADIL|14500|0|39788|N
20201215|ADM|13488|0|34085|N
20201215|ADMA|192917|0|444398|N
20201215|ADME|447|0|501|N
20201215|ADMP|196132|2719|391454|N
20201215|ADMS|3860|0|15736|N
20201215|ADNT|4040|0|14531|N
20201215|ADOC|2|0|1343|N
20201215|ADOCR|2|0|6636|N
20201215|ADOCW|17308|0|20558|N
20201215|ADP|6012|0|12070|N
20201215|ADPT|14758|0|35422|N
20201215|ADRE|299|0|653|N
20201215|ADS|7931|0|30949|N
20201215|ADSK|13850|0|33658|N
20201215|ADT|56716|0|221583|N
20201215|ADTN|1333|0|8224|N
20201215|ADTX|65394|2186|245089|N
20201215|ADUS|649|0|1579|N
20201215|ADV|12443|0|40097|N
20201215|ADVM|9732|200|54342|N
20201215|ADX|6666|90|10725|N
20201215|ADXN|2329|0|3529|N
20201215|ADXS|214976|655|616864|N
20201215|AEB|219|0|432|N
20201215|AEE|5406|0|11821|N
20201215|AEF|50|0|583|N
20201215|AEFC|2016|5|2257|N
20201215|AEG|28217|0|84402|N
20201215|AEGN|3043|0|3973|N
20201215|AEHL|21934|0|63754|N
20201215|AEHR|951|0|6256|N
20201215|AEIS|1540|0|4258|N
20201215|AEL|3832|0|12696|N
20201215|AELpA|513|0|1265|N
20201215|AELpB|372|0|378|N
20201215|AEM|18521|0|48030|N
20201215|AEMD|4022|0|20928|N
20201215|AEO|19403|0|52759|N
20201215|AEP|14000|0|47333|N
20201215|AER|3935|40|35913|N
20201215|AERI|767|0|11378|N
20201215|AES|129508|0|164148|N
20201215|AESE|289893|0|709794|N
20201215|AEY|25893|0|63143|N
20201215|AEYE|9092|0|17853|N
20201215|AEZS|130550|0|258656|N
20201215|AFB|100|0|3249|N
20201215|AFG|2563|0|4421|N
20201215|AFGB|65|0|141|N
20201215|AFGC|103|0|151|N
20201215|AFGD|15|0|118|N
20201215|AFGE|100|0|100|N
20201215|AFI|17904|0|24589|N
20201215|AFIB|898|0|2478|N
20201215|AFIN|28896|0|64895|N
20201215|AFINP|2005|0|6845|N
20201215|AFK|150|0|567|N
20201215|AFL|14801|0|35545|N
20201215|AFMD|38635|0|104912|N
20201215|AFT|342|0|932|N
20201215|AFYA|9027|0|16211|N
20201215|AG|275041|0|588997|N
20201215|AGBAR|100|0|100|N
20201215|AGBAW|5075|0|16696|N
20201215|AGC|203|0|333|N
20201215|AGCO|12312|0|53468|N
20201215|AGCUU|7277|0|8277|N
20201215|AGD|2164|0|2587|N
20201215|AGE|8187|0|29451|N
20201215|AGEN|79857|0|177596|N
20201215|AGFS|751|0|3041|N
20201215|AGG|63169|0|188651|N
20201215|AGGY|3947|0|11727|N
20201215|AGI|51380|0|101342|N
20201215|AGIO|6918|0|21091|N
20201215|AGLE|2610|0|3012|N
20201215|AGM|933|0|3449|N
20201215|AGMpD|2157|0|2157|N
20201215|AGMpE|100|0|100|N
20201215|AGNC|152109|0|294962|N
20201215|AGNCM|2095|0|3127|N
20201215|AGNCN|1875|0|3501|N
20201215|AGNCO|381|0|1387|N
20201215|AGNCP|1599|0|2853|N
20201215|AGO|2418|0|22029|N
20201215|AGOpB|22|0|902|N
20201215|AGOpE|241|0|944|N
20201215|AGQ|33111|0|122969|N
20201215|AGR|5005|0|8301|N
20201215|AGRO|3582|0|7991|N
20201215|AGRX|62386|0|146076|N
20201215|AGS|11323|0|51079|N
20201215|AGTC|5476|0|31277|N
20201215|AGX|780|0|781|N
20201215|AGYS|123|0|2306|N
20201215|AGZ|2469|0|4711|N
20201215|AHACU|800|0|2030|N
20201215|AHC|701|0|2155|N
20201215|AHCO|11934|0|22925|N
20201215|AHH|412|0|3351|N
20201215|AHHpA|25|0|35|N
20201215|AHLpC|846|0|1252|N
20201215|AHLpE|200|0|2123|N
20201215|AHPI|18565|0|39485|N
20201215|AHT|473039|5890|1476475|N
20201215|AHTpD|178|0|790|N
20201215|AHTpG|608|100|1223|N
20201215|AI|324626|24751|611220|N
20201215|AIA|2636|0|6422|N
20201215|AIC|1791|0|1791|N
20201215|AIEQ|1125|0|2298|N
20201215|AIF|958|0|2781|N
20201215|AIG|36120|0|100917|N
20201215|AIG/WS|89090|359|112293|N
20201215|AIGpA|356|0|812|N
20201215|AIH|5|0|16487|N
20201215|AIHS|8708|0|81652|N
20201215|AIIQ|2|0|3|N
20201215|AIKI|84337|0|204455|N
20201215|AIM|75769|0|175694|N
20201215|AIMC|682|0|2829|N
20201215|AIN|91|0|579|N
20201215|AINC|2176|0|5771|N
20201215|AINV|20997|0|37996|N
20201215|AIO|2604|0|6530|N
20201215|AIQ|626|0|972|N
20201215|AIR|1682|0|12783|N
20201215|AIRC|18642|0|31803|N
20201215|AIRG|161|0|1502|N
20201215|AIRI|6486|0|12915|N
20201215|AIRT|1102|0|1367|N
20201215|AIRTW|200|0|2310|N
20201215|AIT|567|0|1674|N
20201215|AIV|9484112|235843|15906531|N
20201215|AIZ|1387|0|3494|N
20201215|AIZN|30|0|183|N
20201215|AJAX/U|10058|0|18592|N
20201215|AJG|2641|80|9579|N
20201215|AJRD|8671|0|15201|N
20201215|AJX|171|0|1216|N
20201215|AKAM|10512|0|25667|N
20201215|AKBA|310500|1131|601963|N
20201215|AKER|6951|0|22445|N
20201215|AKO/A|24|0|25|N
20201215|AKO/B|144|0|3126|N
20201215|AKR|1368|0|11984|N
20201215|AKRO|352|0|1090|N
20201215|AKTS|54990|0|115516|N
20201215|AKTX|36435|0|62347|N
20201215|AKU|14249|0|17249|N
20201215|AKUS|888|0|2414|N
20201215|AL|2624|0|5969|N
20201215|ALAC|781|0|5272|N
20201215|ALACR|930|0|11020|N
20201215|ALACW|9846|289|54944|N
20201215|ALB|6515|0|23432|N
20201215|ALBO|1147|0|3564|N
20201215|ALC|2659|0|7466|N
20201215|ALCO|25|0|55|N
20201215|ALDX|7445|0|15052|N
20201215|ALE|176|0|2883|N
20201215|ALEC|3683|0|18136|N
20201215|ALEX|152|0|1478|N
20201215|ALFA|212|0|230|N
20201215|ALG|7|0|330|N
20201215|ALGM|4720|0|13898|N
20201215|ALGN|6299|0|12047|N
20201215|ALGS|4159|0|8076|N
20201215|ALGT|244|0|1036|N
20201215|ALIM|6877|0|18769|N
20201215|ALJJ|9640|0|12574|N
20201215|ALK|57895|0|135838|N
20201215|ALKS|5620|0|20402|N
20201215|ALL|15895|0|28862|N
20201215|ALLE|1303|0|3258|N
20201215|ALLK|816|0|2796|N
20201215|ALLO|9383|0|13973|N
20201215|ALLT|5398|0|16650|N
20201215|ALLY|60228|0|101380|N
20201215|ALLYpA|229|0|3321|N
20201215|ALLpB|366|0|2030|N
20201215|ALLpG|1000|0|3745|N
20201215|ALLpH|2319|0|4248|N
20201215|ALLpI|152|0|339|N
20201215|ALNA|80351|15950|190691|N
20201215|ALNY|4867|0|13844|N
20201215|ALOT|90|0|184|N
20201215|ALPN|2950|0|14150|N
20201215|ALPpQ|190|0|265|N
20201215|ALRM|1896|0|9735|N
20201215|ALRN|70367|1333|119491|N
20201215|ALRS|389|0|1956|N
20201215|ALSK|91|0|2313|N
20201215|ALSN|5918|0|14089|N
20201215|ALT|68256|0|119733|N
20201215|ALTA|905|0|1054|N
20201215|ALTG|101|0|175|N
20201215|ALTM|129|0|482|N
20201215|ALTR|319|0|1088|N
20201215|ALTUU|100|0|501|N
20201215|ALTY|477|0|771|N
20201215|ALUS/WS|100|0|1500|N
20201215|ALV|228|0|607|N
20201215|ALVR|2807|0|5741|N
20201215|ALX|34|0|41|N
20201215|ALXN|26936|0|97766|N
20201215|ALXO|1847|0|7232|N
20201215|ALpA|7|0|625|N
20201215|AM|72050|0|226891|N
20201215|AMAL|205|0|2732|N
