HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:40 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 17 Dec 2020 22:23:37 GMT
ETag: "46d6ec-381cd-5b6b0716ebb98"
Accept-Ranges: bytes
Content-Length: 229837
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201217|A|5128|0|19339|N
20201217|AA|258030|0|564863|N
20201217|AAA|431|0|472|N
20201217|AAAU|49239|0|85285|N
20201217|AACQ|17105|0|41088|N
20201217|AACQW|15316|0|45058|N
20201217|AAIC|6572|0|13241|N
20201217|AAICpC|140|0|341|N
20201217|AAL|4928363|0|10144491|N
20201217|AAME|1|0|31|N
20201217|AAN|4583|0|14903|N
20201217|AAOI|12310|0|34711|N
20201217|AAON|446|0|1595|N
20201217|AAP|14406|0|21311|N
20201217|AAPL|6775415|2807|11713703|N
20201217|AAT|1042|0|5563|N
20201217|AAU|102369|54|193526|N
20201217|AAWW|3256|0|13754|N
20201217|AAXJ|9450|0|10911|N
20201217|AAXN|31417|0|49450|N
20201217|AB|14040|0|32787|N
20201217|ABB|14680|0|20212|N
20201217|ABBV|65433|0|186384|N
20201217|ABC|4619|0|19579|N
20201217|ABCB|548|0|2109|N
20201217|ABCL|42967|2434|81785|N
20201217|ABCM|137|0|334|N
20201217|ABEO|198227|3254|361977|N
20201217|ABEV|366005|0|1028971|N
20201217|ABG|1511|0|1749|N
20201217|ABIO|3935|0|35918|N
20201217|ABM|4939|0|24835|N
20201217|ABMD|3368|100|5300|N
20201217|ABNB|1214883|0|2181675|N
20201217|ABR|32919|0|71632|N
20201217|ABRpC|200|0|395|N
20201217|ABST|3138|0|3369|N
20201217|ABT|46594|0|114101|N
20201217|ABTX|334|0|1027|N
20201217|ABUS|497482|14556|1257378|N
20201217|AC|1747|0|2356|N
20201217|ACA|759|0|1770|N
20201217|ACAC|2|0|2|N
20201217|ACACU|2826|0|3851|N
20201217|ACACW|111|0|1431|N
20201217|ACAD|17840|0|42379|N
20201217|ACAM|320|0|15930|N
20201217|ACB|1336836|1|2543072|N
20201217|ACBI|117|0|489|N
20201217|ACC|1977|0|22027|N
20201217|ACCD|1435|0|3685|N
20201217|ACCO|5325|0|40334|N
20201217|ACEL|7310|0|16881|N
20201217|ACER|50145|0|58563|N
20201217|ACES|12458|0|15036|N
20201217|ACET|2255|0|6131|N
20201217|ACEVW|105|0|105|N
20201217|ACGL|30580|0|91481|N
20201217|ACGLP|21|0|429|N
20201217|ACH|1853|0|7367|N
20201217|ACHC|4009|100|11748|N
20201217|ACHV|6197|0|12828|N
20201217|ACI|23332|0|78612|N
20201217|ACIA|9887|0|19604|N
20201217|ACIO|4096|0|6008|N
20201217|ACIU|15138|0|30911|N
20201217|ACIW|995|0|7594|N
20201217|ACLS|9320|0|14051|N
20201217|ACM|5865|0|23009|N
20201217|ACMR|2324|0|3478|N
20201217|ACN|67946|0|160257|N
20201217|ACNB|32|0|32|N
20201217|ACND/WS|10|0|1912|N
20201217|ACOR|293623|300|460477|N
20201217|ACP|5569|0|17846|N
20201217|ACRE|5512|0|15144|N
20201217|ACRS|25064|0|87968|N
20201217|ACRX|159582|0|301612|N
20201217|ACSI|2|0|15|N
20201217|ACST|368627|2000|714364|N
20201217|ACTC|1791|0|11104|N
20201217|ACTCU|105|0|2599|N
20201217|ACTCW|2490|0|7376|N
20201217|ACTG|47332|0|67974|N
20201217|ACU|323|0|1151|N
20201217|ACV|511|0|2447|N
20201217|ACVF|15|0|521|N
20201217|ACWF|234|0|466|N
20201217|ACWI|10275|0|29546|N
20201217|ACWV|3308|0|18912|N
20201217|ACWX|4826|0|9686|N
20201217|ACY|211|97|2120|N
20201217|ADAP|23367|0|139320|N
20201217|ADBE|28198|0|83066|N
20201217|ADC|11272|0|15017|N
20201217|ADCT|3007|0|15924|N
20201217|ADES|9883|0|20957|N
20201217|ADI|5030|0|14837|N
20201217|ADIL|17541|0|58460|N
20201217|ADILW|26|0|856|N
20201217|ADM|37975|700|56290|N
20201217|ADMA|199028|0|534590|N
20201217|ADME|322|0|2778|N
20201217|ADMP|72339|0|289234|N
20201217|ADMS|11503|0|18701|N
20201217|ADNT|1080|200|12058|N
20201217|ADOC|2502|0|7441|N
20201217|ADOCW|1960|0|16260|N
20201217|ADP|8964|0|17657|N
20201217|ADPT|7223|0|37277|N
