HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:36 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 18 Dec 2020 22:27:16 GMT
ETag: "46dc32-38b06-5b6c49c5508a8"
Accept-Ranges: bytes
Content-Length: 232198
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201218|A|1978|0|8655|N
20201218|AA|110542|0|290131|N
20201218|AAAU|3541|0|11240|N
20201218|AACG|2201|0|2830|N
20201218|AACQ|13241|0|45722|N
20201218|AACQU|106|0|281|N
20201218|AACQW|6202|0|28855|N
20201218|AADR|2|0|377|N
20201218|AAIC|4318|0|17177|N
20201218|AAL|5766432|0|12436990|N
20201218|AAME|4|0|104|N
20201218|AAN|6183|0|12990|N
20201218|AAOI|14575|0|36483|N
20201218|AAON|651|0|8030|N
20201218|AAP|2927|200|14824|N
20201218|AAPL|9773324|7651|15551008|N
20201218|AAT|467|0|6859|N
20201218|AAU|42579|0|127347|N
20201218|AAWW|5471|0|11363|N
20201218|AAXJ|5061|0|5503|N
20201218|AAXN|9858|0|36797|N
20201218|AB|12814|0|29057|N
20201218|ABB|6513|0|17553|N
20201218|ABBV|108887|0|216192|N
20201218|ABC|7782|0|13728|N
20201218|ABCB|1912|0|3218|N
20201218|ABCL|16779|0|33888|N
20201218|ABCM|836|0|1892|N
20201218|ABEO|199935|0|306067|N
20201218|ABEV|477458|0|1774089|N
20201218|ABG|3616|0|5261|N
20201218|ABIO|19313|0|50827|N
20201218|ABM|2318|0|3243|N
20201218|ABMD|2588|0|6190|N
20201218|ABNB|1005615|0|1990255|N
20201218|ABR|38041|0|92792|N
20201218|ABRpA|900|0|1103|N
20201218|ABST|302|0|3171|N
20201218|ABT|19174|0|65181|N
20201218|ABTX|200|0|2809|N
20201218|ABUS|259379|0|682666|N
20201218|AC|1|0|1|N
20201218|ACA|452|0|2141|N
20201218|ACACU|8828|0|8829|N
20201218|ACACW|315|0|1255|N
20201218|ACAD|8432|0|47068|N
20201218|ACAM|1474|0|3256|N
20201218|ACAMW|2704|0|4803|N
20201218|ACB|1265555|80|2478153|N
20201218|ACBI|238|0|309|N
20201218|ACC|3114|0|28742|N
20201218|ACCD|1233|0|2985|N
20201218|ACCO|8969|0|17663|N
20201218|ACEL|2194|0|8122|N
20201218|ACER|79260|0|175509|N
20201218|ACES|15787|0|22802|N
20201218|ACET|1023|0|5700|N
20201218|ACEV|12322|0|15747|N
20201218|ACEVW|7500|0|11969|N
20201218|ACGL|30885|300|55365|N
20201218|ACGLO|23|0|63|N
20201218|ACGLP|155|0|686|N
20201218|ACH|2122|0|3327|N
20201218|ACHC|1358|0|3966|N
20201218|ACHV|7965|0|20570|N
20201218|ACI|54094|0|107601|N
20201218|ACIA|2904|0|15911|N
20201218|ACIC|24|0|24|N
20201218|ACIC/U|961|0|1962|N
20201218|ACIO|4880|0|5324|N
20201218|ACIU|5670|0|15455|N
20201218|ACIW|1476|0|18115|N
20201218|ACLS|2960|0|5197|N
20201218|ACM|8957|0|18069|N
20201218|ACMR|1086|0|2745|N
20201218|ACN|34862|0|78486|N
20201218|ACNB|5|0|83|N
20201218|ACND|1|0|2452|N
20201218|ACOR|149167|0|353358|N
20201218|ACP|1338|0|11065|N
20201218|ACRE|26105|0|45821|N
20201218|ACRS|35588|0|94938|N
20201218|ACRX|187869|0|395618|N
