HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:31 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 21 Dec 2020 22:24:13 GMT
ETag: "46e2a1-3a213-5b700eafde0d8"
Accept-Ranges: bytes
Content-Length: 238099
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201221|A|3746|0|15968|N
20201221|AA|76454|0|165688|N
20201221|AAAU|461|0|23268|N
20201221|AACG|1|0|5248|N
20201221|AACQ|36922|0|80392|N
20201221|AACQU|226|0|226|N
20201221|AACQW|26559|0|46917|N
20201221|AADR|1|0|16|N
20201221|AAIC|4965|0|21048|N
20201221|AAICpC|50|0|50|N
20201221|AAL|6971239|0|14830475|N
20201221|AAMC|4|0|26|N
20201221|AAN|3700|0|12241|N
20201221|AAOI|26345|0|56368|N
20201221|AAON|1508|0|3248|N
20201221|AAP|2578|0|5456|N
20201221|AAPL|8396398|1363|15247633|N
20201221|AAT|7207|0|12125|N
20201221|AAU|1050410|13835|1914171|N
20201221|AAWW|4468|0|10701|N
20201221|AAXJ|8823|0|14250|N
20201221|AAXN|7964|0|16116|N
20201221|AB|7627|0|21154|N
20201221|ABB|20031|0|40667|N
20201221|ABBV|149468|193|258313|N
20201221|ABC|6141|0|23786|N
20201221|ABCB|865|0|4604|N
20201221|ABCL|47548|1654|79090|N
20201221|ABCM|263|0|585|N
20201221|ABEO|388213|0|834707|N
20201221|ABEQ|431|0|475|N
20201221|ABEV|657988|0|1982637|N
20201221|ABG|713|0|1614|N
20201221|ABIO|194616|7400|358902|N
20201221|ABM|1707|0|5773|N
20201221|ABMD|1475|0|3314|N
20201221|ABNB|1442203|0|2964000|N
20201221|ABR|66963|0|182733|N
20201221|ABRpA|1489|0|3789|N
20201221|ABRpB|119|0|370|N
20201221|ABST|1456|0|3861|N
20201221|ABT|35571|0|105332|N
20201221|ABTX|68|0|2761|N
20201221|ABUS|181873|0|492347|N
20201221|ACA|625|0|2485|N
20201221|ACAC|538|0|565|N
20201221|ACACU|3887|0|4197|N
20201221|ACACW|30|0|30|N
20201221|ACAD|9375|0|40920|N
20201221|ACAM|2562|0|5579|N
20201221|ACAMU|25|0|350|N
20201221|ACAMW|967|81|967|N
20201221|ACB|1154778|0|2696216|N
20201221|ACBI|100|0|7126|N
20201221|ACC|5801|3|9242|N
20201221|ACCD|19511|0|32189|N
20201221|ACCO|23216|0|26701|N
20201221|ACEL|3076|0|7768|N
20201221|ACER|19459|0|52267|N
20201221|ACES|9677|0|11274|N
20201221|ACET|148|0|1819|N
20201221|ACEV|3620|0|6930|N
20201221|ACEVW|2404|0|2405|N
20201221|ACGL|17197|23|36612|N
20201221|ACGLO|316|0|632|N
20201221|ACGLP|211|0|402|N
20201221|ACH|662|0|1496|N
20201221|ACHC|1013|0|4452|N
20201221|ACHV|7758|0|19731|N
20201221|ACI|44913|0|80869|N
20201221|ACIA|15100|0|25575|N
20201221|ACIC|2038|0|2038|N
20201221|ACIC/WS|3000|0|3000|N
20201221|ACIO|2882|0|3094|N
20201221|ACIU|2413|0|7122|N
20201221|ACIW|1236|0|6069|N
20201221|ACKIU|4215|0|4419|N
