HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:23 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 23 Dec 2020 22:24:08 GMT
ETag: "46ed37-38cc5-5b729265ca830"
Accept-Ranges: bytes
Content-Length: 232645
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201223|A|1283|0|8166|N
20201223|AA|105113|0|214706|N
20201223|AAA|27|0|27|N
20201223|AAAU|8844|0|21755|N
20201223|AACG|3784|0|8810|N
20201223|AACQ|39975|0|105434|N
20201223|AACQU|840|0|852|N
20201223|AACQW|26333|0|55505|N
20201223|AAIC|2728|0|19903|N
20201223|AAL|5173793|0|12675429|N
20201223|AAME|8|0|8|N
20201223|AAN|4322|0|14757|N
20201223|AAOI|24333|0|43881|N
20201223|AAON|576|0|1576|N
20201223|AAP|32976|0|35370|N
20201223|AAPL|7307685|7424|12064342|N
20201223|AAT|936|0|1597|N
20201223|AAU|335570|0|786646|N
20201223|AAWW|3292|0|8404|N
20201223|AAXJ|25111|0|26160|N
20201223|AAXN|18949|0|28503|N
20201223|AB|9075|0|26776|N
20201223|ABB|10635|0|22197|N
20201223|ABBV|87068|0|197204|N
20201223|ABC|2675|0|5566|N
20201223|ABCB|1092|0|1881|N
20201223|ABCL|57869|0|88206|N
20201223|ABCM|241|0|308|N
20201223|ABEO|304254|0|743648|N
20201223|ABEQ|1439|0|1494|N
20201223|ABEV|346239|0|729598|N
20201223|ABG|80|0|206|N
20201223|ABIO|17419|4|40976|N
20201223|ABM|2756|0|4610|N
20201223|ABMD|3106|0|4176|N
20201223|ABNB|435053|0|933573|N
20201223|ABR|25191|0|48878|N
20201223|ABRpC|200|0|1140|N
20201223|ABST|1541|0|1975|N
20201223|ABT|27255|0|82293|N
20201223|ABTX|183|0|1077|N
20201223|ABUS|120329|0|325198|N
20201223|AC|13|0|18|N
20201223|ACA|234|0|6302|N
20201223|ACAC|565|0|856|N
20201223|ACACU|620|0|2520|N
20201223|ACACW|155|0|155|N
20201223|ACAD|4101|0|19034|N
20201223|ACAM|4789|0|8054|N
20201223|ACAMW|1825|0|2915|N
20201223|ACB|1308501|0|3286850|N
20201223|ACBI|902|0|7011|N
20201223|ACC|3196|2|5288|N
20201223|ACCD|5607|0|8599|N
20201223|ACCO|2728|0|11091|N
20201223|ACEL|1524|0|15024|N
20201223|ACER|15192|0|25874|N
20201223|ACES|8805|0|16503|N
20201223|ACET|887|0|10266|N
20201223|ACEV|7882|0|13186|N
20201223|ACEVW|4100|0|4101|N
20201223|ACGL|15777|0|28147|N
20201223|ACGLO|98|0|370|N
20201223|ACGLP|35|0|250|N
20201223|ACH|116|0|2929|N
20201223|ACHC|1277|0|2962|N
20201223|ACHV|7503|0|22360|N
20201223|ACI|45281|0|108869|N
20201223|ACIA|2956|0|23397|N
20201223|ACIC|151|0|261|N
20201223|ACIC/U|6400|0|11100|N
20201223|ACIC/WS|30|0|30|N
20201223|ACIO|500|0|501|N
20201223|ACIU|115|0|5010|N
20201223|ACIW|2192|0|6148|N
20201223|ACKIU|2230|0|3841|N
20201223|ACLS|724|0|3706|N
20201223|ACM|4966|0|9889|N
20201223|ACMR|6392|0|13920|N
20201223|ACN|9507|0|20401|N
20201223|ACNB|93|0|208|N
20201223|ACND|241|0|561|N
20201223|ACND/WS|2061|0|2861|N
20201223|ACOR|391244|0|711531|N
20201223|ACP|3430|0|7021|N
20201223|ACRE|10032|0|18341|N
20201223|ACRS|38543|0|89064|N
20201223|ACRX|148118|0|444863|N
20201223|ACSI|1|0|24|N
20201223|ACST|66218599|36951|134995318|N
20201223|ACTC|16206|0|29941|N
20201223|ACTCU|100|0|1900|N
20201223|ACTCW|16340|0|22521|N
20201223|ACTG|19178|0|29538|N
20201223|ACU|400|0|1386|N
20201223|ACV|206|0|750|N
20201223|ACVF|166|0|176|N
20201223|ACWF|200|0|1560|N
20201223|ACWI|25113|0|46858|N
20201223|ACWV|555|0|18439|N
20201223|ACWX|1942|0|11913|N
20201223|ADAP|38906|0|138272|N
20201223|ADBE|11902|15|47769|N
20201223|ADC|441|0|3602|N
20201223|ADCT|3947|0|16449|N
20201223|ADES|4478|0|10014|N
20201223|ADI|7968|0|22375|N
20201223|ADIL|1621|0|11685|N
20201223|ADM|10883|0|23536|N
20201223|ADMA|139764|0|416088|N
20201223|ADME|3865|0|4265|N
20201223|ADMP|1441739|25|2745414|N
20201223|ADMS|7241|0|10656|N
20201223|ADNT|1811|0|6377|N
20201223|ADOC|1000|0|1400|N
20201223|ADOCR|361|0|961|N
20201223|ADOCW|21705|0|43821|N
20201223|ADP|3559|0|16189|N
20201223|ADPT|9828|0|42662|N
20201223|ADRE|1068|0|2130|N
20201223|ADS|28268|0|57787|N
20201223|ADSK|10197|0|23142|N
20201223|ADT|15975|0|87970|N
20201223|ADTN|3118|0|6682|N
20201223|ADTX|28435|0|109616|N
20201223|ADUS|888|0|1615|N
20201223|ADV|7641|0|11419|N
20201223|ADVM|15334|0|22777|N
20201223|ADX|4723|0|9818|N
20201223|ADXN|215|40|715|N
20201223|ADXS|3485267|7705|7108158|N
20201223|AE|1|0|53|N
20201223|AEB|200|0|200|N
20201223|AEE|9203|0|18655|N
20201223|AEFC|105|0|1005|N
20201223|AEG|18935|0|126087|N
20201223|AEGN|110|0|253|N
20201223|AEHL|601|0|11032|N
20201223|AEHR|27970|0|61046|N
20201223|AEIS|5315|0|6567|N
20201223|AEL|4298|0|9387|N
20201223|AELpB|13|0|13|N
20201223|AEM|6832|0|16535|N
20201223|AEMD|40857|0|123613|N
20201223|AENZ|401|0|411|N
20201223|AEO|31516|0|52984|N
20201223|AEP|27699|0|51014|N
20201223|AEPPL|351|0|351|N
20201223|AEPPZ|500|0|500|N
20201223|AER|11524|0|28029|N
20201223|AERI|2300|0|5993|N
20201223|AES|52067|0|93401|N
20201223|AESE|215280|0|477009|N
20201223|AEY|8401|0|21027|N
20201223|AEYE|2088|13|5998|N
20201223|AEZS|593462|12941|1356056|N
20201223|AFB|505|0|623|N
20201223|AFC|100|0|700|N
20201223|AFG|380|0|1340|N
20201223|AFGB|4|0|30|N
20201223|AFGC|139|0|427|N
20201223|AFI|9808|100|23577|N
20201223|AFIB|4882|0|8161|N
20201223|AFIF|56|0|56|N
20201223|AFIN|7203|0|18162|N
20201223|AFINO|1347|0|3627|N
20201223|AFINP|300|0|1326|N
20201223|AFK|755|0|1320|N
20201223|AFL|16587|0|45867|N
20201223|AFLG|1|0|1|N
20201223|AFMD|8074|0|42141|N
20201223|AFT|546|0|926|N
20201223|AFTY|3|0|484|N
20201223|AFYA|1207|0|3106|N
20201223|AG|174095|0|405215|N
20201223|AGBAR|465|0|965|N
20201223|AGBAW|10187|0|25887|N
20201223|AGC|7367|0|7629|N
20201223|AGCO|3093|0|6776|N
20201223|AGCUU|7132|0|7833|N
20201223|AGCWW|200|0|200|N
20201223|AGD|616|0|3794|N
20201223|AGE|21941|0|28705|N
20201223|AGEN|33911|0|123447|N
20201223|AGFS|2335|0|6189|N
20201223|AGG|39380|0|133391|N
20201223|AGGY|4514|0|27728|N
20201223|AGI|44766|0|224427|N
20201223|AGIO|8295|0|24699|N
20201223|AGLE|4084|0|6628|N
20201223|AGM|1686|0|2344|N
20201223|AGMH|10|0|13|N
20201223|AGMpD|433|0|433|N
20201223|AGMpF|3230|0|3260|N
