HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:13 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 28 Dec 2020 22:22:40 GMT
ETag: "46f98c-39ce5-5b78db6548750"
Accept-Ranges: bytes
Content-Length: 236773
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201228|A|2879|0|9941|N
20201228|AA|152229|0|335472|N
20201228|AAAU|16895|0|44238|N
20201228|AACG|5506|0|12069|N
20201228|AACQ|99900|0|206226|N
20201228|AACQU|146|0|6346|N
20201228|AACQW|47985|0|59312|N
20201228|AAIC|8843|0|27850|N
20201228|AAICpB|1|0|1|N
20201228|AAICpC|21|0|467|N
20201228|AAL|4530627|0|11959194|N
20201228|AAME|2|0|37|N
20201228|AAN|4677|0|19803|N
20201228|AAOI|12694|0|37080|N
20201228|AAON|753|0|3719|N
20201228|AAP|4881|16|11288|N
20201228|AAPL|9358359|0|19713072|N
20201228|AAT|1183|0|6544|N
20201228|AAU|165259|0|424968|N
20201228|AAWW|4937|0|14381|N
20201228|AAXJ|3820|0|15292|N
20201228|AAXN|6419|0|16671|N
20201228|AB|8395|0|32971|N
20201228|ABB|11937|0|33055|N
20201228|ABBV|108421|0|193425|N
20201228|ABC|2458|14|7745|N
20201228|ABCB|551|0|2653|N
20201228|ABCL|35650|0|79310|N
20201228|ABCM|1422|0|1900|N
20201228|ABEO|178234|0|271824|N
20201228|ABEQ|1|0|1|N
20201228|ABEV|568733|0|869645|N
20201228|ABG|177|0|1269|N
20201228|ABIO|35544|0|64311|N
20201228|ABM|1760|0|3459|N
20201228|ABMD|1503|0|8977|N
20201228|ABNB|470599|0|894569|N
20201228|ABR|30740|0|60730|N
20201228|ABRpC|400|0|600|N
20201228|ABST|2252|0|2712|N
20201228|ABT|32443|0|98633|N
20201228|ABTX|1|0|112|N
20201228|ABUS|227930|0|532103|N
20201228|ACA|102|0|6693|N
20201228|ACAC|926|0|1929|N
20201228|ACACU|32|0|1866|N
20201228|ACACW|2654|43|3154|N
20201228|ACAD|8340|0|32607|N
20201228|ACAM|604471|550|1432723|N
20201228|ACAMU|234|0|387|N
20201228|ACAMW|61040|0|99683|N
20201228|ACB|924977|119|1980638|N
20201228|ACBI|139|0|1799|N
20201228|ACC|8637|0|13853|N
20201228|ACCD|7653|0|13155|N
20201228|ACCO|1485|0|6479|N
20201228|ACEL|696|0|7103|N
20201228|ACER|1957|0|14358|N
20201228|ACES|11260|0|27949|N
20201228|ACET|7|0|404|N
20201228|ACEV|8939|0|17301|N
20201228|ACEVW|3684|0|8554|N
20201228|ACGL|49518|0|62531|N
20201228|ACGLO|79|0|255|N
20201228|ACGLP|2620|0|2755|N
20201228|ACH|1920|0|3890|N
20201228|ACHC|806|0|1916|N
20201228|ACHV|10406|0|29505|N
20201228|ACI|24185|0|83366|N
20201228|ACIA|1678|0|12965|N
20201228|ACIC|458|0|4669|N
20201228|ACIC/U|1|0|19851|N
20201228|ACIC/WS|1800|0|9415|N
20201228|ACIO|300|0|3706|N
20201228|ACIU|1326|0|7908|N
20201228|ACIW|2599|0|5054|N
20201228|ACKIU|6466|0|12892|N
20201228|ACLS|4245|0|7548|N
20201228|ACM|2451|0|7526|N
20201228|ACMR|5663|0|11015|N
20201228|ACN|8036|0|19670|N
20201228|ACNB|154|0|154|N
20201228|ACND|4843|0|5543|N
20201228|ACND/U|2300|0|4100|N
20201228|ACND/WS|173|62|973|N
20201228|ACOR|152781|0|280281|N
20201228|ACP|4586|0|10716|N
20201228|ACRE|27332|0|36214|N
20201228|ACRS|16135|259|48332|N
20201228|ACRX|156949|0|257161|N
20201228|ACSG|7|0|7|N
20201228|ACSI|1|0|1|N
20201228|ACST|3820884|12908|8237166|N
20201228|ACTC|50812|0|80631|N
20201228|ACTCU|4251|0|10751|N
20201228|ACTCW|16911|0|35718|N
20201228|ACTG|5022|0|32888|N
20201228|ACU|1038|0|1289|N
20201228|ACV|321|0|1811|N
20201228|ACVF|1064|0|1102|N
20201228|ACWI|6936|0|29889|N
20201228|ACWV|589|0|8441|N
20201228|ACWX|7572|0|15272|N
20201228|ACY|2447321|0|4935551|N
20201228|ADAP|45325|0|154207|N
20201228|ADBE|16293|0|45377|N
20201228|ADC|735|0|2558|N
20201228|ADCT|2218|0|7492|N
20201228|ADES|1869|0|27915|N
20201228|ADI|8958|0|30250|N
20201228|ADIL|4134|0|41648|N
20201228|ADM|11835|50|32729|N
20201228|ADMA|227164|0|496619|N
20201228|ADME|958|0|1588|N
20201228|ADMP|464340|800|683079|N
20201228|ADMS|2978|0|14554|N
20201228|ADNT|2364|0|12650|N
20201228|ADOC|15|0|461|N
20201228|ADOCW|27026|0|38605|N
20201228|ADP|4937|0|17079|N
20201228|ADPT|2652|0|34618|N
20201228|ADRE|138|0|950|N
20201228|ADS|9344|0|27056|N
20201228|ADSK|6641|0|16233|N
20201228|ADT|71965|0|156002|N
20201228|ADTN|6874|0|23138|N
20201228|ADTX|56371|0|108805|N
20201228|ADUS|2017|0|3582|N
20201228|ADV|500|0|3969|N
20201228|ADVM|8321|0|20120|N
20201228|ADVWW|3020|0|3271|N
20201228|ADX|7396|421|21793|N
20201228|ADXN|8536|451|24774|N
20201228|ADXS|553616|17432|1364883|N
20201228|AE|86|0|487|N
20201228|AEB|75|0|2075|N
20201228|AEE|4547|0|13522|N
20201228|AEF|60|0|863|N
20201228|AEG|17430|0|94808|N
20201228|AEGN|107|0|2005|N
20201228|AEHL|208201|0|440680|N
20201228|AEHR|4286|0|13265|N
20201228|AEIS|1949|0|3872|N
20201228|AEL|11938|0|13692|N
20201228|AELpA|500|0|500|N
20201228|AEM|23360|0|43765|N
20201228|AEMD|25490|0|60794|N
20201228|AENZ|4|0|8|N
20201228|AEO|43583|0|92269|N
20201228|AEP|41926|0|63329|N
20201228|AEPPL|350|0|1575|N
20201228|AER|14310|0|24975|N
20201228|AERI|1659|0|5671|N
20201228|AES|55896|0|122960|N
20201228|AESE|144171|3496|369170|N
20201228|AEY|15593|0|26334|N
20201228|AEYE|552|0|3795|N
20201228|AEZS|200803|0|486422|N
20201228|AFB|1001|0|1087|N
20201228|AFC|784|0|1891|N
20201228|AFG|2087|0|5509|N
20201228|AFGB|857|0|898|N
20201228|AFGC|36|0|67|N
20201228|AFI|3579|0|9987|N
20201228|AFIB|339|0|827|N
20201228|AFIF|389|0|390|N
20201228|AFIN|7412|0|20885|N
20201228|AFINO|13559|0|20369|N
20201228|AFINP|2084|0|3208|N
20201228|AFK|620|0|2521|N
20201228|AFL|14790|56|49680|N
20201228|AFMC|1|0|1|N
20201228|AFMD|25528|0|111887|N
20201228|AFT|3462|0|3654|N
20201228|AFYA|744|0|5396|N
20201228|AG|201713|0|466940|N
20201228|AGBA|185|0|507|N
20201228|AGBAR|6000|0|6000|N
20201228|AGBAW|16874|0|64999|N
20201228|AGC|2515|0|4061|N
20201228|AGCO|2564|0|8814|N
20201228|AGCUU|18062|0|28829|N
20201228|AGCWW|46|0|46|N
20201228|AGD|1610|0|2720|N
20201228|AGE|36634|0|48597|N
20201228|AGEN|107475|0|249049|N
20201228|AGFS|125|0|3586|N
20201228|AGG|78022|0|166096|N
20201228|AGGY|9417|0|90334|N
20201228|AGI|23639|0|102463|N
20201228|AGIO|4653|0|14682|N
20201228|AGLE|623|0|1445|N
20201228|AGM|867|0|1093|N
20201228|AGMH|408|0|493|N
20201228|AGMpE|500|0|1900|N
20201228|AGMpF|300|0|390|N
20201228|AGNC|373347|1274|593189|N
20201228|AGNCM|1400|0|2399|N
20201228|AGNCN|2493|0|3299|N
20201228|AGNCO|660|0|7360|N
20201228|AGNCP|1315|0|2470|N
20201228|AGO|1330|0|3939|N
20201228|AGOpB|1100|0|1100|N
20201228|AGOpE|1520|0|1720|N
20201228|AGOpF|1690|0|1690|N
20201228|AGQ|59746|0|202574|N
20201228|AGR|3196|0|7386|N
20201228|AGRO|1680|0|5536|N
20201228|AGRX|98760|0|159279|N
20201228|AGS|6220|0|14033|N
20201228|AGTC|3402|0|29962|N
20201228|AGX|617|0|1171|N
20201228|AGYS|103|0|621|N
20201228|AGZ|814|0|7931|N
20201228|AGZD|221|0|1764|N
20201228|AHAC|4|0|215|N
20201228|AHC|2981|0|5281|N
20201228|AHCO|5007|0|15616|N
20201228|AHH|3355|0|8468|N
20201228|AHHpA|590|0|2638|N
20201228|AHLpC|183|0|183|N
20201228|AHPI|174388|775|395062|N
20201228|AHT|1306393|10806|2611987|N
20201228|AHTpD|5729|0|6356|N
20201228|AHTpG|6200|0|8525|N
20201228|AHTpI|200|200|5059|N
20201228|AI|406945|10353|951670|N
20201228|AIA|9551|0|12124|N
20201228|AIEQ|778|0|2357|N
20201228|AIF|2966|0|3298|N
20201228|AIG|35009|66|91730|N
20201228|AIG/WS|168763|672|261392|N
20201228|AIGpA|51|0|76|N
20201228|AIH|22025|0|65170|N
20201228|AIHS|52565|0|222948|N
20201228|AIKI|1019675|453|2267442|N
20201228|AIM|144968|0|384634|N
20201228|AIMC|637|0|2161|N
20201228|AIN|45|0|726|N
20201228|AINC|5658|0|7354|N
20201228|AINV|23271|0|51157|N
20201228|AIO|7117|0|9311|N
20201228|AIQ|791|0|1995|N
20201228|AIR|3896|0|11378|N
20201228|AIRC|3356|0|6177|N
20201228|AIRG|32932|100|80135|N
20201228|AIRI|139980|0|225390|N
20201228|AIRR|335|0|2688|N
20201228|AIRT|57603|2274|159940|N
20201228|AIRTP|201|0|209|N
20201228|AIRTW|112972|4079|191204|N
20201228|AIT|200|0|550|N
20201228|AIV|185323|0|824944|N
20201228|AIZ|2743|0|3776|N
20201228|AJAX|67216|0|105624|N
20201228|AJAX/U|4914|0|13574|N
20201228|AJAX/WS|10197|0|18668|N
20201228|AJG|792|0|5325|N
20201228|AJRD|4783|0|23723|N
20201228|AJX|657|0|6816|N
20201228|AKAM|21797|0|37837|N
20201228|AKBA|560801|0|1064284|N
20201228|AKER|7577|0|47021|N
20201228|AKO/A|10|0|11|N
20201228|AKR|463|0|3372|N
20201228|AKRO|17375|0|51592|N
20201228|AKTS|53058|0|107433|N
20201228|AKTX|9530|0|13222|N
