HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:09 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 29 Dec 2020 22:21:50 GMT
ETag: "46feea-39425-5b7a1d12e1870"
Accept-Ranges: bytes
Content-Length: 234533
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201229|A|4032|0|10355|N
20201229|AA|184157|0|379201|N
20201229|AAAU|4928|0|12166|N
20201229|AACG|7564|0|24411|N
20201229|AACQ|50562|0|144097|N
20201229|AACQW|17790|0|64990|N
20201229|AAIC|4661|0|12462|N
20201229|AAICpC|343|0|772|N
20201229|AAL|4384724|0|10149935|N
20201229|AAMC|1800|0|1884|N
20201229|AAN|2877|0|6773|N
20201229|AAOI|19144|0|57867|N
20201229|AAON|1472|0|8124|N
20201229|AAP|2923|2|8167|N
20201229|AAPL|10053174|0|20533869|N
20201229|AAT|302|0|2297|N
20201229|AAU|39195|0|254614|N
20201229|AAWW|6328|0|16228|N
20201229|AAXJ|9111|0|9668|N
20201229|AAXN|13141|0|40473|N
20201229|AB|6436|0|19979|N
20201229|ABB|23419|0|35545|N
20201229|ABBV|111239|0|258964|N
20201229|ABC|3894|0|8983|N
20201229|ABCB|2043|0|3396|N
20201229|ABCL|48169|0|75868|N
20201229|ABCM|473|0|690|N
20201229|ABEO|281859|349|378917|N
20201229|ABEQ|10000|0|10000|N
20201229|ABEV|495717|0|1096509|N
20201229|ABG|1600|0|5069|N
20201229|ABIO|51579|0|89762|N
20201229|ABM|892|0|3000|N
20201229|ABMD|5553|0|14604|N
20201229|ABNB|470538|195|852339|N
20201229|ABR|30675|0|61892|N
20201229|ABRpA|400|0|1015|N
20201229|ABRpC|751|0|1356|N
20201229|ABST|873|0|1447|N
20201229|ABT|29989|0|113126|N
20201229|ABTX|71|0|395|N
20201229|ABUS|160236|0|388572|N
20201229|AC|3|0|6|N
20201229|ACA|183|0|6010|N
20201229|ACAC|3310|0|6655|N
20201229|ACACU|1|0|3014|N
20201229|ACACW|1513|0|1603|N
20201229|ACAD|11417|0|31486|N
20201229|ACAM|204466|0|631489|N
20201229|ACAMU|430|0|485|N
20201229|ACAMW|39956|84|60988|N
20201229|ACB|1077362|30|2033388|N
20201229|ACBI|49|0|550|N
20201229|ACC|4168|0|10155|N
20201229|ACCD|5849|33|11641|N
20201229|ACCO|4541|0|7508|N
20201229|ACEL|2679|0|4245|N
20201229|ACER|5256|0|14541|N
20201229|ACES|2685|0|19883|N
20201229|ACET|3|0|1091|N
20201229|ACEV|217|0|5208|N
20201229|ACEVW|1090|0|1364|N
20201229|ACGL|27178|0|35978|N
20201229|ACGLO|200|0|662|N
20201229|ACGLP|3090|0|4132|N
20201229|ACH|37|0|1343|N
20201229|ACHC|639|0|2891|N
20201229|ACHV|2987|0|19127|N
20201229|ACI|105514|0|275153|N
20201229|ACIA|2295|0|6149|N
20201229|ACIC|1977|0|3105|N
20201229|ACIC/WS|1600|0|2410|N
20201229|ACIO|400|0|1925|N
20201229|ACIU|2729|0|6217|N
20201229|ACIW|1116|0|4615|N
20201229|ACKIU|2236|0|9133|N
20201229|ACLS|3381|0|9380|N
20201229|ACM|15335|0|18672|N
20201229|ACMR|1491|0|6300|N
20201229|ACN|5899|0|37421|N
20201229|ACNB|328|0|723|N
20201229|ACND|1156|0|2593|N
20201229|ACND/WS|62|0|4362|N
20201229|ACOR|100216|0|244494|N
20201229|ACP|2195|0|3504|N
20201229|ACRE|17567|0|28913|N
20201229|ACRS|8148|201|31313|N
20201229|ACRX|246591|0|496069|N
20201229|ACSG|4|0|5|N
20201229|ACST|1758391|220|3899323|N
20201229|ACTC|12885|0|57791|N
20201229|ACTCU|1100|0|1140|N
20201229|ACTCW|10286|56|17085|N
20201229|ACTG|11379|0|28373|N
20201229|ACU|1301|0|2398|N
20201229|ACV|67|0|2499|N
20201229|ACVF|533|0|535|N
20201229|ACWF|150|0|638|N
20201229|ACWI|19881|0|37935|N
20201229|ACWV|1131|0|15024|N
20201229|ACWX|3292|0|7754|N
20201229|ACY|115850|1093|307445|N
20201229|ADAP|54466|0|109843|N
20201229|ADBE|14328|0|46790|N
20201229|ADC|1128|0|2601|N
20201229|ADCT|2604|0|4248|N
20201229|ADES|1611|0|4750|N
20201229|ADI|5993|0|14300|N
20201229|ADIL|27701|0|61756|N
20201229|ADM|13720|0|30377|N
20201229|ADMA|486716|4|843124|N
20201229|ADME|6406|0|11859|N
20201229|ADMP|173202|0|506587|N
20201229|ADMS|4481|0|12065|N
20201229|ADNT|2214|0|4858|N
20201229|ADOC|1|0|203|N
20201229|ADOCR|4860|0|4860|N
