HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:03 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 31 Dec 2020 22:23:30 GMT
ETag: "4709b1-3980c-5b7ca12d374f0"
Accept-Ranges: bytes
Content-Length: 235532
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201231|A|3241|0|8243|N
20201231|AA|84195|0|255644|N
20201231|AAA|6|0|42|N
20201231|AAAU|12729|0|29152|N
20201231|AACG|6132|0|6516|N
20201231|AACQ|68574|0|164855|N
20201231|AACQU|150|0|450|N
20201231|AACQW|11204|90|47593|N
20201231|AAIC|14888|0|32212|N
20201231|AAICpB|21|0|22|N
20201231|AAICpC|237|0|237|N
20201231|AAL|4669899|0|10425213|N
20201231|AAME|55|0|979|N
20201231|AAN|11522|0|30928|N
20201231|AAOI|15210|143|36938|N
20201231|AAON|660|0|1751|N
20201231|AAP|2118|0|3999|N
20201231|AAPL|6657796|27|13687540|N
20201231|AAT|1388|0|1593|N
20201231|AAU|120405|0|223511|N
20201231|AAWW|6246|0|15315|N
20201231|AAXJ|3433|0|7360|N
20201231|AAXN|1661|0|8635|N
20201231|AB|8596|0|32883|N
20201231|ABB|6672|0|21620|N
20201231|ABBV|112200|0|248835|N
20201231|ABC|2203|0|7989|N
20201231|ABCB|517|0|1379|N
20201231|ABCL|22806|0|67536|N
20201231|ABCM|1014|0|11093|N
20201231|ABEO|60112|0|155819|N
20201231|ABEV|106116|0|329773|N
20201231|ABG|427|0|933|N
20201231|ABIO|8130|0|105504|N
20201231|ABM|1901|0|3442|N
20201231|ABMD|1600|2|2596|N
20201231|ABNB|162209|0|388277|N
20201231|ABR|25811|0|66441|N
20201231|ABRpC|1958|0|2558|N
20201231|ABST|315|0|692|N
20201231|ABT|19196|0|79599|N
20201231|ABTX|140|0|5500|N
20201231|ABUS|193383|0|469831|N
20201231|ACA|251|0|1560|N
20201231|ACAC|253|0|572|N
20201231|ACACU|150|0|2175|N
20201231|ACACW|19|0|59|N
20201231|ACAD|5837|0|19224|N
20201231|ACAM|113832|778|270077|N
20201231|ACAMU|10|0|35|N
20201231|ACAMW|10152|0|21255|N
20201231|ACB|736832|0|1436951|N
20201231|ACBI|2|0|65|N
20201231|ACC|1802|0|8533|N
20201231|ACCD|7091|1733|16098|N
20201231|ACCO|1937|0|12574|N
20201231|ACEL|11236|6|12898|N
20201231|ACER|3978|0|13880|N
20201231|ACES|2989|0|7388|N
20201231|ACET|1100|0|3423|N
20201231|ACEV|1670|0|2630|N
20201231|ACEVW|1000|0|1160|N
20201231|ACGL|15767|0|26111|N
20201231|ACGLO|104|0|214|N
20201231|ACH|377|0|5712|N
20201231|ACHC|2490|0|4403|N
20201231|ACHV|1201|0|11855|N
20201231|ACI|110153|0|232452|N
20201231|ACIA|3167|0|6075|N
20201231|ACIC|1212|0|1563|N
20201231|ACIC/WS|3312|0|4043|N
20201231|ACIO|2323|0|2323|N
20201231|ACIU|7272|0|19897|N
20201231|ACIW|968|0|4268|N
20201231|ACKIU|667|0|1162|N
20201231|ACLS|2916|0|3484|N
20201231|ACM|2271|124|9777|N
20201231|ACMR|3135|0|8361|N
20201231|ACN|5154|0|13591|N
20201231|ACNB|200|0|343|N
20201231|ACND|530|0|532|N
20201231|ACND/WS|145|0|645|N
20201231|ACOR|1496730|8200|3180545|N
20201231|ACP|1643|0|28056|N
20201231|ACRE|2009|0|5902|N
20201231|ACRS|4313|0|14100|N
20201231|ACRX|135547|0|256450|N
20201231|ACSI|1|0|3|N
20201231|ACST|2640006|12500|5329340|N
20201231|ACTC|10052|0|21272|N
20201231|ACTCU|4000|0|4100|N
20201231|ACTCW|3355|0|5857|N
20201231|ACTG|5938|0|11610|N
20201231|ACU|1085|0|1897|N
20201231|ACV|110|0|274|N
20201231|ACVF|5|0|205|N
20201231|ACWF|24|0|562|N
20201231|ACWI|8334|0|14090|N
20201231|ACWV|2807|0|17989|N
